#
#       Name:             Adobe Standard Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       General notes:
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
0020	20	# SPACE	# space
0021	21	# EXCLAMATION MARK	# exclam
0022	22	# QUOTATION MARK	# quotedbl
0023	23	# NUMBER SIGN	# numbersign
0024	24	# DOLLAR SIGN	# dollar
0025	25	# PERCENT SIGN	# percent
0026	26	# AMPERSAND	# ampersand
0027	A9	# APOSTROPHE-QUOTE	# quotesingle
0028	28	# OPENING PARENTHESIS	# parenleft
0029	29	# CLOSING PARENTHESIS	# parenright
002A	2A	# ASTERISK	# asterisk
002B	2B	# PLUS SIGN	# plus
002C	2C	# COMMA	# comma
002D	2D	# HYPHEN-MINUS	# hyphen
002E	2E	# PERIOD	# period
002F	2F	# SLASH	# slash
0030	30	# DIGIT ZERO	# zero
0031	31	# DIGIT ONE	# one
0032	32	# DIGIT TWO	# two
0033	33	# DIGIT THREE	# three
0034	34	# DIGIT FOUR	# four
0035	35	# DIGIT FIVE	# five
0036	36	# DIGIT SIX	# six
0037	37	# DIGIT SEVEN	# seven
0038	38	# DIGIT EIGHT	# eight
0039	39	# DIGIT NINE	# nine
003A	3A	# COLON	# colon
003B	3B	# SEMICOLON	# semicolon
003C	3C	# LESS-THAN SIGN	# less
003D	3D	# EQUALS SIGN	# equal
003E	3E	# GREATER-THAN SIGN	# greater
003F	3F	# QUESTION MARK	# question
0040	40	# COMMERCIAL AT	# at
0041	41	# LATIN CAPITAL LETTER A	# A
0042	42	# LATIN CAPITAL LETTER B	# B
0043	43	# LATIN CAPITAL LETTER C	# C
0044	44	# LATIN CAPITAL LETTER D	# D
0045	45	# LATIN CAPITAL LETTER E	# E
0046	46	# LATIN CAPITAL LETTER F	# F
0047	47	# LATIN CAPITAL LETTER G	# G
0048	48	# LATIN CAPITAL LETTER H	# H
0049	49	# LATIN CAPITAL LETTER I	# I
004A	4A	# LATIN CAPITAL LETTER J	# J
004B	4B	# LATIN CAPITAL LETTER K	# K
004C	4C	# LATIN CAPITAL LETTER L	# L
004D	4D	# LATIN CAPITAL LETTER M	# M
004E	4E	# LATIN CAPITAL LETTER N	# N
004F	4F	# LATIN CAPITAL LETTER O	# O
0050	50	# LATIN CAPITAL LETTER P	# P
