#
#       Name:             Adobe Symbol Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       General notes:  There are a number of glyph parts in the Adobe Symbol
#       Encoding which are not in the Unicode set.  They are as follows:
#
#       BD	arrowvertex
#       BE	arrowhorizex
#       E6	parenlefttp
#       E7	parenleftex
#       E8	parenleftbt
#       E9	bracketlefttp
#       EA	bracketleftex
#       EB	bracketleftbt
#       EC	bracelefttp
#       ED	braceleftmid
#       EE	braceleftbt
#       EF	braceex
#       F4	integralex
#       F6	parenrighttp
#       F7	parenrightex
#       F8	parenrightbt
#       F9	bracketrighttp
#       FA	bracketrightex
#       FB	bracketrightbt
#       FC	bracerighttp
#       FD	bracerightmid
#       FE	bracerightbt
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
#
0020	20	# SPACE	# space
0021	21	# EXCLAMATION MARK	# exclam
0023	23	# NUMBER SIGN	# numbersign
0025	25	# PERCENT SIGN	# percent
0026	26	# AMPERSAND	# ampersand
0028	28	# OPENING PARENTHESIS	# parenleft
0029	29	# CLOSING PARENTHESIS	# parenright
002B	2B	# PLUS SIGN	# plus
002C	2C	# COMMA	# comma
002E	2E	# PERIOD	# period
002F	2F	# SLASH	# slash
0030	30	# DIGIT ZERO	# zero
0031	31	# DIGIT ONE	# one
0032	32	# DIGIT TWO	# two
0033	33	# DIGIT THREE	# three
0034	34	# DIGIT FOUR	# four
0035	35	# DIGIT FIVE	# five
0036	36	# DIGIT SIX	# six
0037	37	# DIGIT SEVEN	# seven
0038	38	# DIGIT EIGHT	# eight
0039	39	# DIGIT NINE	# nine
003A	3A	# COLON	# colon
003B	3B	# SEMICOLON	# semicolon
003C	3C	# LESS-THAN SIGN	# less
003D	3D	# EQUALS SIGN	# equal
003E	3E	# GREATER-THAN SIGN	# greater
003F	3F	# QUESTION MARK	# question
005B	5B	# OPENING SQUARE BRACKET	# bracketleft
005D	5D	# CLOSING SQUARE BRACKET	# bracketright
005F	5F	# SPACING UNDERSCORE	# underscore
007B	7B	# OPENING CURLY BRACKET	# braceleft
007C	7C	# VERTICAL BAR	# bar
007D	7D	# CLOSING CURLY BRACKET	# braceright
00A9	D3	# COPYRIGHT SIGN	# copyrightserif
00A9	E3	# COPYRIGHT SIGN	# copyrightsans
00AC	D8	# NOT SIGN	# logicalnot
00AE	D2	# REGISTERED TRADE MARK SIGN	# registeredserif
00AE	E2	# REGISTERED TRADE MARK SIGN	# registeredsans
00B0	B0	# DEGREE SIGN	# degree
00B1	B1	# PLUS-OR-MINUS SIGN	# plusminus
00D7	B4	# MULTIPLICATION SIGN	# multiply
00F7	B8	# DIVISION SIGN	# divide
0192	A6	# LATIN SMALL LETTER SCRIPT F	# florin
0391	41	# GREEK CAPITAL LETTER ALPHA	# Alpha
0392	42	# GREEK CAPITAL LETTER BETA	# Beta
0393	47	# GREEK CAPITAL LETTER GAMMA	# Gamma
0394	44	# GREEK CAPITAL LETTER DELTA	# Delta
0395	45	# GREEK CAPITAL LETTER EPSILON	# Epsilon
0396	5A	# GREEK CAPITAL LETTER ZETA	# Zeta
0397	48	# GREEK CAPITAL LETTER ETA	# Eta
0398	51	# GREEK CAPITAL LETTER THETA	# Theta
0399	49	# GREEK CAPITAL LETTER IOTA	# Iota
039A	4B	# GREEK CAPITAL LETTER KAPPA	# Kappa
039B	4C	# GREEK CAPITAL LETTER LAMBDA	# Lambda
039C	4D	# GREEK CAPITAL LETTER MU	# Mu
039D	4E	# GREEK CAPITAL LETTER NU	# Nu
039E	58	# GREEK CAPITAL LETTER XI	# Xi
039F	4F	# GREEK CAPITAL LETTER OMICRON	# Omicron
03A0	50	# GREEK CAPITAL LETTER PI	# Pi
03A1	52	# GREEK CAPITAL LETTER RHO	# Rho
03A3	53	# GREEK CAPITAL LETTER SIGMA	# Sigma
03A4	54	# GREEK CAPITAL LETTER TAU	# Tau
03A5	55	# GREEK CAPITAL LETTER UPSILON	# Upsilon
03A6	46	# GREEK CAPITAL LETTER PHI	# Phi
03A7	43	# GREEK CAPITAL LETTER CHI	# Chi
03A8	59	# GREEK CAPITAL LETTER PSI	# Psi
03A9	57	# GREEK CAPITAL LETTER OMEGA	# Omega
03B1	61	# GREEK SMALL LETTER ALPHA	# alpha
03B2	62	# GREEK SMALL LETTER BETA	# beta
03B3	67	# GREEK SMALL LETTER GAMMA	# gamma
03B4	64	# GREEK SMALL LETTER DELTA	# delta
03B5	65	# GREEK SMALL LETTER EPSILON	# epsilon
03B6	7A	# GREEK SMALL LETTER ZETA	# zeta
03B7	68	# GREEK SMALL LETTER ETA	# eta
03B8	71	# GREEK SMALL LETTER THETA	# theta
03B9	69	# GREEK SMALL LETTER IOTA	# iota
03BA	6B	# GREEK SMALL LETTER KAPPA	# kappa
03BB	6C	# GREEK SMALL LETTER LAMBDA	# lambda
03BC	6D	# GREEK SMALL LETTER MU	# mu
03BD	6E	# GREEK SMALL LETTER NU	# nu
03BE	78	# GREEK SMALL LETTER XI	# xi
03BF	6F	# GREEK SMALL LETTER OMICRON	# omicron
03C0	70	# GREEK SMALL LETTER PI	# pi
03C1	72	# GREEK SMALL LETTER RHO	# rho
