#
#       Name:             Adobe Zapf Dingbats Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       General notes:
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
2192	D5	# RIGHT ARROW	# a161
2194	D6	# LEFT RIGHT ARROW	# a163
2195	D7	# UP DOWN ARROW	# a164
2460	AC	# CIRCLED DIGIT ONE	# a120
2461	AD	# CIRCLED DIGIT TWO	# a121
2462	AE	# CIRCLED DIGIT THREE	# a122
2463	AF	# CIRCLED DIGIT FOUR	# a123
2464	B0	# CIRCLED DIGIT FIVE	# a124
2465	B1	# CIRCLED DIGIT SIX	# a125
2466	B2	# CIRCLED DIGIT SEVEN	# a126
2467	B3	# CIRCLED DIGIT EIGHT	# a127
2468	B4	# CIRCLED DIGIT NINE	# a128
2469	B5	# CIRCLED NUMBER TEN	# a129
25A0	6E	# BLACK SQUARE	# a73
25B2	73	# BLACK UP POINTING TRIANGLE	# a76
25BC	74	# BLACK DOWN POINTING TRIANGLE	# a77
25C6	75	# BLACK DIAMOND	# a78
2605	48	# BLACK STAR	# a35
260E	25	# BLACK TELEPHONE	# a4
261B	2A	# BLACK RIGHT POINTING INDEX	# a11
261E	2B	# WHITE RIGHT POINTING INDEX	# a12
2660	AB	# BLACK SPADE SUIT	# a109
2663	A8	# BLACK CLUB SUIT	# a112
2665	AA	# BLACK HEART SUIT	# a110
2666	A9	# BLACK DIAMOND SUIT	# a111
2701	21	# UPPER BLADE SCISSORS	# a1
2702	22	# BLACK SCISSORS	# a2
2703	23	# LOWER BLADE SCISSORS	# a202
2704	24	# WHITE SCISSORS	# a3
2706	26	# TELEPHONE LOCATION SIGN	# a5
2707	27	# TAPE DRIVE	# a119
2708	28	# AIRPLANE	# a118
2709	29	# ENVELOPE	# a117
270C	2C	# VICTORY HAND	# a13
270D	2D	# WRITING HAND	# a14
270E	2E	# LOWER RIGHT PENCIL	# a15
270F	2F	# PENCIL	# a16
2710	30	# UPPER RIGHT PENCIL	# a105
2711	31	# WHITE NIB	# a17
2712	32	# BLACK NIB	# a18
2713	33	# CHECK MARK	# a19
2714	34	# HEAVY CHECK MARK	# a20
2715	35	# MULTIPLICATION X	# a21
2716	36	# HEAVY MULTIPLICATION X	# a22
2717	37	# BALLOT X	# a23
2718	38	# HEAVY BALLOT X	# a24
2719	39	# OUTLINED GREEK CROSS	# a25
271A	3A	# HEAVY GREEK CROSS	# a26
271B	3B	# OPEN CENTER CROSS	# a27
271C	3C	# HEAVY OPEN CENTER CROSS	# a28
271D	3D	# LATIN CROSS	# a6
271E	3E	# SHADOWED WHITE LATIN CROSS	# a7
271F	3F	# OUTLINED LATIN CROSS	# a8
2720	40	# MALTESE CROSS	# a9
2721	41	# STAR OF DAVID	# a10
2722	42	# FOUR TEARDROP-SPOKED ASTERISK	# a29
2723	43	# FOUR BALLOON-SPOKED ASTERISK	# a30
2724	44	# HEAVY FOUR BALLOON-SPOKED ASTERISK	# a31
2725	45	# FOUR CLUB-SPOKED ASTERISK	# a32
2726	46	# BLACK FOUR POINTED STAR	# a33
2727	47	# WHITE FOUR POINTED STAR	# a34
2729	49	# STRESS OUTLINED WHITE STAR	# a36
272A	4A	# CIRCLED WHITE STAR	# a37
272B	4B	# OPEN CENTER BLACK STAR	# a38
272C	4C	# BLACK CENTER WHITE STAR	# a39
