#  
#          Name:             XCCS (XC-3-1-1-0) to Unicode
#          Unicode version:  3.0
#          XCCS charset:     361 ACCENTED-LATIN
#          Table version:    0.1
#          Table format:     Format A
#          Date:             4-Aug-2020
#          Author:           Ron Kaplan <Ron.Kaplan@post.harvard.edu>
#  
#  This file contains mappings from the Xerox Character Code Standard (version
#  XC1-3-3-0, 1987) into Unicode 3.0. standard codes.  That is the version of
#  XCCS corresponding to the fonts in the Medley system.
#  
#  The format of this file conforms to the format of the other Unicode-supplied
#  mapping files:
#     Three white-space (tab or spaces) separated columns:
#       Column 1 is the XCCS code (as hex 0xXXXX)
#       Column 2 is the corresponding Unicode (as hex 0xXXXX)
#       Column 3 (after #) is a comment column. For convenience, it contains the
#          Unicode character itself (since the Unicode character names
#          are not available)
#  Unicode FFFF is used for undefined XCCS codes (Column 3 = UNDEFINED
#  Unicode FFFE is used for XCCS codes that have not yet been filled in.
#  (Column 3 = MISSING)
#  
#  This file is encoded in UTF8, so that the Unicode characters
#  are properly displayed in Column 3 and can be edited by standard
#  Unicode-enabled editors (e.g. Mac Textedit).
#  
#  This file can also be read by the function
#  READ-UNICODE-MAPPING in the UNICODE Medley library package.
#  
#  The entries are in XCCS order and grouped by character sets.  In front of
#  the mappings, for convenience, there is a line with the octal XCCS
#  character set, after #.
#  
#  Note that a given XCCS code might map to codes in several different Unicode
#  positions, since there are repetitions in the Unicode standard.
#  
#  For more details, see the associated README.TXT file.
#  
#  Any comments or problems, contact <ron.kaplan@post.harvard.edu>


#  "361" ACCENTED-LATIN
0xF121	0x00C0	#  À
0xF122	0x00C1	#  Á
0xF123	0x00C2	#  Â
0xF124	0x00C3	#  Ã
0xF125	0x00DC	#  Ü
0xF126	0x0102	#  Ă
0xF127	0x00C4	#  Ä
0xF128	0x00C5	#  Å
0xF129	0x0104	#  Ą
0xF12A	0x0106	#  Ć
0xF12B	0x0108	#  Ĉ
0xF12C	0x010A	#  Ċ
0xF12D	0x00C7	#  Ç
0xF12E	0x010C	#  Č
0xF12F	0x010E	#  Ď
0xF130	0x00C8	#  È
0xF131	0x00C9	#  É
0xF132	0x00CA	#  Ê
0xF133	0x0112	#  Ē
0xF134	0x0116	#  Ė
0xF135	0x00CB	#  Ë
0xF136	0x0118	#  Ę
0xF137	0x011A	#  Ě
0xF138	0x01F4	#  Ǵ
0xF139	0x011C	#  Ĝ
0xF13A	0x011E	#  Ğ
0xF13B	0x0120	#  Ġ
0xF13C	0x0122	#  Ģ
0xF13D	0x0124	#  Ĥ
0xF13E	0x00CC	#  Ì
0xF13F	0x01CD	#  Ǎ
0xF140	0x00CE	#  Î
0xF141	0x0128	#  Ĩ
0xF142	0x012A	#  Ī
0xF143	0x0130	#  İ
0xF144	0x00CF	#  Ï
0xF145	0x012E	#  Į
0xF146	0x0134	#  Ĵ
0xF147	0x0136	#  Ķ
0xF148	0x0139	#  Ĺ
0xF149	0x013B	#  Ļ
0xF14A	0x013D	#  Ľ
0xF14B	0x0143	#  Ń
0xF14C	0x00D1	#  Ñ
0xF14D	0x0145	#  Ņ
0xF14E	0x0147	#  Ň
0xF14F	0x00D2	#  Ò
