# These mappings were derived from the XCCStoUni binary file but they don't
# seem to correspond to any character set of XCCS-3-3-0.  They appeared after
# the verified JIS mappings (character sets 60 to 164 in XCCS-JIS.TXT)
# and were therefore assigned successor character set numbers and XCCS codes.
# But they may be totally incorrect.

#  "164" JIS
0x7421	0x7684	#  的
0x7422	0x4E00	#  一
0x7423	0x662F	#  是
0x7424	0x4E0D	#  不
0x7425	0x4E86	#  了
0x7426	0x6211	#  我
0x7427	0x6709	#  有
0x7428	0x4ED6	#  他
0x7429	0x4EBA	#  人
0x742A	0x4E0A	#  上
0x742B	0x5728	#  在
0x742C	0x4F86	#  來
0x742D	0x9019	#  這
0x742E	0x570B	#  國
0x742F	0x5011	#  們
0x7430	0x5927	#  大
0x7431	0x5C0F	#  小
0x7432	0x8AAA	#  說
0x7433	0x5B50	#  子
0x7434	0x500B	#  個
0x7435	0x5C31	#  就
0x7436	0x8981	#  要
0x7437	0x53EF	#  可
0x7438	0x5168	#  全
0x7439	0x5230	#  到
0x743A	0x4E8C	#  二
0x743B	0x4EE5	#  以
0x743C	0x4E2D	#  中
0x743D	0x4F60	#  你
0x743E	0x4E5F	#  也
0x743F	0x6642	#  時
0x7440	0x90A3	#  那
0x7441	0x5341	#  十
0x7442	0x88CF	#  裏
0x7443	0x548C	#  和
0x7444	0x9053	#  道
0x7445	0x8457	#  著
0x7446	0x751F	#  生
0x7447	0x5F97	#  得
0x7448	0x5BB6	#  家
0x7449	0x53BB	#  去
0x744A	0x5929	#  天
0x744B	0x4E09	#  三
0x744C	0x597D	#  好
0x744D	0x5B78	#  學
0x744E	0x5730	#  地
0x744F	0x7232	#  爲
0x7450	0x4E0B	#  下
0x7451	0x90FD	#  都
0x7452	0x9EBC	#  麼
0x7453	0x4E8B	#  事
0x7454	0x770B	#  看
0x7455	0x5E74	#  年
0x7456	0x591A	#  多
0x7457	0x51FA	#  出
0x7458	0x6703	#  會
0x7459	0x7528	#  用
0x745A	0x65E5	#  日
0x745B	0x5F88	#  很
0x745C	0x81EA	#  自
0x745D	0x628A	#  把
0x745E	0x56DB	#  四
0x745F	0x5F8C	#  後
0x7460	0x904E	#  過
0x7461	0x6A23	#  樣
0x7462	0x4E4B	#  之
0x7463	0x6240	#  所
0x7464	0x5152	#  兒
0x7465	0x6C92	#  沒
0x7466	0x4E94	#  五
0x7467	0x751A	#  甚
0x7468	0x898B	#  見
0x7469	0x80FD	#  能
0x746A	0x9762	#  面
0x746B	0x53C8	#  又
0x746C	0x65B9	#  方
0x746D	0x8D77	#  起
0x746E	0x505A	#  做
0x746F	0x672C	#  本
0x7470	0x7A2E	#  種
0x7471	0x8001	#  老
0x7472	0x65BC	#  於
0x7473	0x884C	#  行
0x7474	0x6C11	#  民
0x7475	0x5982	#  如
0x7476	0x524D	#  前
0x7477	0x4F5C	#  作
0x7478	0x540C	#  同
0x7479	0x7B2C	#  第
0x747A	0x6210	#  成
0x747B	0x660E	#  明
0x747C	0x554F	#  問
0x747D	0x767C	#  發
0x747E	0x6CD5	#  法
0x74A1	0x5F9E	#  從
0x74A2	0x897F	#  西
0x74A3	0x7136	#  然
0x74A4	0x5FC3	#  心
0x74A5	0x60F3	#  想
0x74A6	0x9577	#  長
0x74A7	0x5169	#  兩
0x74A8	0x4FBF	#  便
0x74A9	0x56E0	#  因
0x74AA	0x516B	#  八
0x74AB	0x52D5	#  動
0x74AC	0x77E5	#  知
0x74AD	0x6C34	#  水
0x74AE	0x982D	#  頭
0x74AF	0x6559	#  教
0x74B0	0x7D93	#  經
0x74B1	0x5C0D	#  對
0x74B2	0x5DF2	#  已
0x74B3	0x9084	#  還
0x74B4	0x5916	#  外
0x74B5	0x5206	#  分
0x74B6	0x8A71	#  話
0x74B7	0x53EB	#  叫
0x74B8	0x5DE5	#  工
0x74B9	0x7B49	#  等
0x74BA	0x6821	#  校
0x74BB	0x5148	#  先
0x74BC	0x6B64	#  此
0x74BD	0x6708	#  月
0x74BE	0x6771	#  東
0x74BF	0x56DE	#  回
0x74C0	0x7576	#  當
0x74C1	0x958B	#  開
0x74C2	0x516D	#  六
0x74C3	0x800C	#  而
0x74C4	0x610F	#  意
0x74C5	0x4E3B	#  主
0x74C6	0x4F46	#  但
0x74C7	0x5B9A	#  定
0x74C8	0x5019	#  候
0x74C9	0x5E7E	#  幾
0x74CA	0x5403	#  吃
0x74CB	0x516C	#  公
0x74CC	0x7121	#  無
0x74CD	0x4E9B	#  些
0x74CE	0x529B	#  力
0x74CF	0x5E38	#  常
0x74D0	0x767D	#  白
0x74D1	0x5404	#  各
0x74D2	0x5973	#  女
0x74D3	0x8D70	#  走
0x74D4	0x540D	#  名
0x74D5	0x9AD8	#  高
0x74D6	0x61C9	#  應
0x74D7	0x53EA	#  只
