#
#          Name:             XCCS (XC-3-1-1-0) to Unicode
#          Unicode version:  3.0
#          XCCS charset:     117 JIS
#          Table version:    0.1
#          Table format:     Format A
#          Date:             9-Aug-2021
#          Author:           Ron Kaplan <Ron.Kaplan@post.harvard.edu>
#
#  This file contains mappings from the Xerox Character Code Standard (version
#  XC1-3-3-0, 1987) into Unicode 3.0. standard codes.  That is the version of
#  XCCS corresponding to the fonts in the Medley system.
#
#  The format of this file conforms to the format of the other Unicode-supplied
#  mapping files:
#    Three white-space (tab or spaces) separated columns:
#       Column 1 is the XCCS code (as hex 0xXXXX)
#       Column 2 is the corresponding Unicode (as hex 0xXXXX)
#       Column 3 (after #) is a comment column. For convenience, it contains the
#          Unicode character itself (since the Unicode character names
#          are not available)
#  Unicode FFFF is used for undefined XCCS codes (Column 3 = UNDEFINED
#  Unicode FFFE is used for XCCS codes that have not yet been filled in.
#  (Column 3 = MISSING)
#
#  This file is encoded in UTF8, so that the Unicode characters
#  are properly displayed in Column 3 and can be edited by standard
#  Unicode-enabled editors (e.g. Mac Textedit).
#
#  This file can also be read by the function
#  READ-UNICODE-MAPPING in the UNICODE Medley library package.
#
#  The entries are in XCCS order and grouped by character sets.  In front of
#  the mappings, for convenience, there is a line with the octal XCCS
#  character set, after #.
#
#  Note that a given XCCS code might map to codes in several different Unicode
#  positions, since there are repetitions in the Unicode standard.
#
#  For more details, see the associated README.TXT file.
#
#  Any comments or problems, contact <ron.kaplan@post.harvard.edu>


#   "117" JIS
0x4F21	0x84EE	#  蓮 UNKNOWN
0x4F22	0x9023	#  連 UNKNOWN
0x4F23	0x932C	#  錬 UNKNOWN
0x4F24	0x5442	#  呂 UNKNOWN
0x4F25	0x9B6F	#  魯 UNKNOWN
0x4F26	0x6AD3	#  櫓 UNKNOWN
0x4F27	0x7089	#  炉 UNKNOWN
0x4F28	0x8CC2	#  賂 UNKNOWN
0x4F29	0x8DEF	#  路 UNKNOWN
0x4F2A	0x9732	#  露 UNKNOWN
0x4F2B	0x52B4	#  労 UNKNOWN
0x4F2C	0x5A41	#  婁 UNKNOWN
0x4F2D	0x5ECA	#  廊 UNKNOWN
0x4F2E	0x5F04	#  弄 UNKNOWN
0x4F2F	0x6717	#  朗 UNKNOWN
0x4F30	0x697C	#  楼 UNKNOWN
0x4F31	0x6994	#  榔 UNKNOWN
0x4F32	0x6D6A	#  浪 UNKNOWN
0x4F33	0x6F0F	#  漏 UNKNOWN
0x4F34	0x7262	#  牢 UNKNOWN
0x4F35	0x72FC	#  狼 UNKNOWN
0x4F36	0x7BED	#  篭 UNKNOWN
0x4F37	0x8001	#  老 UNKNOWN
0x4F38	0x807E	#  聾 UNKNOWN
0x4F39	0x874B	#  蝋 UNKNOWN
0x4F3A	0x90CE	#  郎 UNKNOWN
0x4F3B	0x516D	#  六 UNKNOWN
0x4F3C	0x9E93	#  麓 UNKNOWN
0x4F3D	0x7984	#  禄 UNKNOWN
0x4F3E	0x808B	#  肋 UNKNOWN
0x4F3F	0x9332	#  録 UNKNOWN
0x4F40	0x8AD6	#  論 UNKNOWN
0x4F41	0x502D	#  倭 UNKNOWN
0x4F42	0x548C	#  和 UNKNOWN
0x4F43	0x8A71	#  話 UNKNOWN
0x4F44	0x6B6A	#  歪 UNKNOWN
0x4F45	0x8CC4	#  賄 UNKNOWN
0x4F46	0x8107	#  脇 UNKNOWN
0x4F47	0x60D1	#  惑 UNKNOWN
0x4F48	0x67A0	#  枠 UNKNOWN
0x4F49	0x9DF2	#  鷲 UNKNOWN
0x4F4A	0x4E99	#  亙 UNKNOWN
0x4F4B	0x4E98	#  亘 UNKNOWN
0x4F4C	0x9C10	#  鰐 UNKNOWN
0x4F4D	0x8A6B	#  詫 UNKNOWN
0x4F4E	0x85C1	#  藁 UNKNOWN
0x4F4F	0x8568	#  蕨 UNKNOWN
0x4F50	0x6900	#  椀 UNKNOWN
0x4F51	0x6E7E	#  湾 UNKNOWN
0x4F52	0x7897	#  碗 UNKNOWN
0x4F53	0x8155	#  腕 UNKNOWN
