#
#          Name:             XCCS (XC-3-1-1-0) to Unicode
#          Unicode version:  3.0
#          XCCS charset:     164 JIS
#          Table version:    0.1
#          Table format:     Format A
#          Date:             9-Aug-2021
#          Author:           Ron Kaplan <Ron.Kaplan@post.harvard.edu>
#
#  This file contains mappings from the Xerox Character Code Standard (version
#  XC1-3-3-0, 1987) into Unicode 3.0. standard codes.  That is the version of
#  XCCS corresponding to the fonts in the Medley system.
#
#  The format of this file conforms to the format of the other Unicode-supplied
#  mapping files:
#    Three white-space (tab or spaces) separated columns:
#       Column 1 is the XCCS code (as hex 0xXXXX)
#       Column 2 is the corresponding Unicode (as hex 0xXXXX)
#       Column 3 (after #) is a comment column. For convenience, it contains the
#          Unicode character itself (since the Unicode character names
#          are not available)
#  Unicode FFFF is used for undefined XCCS codes (Column 3 = UNDEFINED
#  Unicode FFFE is used for XCCS codes that have not yet been filled in.
#  (Column 3 = MISSING)
#
#  This file is encoded in UTF8, so that the Unicode characters
#  are properly displayed in Column 3 and can be edited by standard
#  Unicode-enabled editors (e.g. Mac Textedit).
#
#  This file can also be read by the function
#  READ-UNICODE-MAPPING in the UNICODE Medley library package.
#
#  The entries are in XCCS order and grouped by character sets.  In front of
#  the mappings, for convenience, there is a line with the octal XCCS
#  character set, after #.
#
#  Note that a given XCCS code might map to codes in several different Unicode
#  positions, since there are repetitions in the Unicode standard.
#
#  For more details, see the associated README.TXT file.
#
#  Any comments or problems, contact <ron.kaplan@post.harvard.edu>


#  "165" JIS
0x7521	0x5B57	#  字
0x7522	0x600E	#  怎
0x7523	0x5FEB	#  快
0x7524	0x5E2B	#  師
0x7525	0x8655	#  處
0x7526	0x76F8	#  相
0x7527	0x6D3B	#  活
0x7528	0x89AA	#  親
0x7529	0x6D77	#  海
0x752A	0x96FB	#  電
0x752B	0x6BCD	#  母
0x752C	0x679C	#  果
0x752D	0x7ACB	#  立
0x752E	0x539F	#  原
0x752F	0x5408	#  合
0x7530	0x66F8	#  書
0x7531	0x5165	#  入
0x7532	0x4E26	#  並
0x7533	0x5E73	#  平
0x7534	0x696D	#  業
0x7535	0x5831	#  報
0x7536	0x8EAB	#  身
0x7537	0x5E02	#  市
0x7538	0x88AB	#  被
0x7539	0x8A31	#  許
0x753A	0x8ACB	#  請
0x753B	0x5C11	#  少
0x753C	0x9593	#  間
0x753D	0x9AD4	#  體
0x753E	0x4F4F	#  住
0x753F	0x8ECA	#  車
0x7540	0x8ECD	#  軍
0x7541	0x908A	#  邊
0x7542	0x91CD	#  重
0x7543	0x52A0	#  加
0x7544	0x5716	#  圖
0x7545	0x6216	#  或
0x7546	0x6B21	#  次
0x7547	0x6BCF	#  每
0x7548	0x7E3D	#  總
0x7549	0x706B	#  火
0x754A	0x6587	#  文
0x754B	0x5B69	#  孩
0x754C	0x4E16	#  世
0x754D	0x5B89	#  安
0x754E	0x653E	#  放
0x754F	0x6A5F	#  機
0x7550	0x5167	#  內
0x7551	0x95DC	#  關
0x7552	0x5229	#  利
0x7553	0x50CF	#  像
0x7554	0x7406	#  理
0x7555	0x6BD4	#  比
0x7556	0x611B	#  愛
0x7557	0x738B	#  王
0x7558	0x5225	#  別
0x7559	0x592B	#  夫
0x755A	0x8207	#  與
0x755B	0x5149	#  光
0x755C	0x82B1	#  花
0x755D	0x83EF	#  華
0x755E	0x8AB2	#  課
0x755F	0x80B2	#  育
0x7560	0x6545	#  故
0x7561	0x5FC5	#  必
0x7562	0x689D	#  條
0x7563	0x5ABD	#  媽
0x7564	0x5F1F	#  弟
0x7565	0x7236	#  父
0x7566	0x901A	#  通
0x7567	0x8868	#  表
0x7568	0x91D1	#  金
0x7569	0x5BEB	#  寫
0x756A	0x5DF1	#  己
0x756B	0x624D	#  才
0x756C	0x6CB3	#  河
0x756D	0x7701	#  省
0x756E	0x53F0	#  台
0x756F	0x6C42	#  求
0x7570	0x6536	#  收
0x7571	0x842C	#  萬
0x7572	0x4E14	#  且
