
#   "241" UNIHAN

0xA121	0x7684	# 的 -- 241,041
0xA122	0x4E00	# 一 -- 241,042
0xA123	0x662F	# 是 -- 241,043
0xA124	0x4E0D	# 不 -- 241,044
0xA125	0x4E86	# 了 -- 241,045
0xA126	0x6211	# 我 -- 241,046
0xA127	0x6709	# 有 -- 241,047
0xA128	0x4ED6	# 他 -- 241,050
0xA129	0x4EBA	# 人 -- 241,051
0xA12A	0x4E0A	# 上 -- 241,052
0xA12B	0x5728	# 在 -- 241,053
0xA12C	0x4F86	# 來 -- 241,054
0xA12D	0x9019	# 這 -- 241,055
0xA12E	0x570B	# 國 -- 241,056
0xA12F	0x5011	# 們 -- 241,057
0xA130	0x5927	# 大 -- 241,060
0xA131	0x5C0F	# 小 -- 241,061
0xA132	0x8AAA	# 說 -- 241,062
0xA133	0x5B50	# 子 -- 241,063
0xA134	0x500B	# 個 -- 241,064
0xA135	0x5C31	# 就 -- 241,065
0xA136	0x8981	# 要 -- 241,066
0xA137	0x53EF	# 可 -- 241,067
0xA138	0x5168	# 全 -- 241,070
0xA139	0x5230	# 到 -- 241,071
0xA13A	0x4E8C	# 二 -- 241,072
0xA13B	0x4EE5	# 以 -- 241,073
0xA13C	0x4E2D	# 中 -- 241,074
0xA13D	0x4F60	# 你 -- 241,075
0xA13E	0x4E5F	# 也 -- 241,076
0xA13F	0x6642	# 時 -- 241,077
0xA140	0x90A3	# 那 -- 241,100
0xA141	0x5341	# 十 -- 241,101
0xA142	0x88CF	# 裏 -- 241,102
0xA143	0x548C	# 和 -- 241,103
0xA144	0x9053	# 道 -- 241,104
0xA145	0x8457	# 著 -- 241,105
0xA146	0x751F	# 生 -- 241,106
0xA147	0x5F97	# 得 -- 241,107
0xA148	0x5BB6	# 家 -- 241,110
0xA149	0x53BB	# 去 -- 241,111
0xA14A	0x5929	# 天 -- 241,112
0xA14B	0x4E09	# 三 -- 241,113
0xA14C	0x597D	# 好 -- 241,114
0xA14D	0x5B78	# 學 -- 241,115
0xA14E	0x5730	# 地 -- 241,116
0xA14F	0x7232	# 爲 -- 241,117
0xA150	0x4E0B	# 下 -- 241,120
0xA151	0x90FD	# 都 -- 241,121
0xA152	0x9EBC	# 麼 -- 241,122
0xA153	0x4E8B	# 事 -- 241,123
0xA154	0x770B	# 看 -- 241,124
0xA155	0x5E74	# 年 -- 241,125
0xA156	0x591A	# 多 -- 241,126
0xA157	0x51FA	# 出 -- 241,127
0xA158	0x6703	# 會 -- 241,130
0xA159	0x7528	# 用 -- 241,131
0xA15A	0x65E5	# 日 -- 241,132
0xA15B	0x5F88	# 很 -- 241,133
0xA15C	0x81EA	# 自 -- 241,134
0xA15D	0x628A	# 把 -- 241,135
0xA15E	0x56DB	# 四 -- 241,136
0xA15F	0x5F8C	# 後 -- 241,137
0xA160	0x904E	# 過 -- 241,140
0xA161	0x6A23	# 樣 -- 241,141
0xA162	0x4E4B	# 之 -- 241,142
0xA163	0x6240	# 所 -- 241,143
0xA164	0x5152	# 兒 -- 241,144
0xA165	0x6C92	# 沒 -- 241,145
0xA166	0x4E94	# 五 -- 241,146
0xA167	0x751A	# 甚 -- 241,147
0xA168	0x898B	# 見 -- 241,150
0xA169	0x80FD	# 能 -- 241,151
0xA16A	0x9762	# 面 -- 241,152
0xA16B	0x53C8	# 又 -- 241,153
0xA16C	0x65B9	# 方 -- 241,154
0xA16D	0x8D77	# 起 -- 241,155
0xA16E	0x505A	# 做 -- 241,156
0xA16F	0x672C	# 本 -- 241,157
0xA170	0x7A2E	# 種 -- 241,160
0xA171	0x8001	# 老 -- 241,161
0xA172	0x65BC	# 於 -- 241,162
0xA173	0x884C	# 行 -- 241,163
0xA174	0x6C11	# 民 -- 241,164
0xA175	0x5982	# 如 -- 241,165
0xA176	0x524D	# 前 -- 241,166
0xA177	0x4F5C	# 作 -- 241,167
0xA178	0x540C	# 同 -- 241,170
0xA179	0x7B2C	# 第 -- 241,171
0xA17A	0x6210	# 成 -- 241,172
0xA17B	0x660E	# 明 -- 241,173
0xA17C	0x554F	# 問 -- 241,174
0xA17D	0x767C	# 發 -- 241,175
0xA17E	0x6CD5	# 法 -- 241,176
0xA1A1	0x5F9E	# 從 -- 241,241
0xA1A2	0x897F	# 西 -- 241,242
0xA1A3	0x7136	# 然 -- 241,243
0xA1A4	0x5FC3	# 心 -- 241,244
0xA1A5	0x60F3	# 想 -- 241,245
0xA1A6	0x9577	# 長 -- 241,246
0xA1A7	0x5169	# 兩 -- 241,247
0xA1A8	0x4FBF	# 便 -- 241,250
0xA1A9	0x56E0	# 因 -- 241,251
0xA1AA	0x516B	# 八 -- 241,252
0xA1AB	0x52D5	# 動 -- 241,253
0xA1AC	0x77E5	# 知 -- 241,254
0xA1AD	0x6C34	# 水 -- 241,255
0xA1AE	0x982D	# 頭 -- 241,256
0xA1AF	0x6559	# 教 -- 241,257
0xA1B0	0x7D93	# 經 -- 241,260
0xA1B1	0x5C0D	# 對 -- 241,261
0xA1B2	0x5DF2	# 已 -- 241,262
0xA1B3	0x9084	# 還 -- 241,263
0xA1B4	0x5916	# 外 -- 241,264
0xA1B5	0x5206	# 分 -- 241,265
0xA1B6	0x8A71	# 話 -- 241,266
0xA1B7	0x53EB	# 叫 -- 241,267
0xA1B8	0x5DE5	# 工 -- 241,270
0xA1B9	0x7B49	# 等 -- 241,271
0xA1BA	0x6821	# 校 -- 241,272
0xA1BB	0x5148	# 先 -- 241,273
0xA1BC	0x6B64	# 此 -- 241,274
0xA1BD	0x6708	# 月 -- 241,275
0xA1BE	0x6771	# 東 -- 241,276
0xA1BF	0x56DE	# 回 -- 241,277
0xA1C0	0x7576	# 當 -- 241,300
0xA1C1	0x958B	# 開 -- 241,301
0xA1C2	0x516D	# 六 -- 241,302
