
#   "242" UNIHAN

0xA221	0x5B57	# 字 -- 242,041
0xA222	0x600E	# 怎 -- 242,042
0xA223	0x5FEB	# 快 -- 242,043
0xA224	0x5E2B	# 師 -- 242,044
0xA225	0x8655	# 處 -- 242,045
0xA226	0x76F8	# 相 -- 242,046
0xA227	0x6D3B	# 活 -- 242,047
0xA228	0x89AA	# 親 -- 242,050
0xA229	0x6D77	# 海 -- 242,051
0xA22A	0x96FB	# 電 -- 242,052
0xA22B	0x6BCD	# 母 -- 242,053
0xA22C	0x679C	# 果 -- 242,054
0xA22D	0x7ACB	# 立 -- 242,055
0xA22E	0x539F	# 原 -- 242,056
0xA22F	0x5408	# 合 -- 242,057
0xA230	0x66F8	# 書 -- 242,060
0xA231	0x5165	# 入 -- 242,061
0xA233	0x5E73	# 平 -- 242,063
0xA234	0x696D	# 業 -- 242,064
0xA235	0x5831	# 報 -- 242,065
0xA236	0x8EAB	# 身 -- 242,066
0xA237	0x5E02	# 市 -- 242,067
0xA238	0x88AB	# 被 -- 242,070
0xA239	0x8A31	# 許 -- 242,071
0xA23A	0x8ACB	# 請 -- 242,072
0xA23B	0x5C11	# 少 -- 242,073
0xA23C	0x9593	# 間 -- 242,074
0xA23D	0x9AD4	# 體 -- 242,075
0xA23E	0x4F4F	# 住 -- 242,076
0xA23F	0x8ECA	# 車 -- 242,077
0xA240	0x8ECD	# 軍 -- 242,100
0xA241	0x908A	# 邊 -- 242,101
0xA242	0x91CD	# 重 -- 242,102
0xA243	0x52A0	# 加 -- 242,103
0xA244	0x5716	# 圖 -- 242,104
0xA245	0x6216	# 或 -- 242,105
0xA246	0x6B21	# 次 -- 242,106
0xA247	0x6BCF	# 每 -- 242,107
0xA248	0x7E3D	# 總 -- 242,110
0xA249	0x706B	# 火 -- 242,111
0xA24A	0x6587	# 文 -- 242,112
0xA24B	0x5B69	# 孩 -- 242,113
0xA24C	0x4E16	# 世 -- 242,114
0xA24D	0x5B89	# 安 -- 242,115
0xA24E	0x653E	# 放 -- 242,116
0xA24F	0x6A5F	# 機 -- 242,117
0xA250	0x5167	# 內 -- 242,120
0xA251	0x95DC	# 關 -- 242,121
0xA252	0x5229	# 利 -- 242,122
0xA253	0x50CF	# 像 -- 242,123
0xA254	0x7406	# 理 -- 242,124
0xA255	0x6BD4	# 比 -- 242,125
0xA256	0x611B	# 愛 -- 242,126
0xA257	0x738B	# 王 -- 242,127
0xA258	0x5225	# 別 -- 242,130
0xA259	0x592B	# 夫 -- 242,131
0xA25A	0x8207	# 與 -- 242,132
0xA25B	0x5149	# 光 -- 242,133
0xA25C	0x82B1	# 花 -- 242,134
0xA25D	0x83EF	# 華 -- 242,135
0xA25E	0x8AB2	# 課 -- 242,136
0xA25F	0x80B2	# 育 -- 242,137
0xA260	0x6545	# 故 -- 242,140
0xA261	0x5FC5	# 必 -- 242,141
0xA262	0x689D	# 條 -- 242,142
0xA263	0x5ABD	# 媽 -- 242,143
0xA264	0x5F1F	# 弟 -- 242,144
0xA265	0x7236	# 父 -- 242,145
0xA266	0x901A	# 通 -- 242,146
0xA267	0x8868	# 表 -- 242,147
0xA268	0x91D1	# 金 -- 242,150
0xA269	0x5BEB	# 寫 -- 242,151
0xA26A	0x5DF1	# 己 -- 242,152
0xA26B	0x624D	# 才 -- 242,153
0xA26C	0x6CB3	# 河 -- 242,154
0xA26D	0x7701	# 省 -- 242,155
0xA26E	0x53F0	# 台 -- 242,156
0xA26F	0x6C42	# 求 -- 242,157
0xA270	0x6536	# 收 -- 242,160
0xA271	0x842C	# 萬 -- 242,161
0xA272	0x4E14	# 且 -- 242,162
0xA273	0x4F55	# 何 -- 242,163
0xA274	0x4EE3	# 代 -- 242,164
0xA275	0x5171	# 共 -- 242,165
0xA276	0x53D7	# 受 -- 242,166
0xA277	0x98A8	# 風 -- 242,167
0xA278	0x6C5F	# 江 -- 242,170
0xA279	0x62FF	# 拿 -- 242,171
0xA27A	0x96E3	# 難 -- 242,172
0xA27B	0x754C	# 界 -- 242,173
0xA27C	0x4FE1	# 信 -- 242,174
0xA27D	0x671B	# 望 -- 242,175
0xA27E	0x7A7A	# 空 -- 242,176
0xA2A1	0x6B7B	# 死 -- 242,241
0xA2A2	0x73ED	# 班 -- 242,242
0xA2A3	0x99AC	# 馬 -- 242,243
0xA2A4	0x671F	# 期 -- 242,244
0xA2A5	0x975E	# 非 -- 242,245
0xA2A6	0x6A39	# 樹 -- 242,246
0xA2A7	0x53CA	# 及 -- 242,247
0xA2A8	0x7D50	# 結 -- 242,250
0xA2A9	0x865F	# 號 -- 242,251
0xA2AA	0x5E36	# 帶 -- 242,252
0xA2AB	0x5143	# 元 -- 242,253
0xA2AC	0x4EA4	# 交 -- 242,254
0xA2AD	0x8A72	# 該 -- 242,255
0xA2AE	0x672A	# 未 -- 242,256
0xA2AF	0x7FA9	# 義 -- 242,257
0xA2B0	0x5E9C	# 府 -- 242,260
0xA2B1	0x5B8C	# 完 -- 242,261
0xA2B2	0x8AD6	# 論 -- 242,262
0xA2B3	0x9322	# 錢 -- 242,263
0xA2B4	0x98DB	# 飛 -- 242,264
0xA2B5	0x547D	# 命 -- 242,265
0xA2B6	0x5F35	# 張 -- 242,266
0xA2B7	0x54E1	# 員 -- 242,267
0xA2B8	0x6578	# 數 -- 242,270
0xA2B9	0x6797	# 林 -- 242,271
0xA2BA	0x63A5	# 接 -- 242,272
0xA2BB	0x5C40	# 局 -- 242,273
0xA2BC	0x53CB	# 友 -- 242,274
0xA2BD	0x559C	# 喜 -- 242,275
0xA2BE	0x6E05	# 清 -- 242,276
0xA2BF	0x6D0B	# 洋 -- 242,277
0xA2C0	0x6A02	# 樂 -- 242,300
0xA2C1	0x5A5A	# 婚 -- 242,301
0xA2C2	0x793E	# 社 -- 242,302
0xA2C3	0x65E9	# 早 -- 242,303
0xA2C4	0x5E03	# 布 -- 242,304
0xA2C5	0x6975	# 極 -- 242,305
0xA2C6	0x773C	# 眼 -- 242,306
0xA2C7	0x55CE	# 嗎 -- 242,307
0xA2C8	0x7522	# 產 -- 242,310
0xA2C9	0x544A	# 告 -- 242,311
0xA2CA	0x54E5	# 哥 -- 242,312
0xA2CB	0x8208	# 興 -- 242,313
0xA2CC	0x52DE	# 勞 -- 242,314
