
#   "243" UNIHAN

0xA321	0x661F	# 星 -- 243,041
0xA322	0x984C	# 題 -- 243,042
0xA323	0x4FDD	# 保 -- 243,043
0xA324	0x5012	# 倒 -- 243,044
0xA325	0x7AE5	# 童 -- 243,045
0xA326	0x9060	# 遠 -- 243,046
0xA327	0x5316	# 化 -- 243,047
0xA328	0x76EE	# 目 -- 243,050
0xA329	0x5750	# 坐 -- 243,051
0xA32A	0x623F	# 房 -- 243,052
0xA32B	0x5F3A	# 强 -- 243,053
0xA32C	0x8B80	# 讀 -- 243,054
0xA32D	0x9001	# 送 -- 243,055
0xA32E	0x672B	# 末 -- 243,056
0xA32F	0x665A	# 晚 -- 243,057
0xA330	0x98DF	# 食 -- 243,060
0xA331	0x96D6	# 雖 -- 243,061
0xA332	0x97F3	# 音 -- 243,062
0xA333	0x6EFF	# 滿 -- 243,063
0xA334	0x8FA6	# 辦 -- 243,064
0xA335	0x6027	# 性 -- 243,065
0xA336	0x6B61	# 歡 -- 243,066
0xA337	0x75C5	# 病 -- 243,067
0xA338	0x9054	# 達 -- 243,070
0xA339	0x5BB3	# 害 -- 243,071
0xA33A	0x8CB7	# 買 -- 243,072
0xA33B	0x9280	# 銀 -- 243,073
0xA33C	0x52D9	# 務 -- 243,074
0xA33D	0x5920	# 夠 -- 243,075
0xA33E	0x4EFB	# 任 -- 243,076
0xA33F	0x9023	# 連 -- 243,077
0xA340	0x5546	# 商 -- 243,100
0xA341	0x7279	# 特 -- 243,101
0xA342	0x82E6	# 苦 -- 243,102
0xA343	0x5FB7	# 德 -- 243,103
0xA344	0x9662	# 院 -- 243,104
0xA345	0x6B0A	# 權 -- 243,105
0xA346	0x6B65	# 步 -- 243,106
0xA347	0x5440	# 呀 -- 243,107
0xA348	0x6015	# 怕 -- 243,110
0xA349	0x77F3	# 石 -- 243,111
0xA34A	0x8272	# 色 -- 243,112
0xA34B	0x5EFA	# 建 -- 243,113
0xA34C	0x6B3E	# 款 -- 243,114
0xA34D	0x5A66	# 婦 -- 243,115
