
#   "244" UNIHAN

0xA421	0x4F3C	# 似 -- 244,041
0xA422	0x79D1	# 科 -- 244,042
0xA423	0x79AE	# 禮 -- 244,043
0xA424	0x798F	# 福 -- 244,044
0xA425	0x9632	# 防 -- 244,045
0xA426	0x6BBA	# 殺 -- 244,046
0xA427	0x8AC7	# 談 -- 244,047
0xA428	0x4EE4	# 令 -- 244,050
0xA429	0x8CC7	# 資 -- 244,051
0xA42A	0x64DA	# 據 -- 244,052
0xA42B	0x4FC4	# 俄 -- 244,053
0xA42C	0x7559	# 留 -- 244,054
0xA42D	0x811A	# 脚 -- 244,055
0xA42E	0x5CF6	# 島 -- 244,056
0xA42F	0x5718	# 團 -- 244,057
0xA430	0x8CE3	# 賣 -- 244,060
0xA431	0x5FD7	# 志 -- 244,061
0xA432	0x62C9	# 拉 -- 244,062
0xA433	0x6B66	# 武 -- 244,063
0xA434	0x602A	# 怪 -- 244,064
0xA435	0x4ED8	# 付 -- 244,065
0xA436	0x4FC2	# 係 -- 244,066
0xA437	0x725B	# 牛 -- 244,067
0xA438	0x606F	# 息 -- 244,070
0xA439	0x50B7	# 傷 -- 244,071
0xA43A	0x5BA2	# 客 -- 244,072
0xA43B	0x8A0E	# 討 -- 244,073
0xA43C	0x96A8	# 隨 -- 244,074
0xA43D	0x8336	# 茶 -- 244,075
0xA43E	0x501F	# 借 -- 244,076
0xA43F	0x885B	# 衛 -- 244,077
0xA440	0x591C	# 夜 -- 244,100
0xA441	0x7063	# 灣 -- 244,101
0xA442	0x806F	# 聯 -- 244,102
0xA443	0x4E9E	# 亞 -- 244,103
0xA444	0x8D95	# 趕 -- 244,104
0xA445	0x5C45	# 居 -- 244,105
0xA446	0x9152	# 酒 -- 244,106
0xA447	0x968A	# 隊 -- 244,107
0xA448	0x9047	# 遇 -- 244,110
0xA449	0x5BCC	# 富 -- 244,111
0xA44A	0x8B93	# 讓 -- 244,112
0xA44B	0x5BDF	# 察 -- 244,113
0xA44C	0x5947	# 奇 -- 244,114
0xA44D	0x65AF	# 斯 -- 244,115
0xA44E	0x7D00	# 紀 -- 244,116
0xA44F	0x683C	# 格 -- 244,117
0xA450	0x6DF1	# 深 -- 244,120
0xA452	0x8FEB	# 迫 -- 244,122
0xA453	0x7DCA	# 緊 -- 244,123
0xA454	0x7E54	# 織 -- 244,124
0xA455	0x9CE5	# 鳥 -- 244,125
0xA456	0x6625	# 春 -- 244,126
0xA458	0x7B46	# 筆 -- 244,130
0xA459	0x66FF	# 替 -- 244,131
0xA45A	0x5F71	# 影 -- 244,132
0xA45B	0x7C73	# 米 -- 244,133
0xA45C	0x4E82	# 亂 -- 244,134
0xA45D	0x51B7	# 冷 -- 244,135
0xA45E	0x59CB	# 始 -- 244,136
0xA45F	0x8607	# 蘇 -- 244,137
0xA460	0x6050	# 恐 -- 244,140
0xA461	0x6CB9	# 油 -- 244,141
0xA462	0x65C1	# 旁 -- 244,142
0xA463	0x820A	# 舊 -- 244,143
0xA464	0x5B97	# 宗 -- 244,144
0xA465	0x54ED	# 哭 -- 244,145
0xA466	0x963F	# 阿 -- 244,146
0xA467	0x88FD	# 製 -- 244,147
0xA468	0x71C8	# 燈 -- 244,150
0xA469	0x6B4C	# 歌 -- 244,151
0xA46A	0x7761	# 睡 -- 244,152
0xA46B	0x5712	# 園 -- 244,153
0xA46C	0x9DC4	# 鷄 -- 244,154
0xA46D	0x5F85	# 待 -- 244,155
0xA46E	0x5C0E	# 導 -- 244,156
0xA46F	0x537B	# 卻 -- 244,157
0xA470	0x9F20	# 鼠 -- 244,160
0xA471	0x9805	# 項 -- 244,161
0xA472	0x53E5	# 句 -- 244,162
0xA473	0x5200	# 刀 -- 244,163
0xA474	0x5340	# 區 -- 244,164
0xA475	0x8A34	# 訴 -- 244,165
0xA476	0x4EA6	# 亦 -- 244,166
0xA477	0x8003	# 考 -- 244,167
0xA478	0x589E	# 增 -- 244,170
0xA479	0x9678	# 陸 -- 244,171
0xA47A	0x5E6B	# 幫 -- 244,172
0xA47B	0x8F15	# 輕 -- 244,173
0xA47C	0x6628	# 昨 -- 244,174
0xA47D	0x5E8F	# 序 -- 244,175
0xA47E	0x7DE8	# 編 -- 244,176
0xA4A1	0x9810	# 預 -- 244,241
0xA4A2	0x4EAC	# 京 -- 244,242
0xA4A3	0x590F	# 夏 -- 244,243
0xA4A4	0x96F2	# 雲 -- 244,244
0xA4A5	0x5177	# 具 -- 244,245
0xA4A6	0x8D8A	# 越 -- 244,246
0xA4A7	0x5BA4	# 室 -- 244,247
0xA4A8	0x54C8	# 哈 -- 244,250
0xA4A9	0x8CEA	# 質 -- 244,251
0xA4AA	0x7D19	# 紙 -- 244,252
0xA4AB	0x9418	# 鐘 -- 244,253
0xA4AC	0x4EAE	# 亮 -- 244,254
0xA4AD	0x907A	# 遺 -- 244,255
0xA4AE	0x60E1	# 惡 -- 244,256
0xA4AF	0x674E	# 李 -- 244,257
0xA4B0	0x805E	# 聞 -- 244,260
0xA4B1	0x6557	# 敗 -- 244,261
0xA4B2	0x4ECD	# 仍 -- 244,262
0xA4B3	0x8CA1	# 財 -- 244,263
0xA4B4	0x6D32	# 洲 -- 244,264
0xA4B5	0x8ABF	# 調 -- 244,265
0xA4B6	0x91AB	# 醫 -- 244,266
0xA4B7	0x8CA8	# 貨 -- 244,267
0xA4B8	0x570D	# 圍 -- 244,270
0xA4B9	0x72D7	# 狗 -- 244,271
