
#   "245" UNIHAN

0xA521	0x89BA	# 覺 -- 245,041
0xA522	0x7AEF	# 端 -- 245,042
0xA523	0x7956	# 祖 -- 245,043
0xA524	0x5427	# 吧 -- 245,044
0xA525	0x71DF	# 營 -- 245,045
0xA526	0x65CF	# 族 -- 245,046
0xA527	0x6D17	# 洗 -- 245,047
0xA528	0x8CB4	# 貴 -- 245,050
0xA529	0x6EAB	# 溫 -- 245,051
0xA52A	0x862D	# 蘭 -- 245,052
0xA52B	0x8FA8	# 辨 -- 245,053
0xA52C	0x8CAC	# 責 -- 245,054
0xA52D	0x6E96	# 準 -- 245,055
0xA52E	0x6848	# 案 -- 245,056
0xA52F	0x87F2	# 蟲 -- 245,057
0xA530	0x8996	# 視 -- 245,060
0xA531	0x7F8A	# 羊 -- 245,061
0xA532	0x7E8C	# 續 -- 245,062
0xA533	0x63DB	# 換 -- 245,063
0xA534	0x6574	# 整 -- 245,064
0xA535	0x6E56	# 湖 -- 245,065
0xA536	0x9644	# 附 -- 245,066
0xA537	0x5F0F	# 式 -- 245,067
0xA538	0x62B5	# 抵 -- 245,070
0xA539	0x6B77	# 歷 -- 245,071
0xA53A	0x5C04	# 射 -- 245,072
0xA53B	0x5DE6	# 左 -- 245,073
0xA53C	0x72C0	# 狀 -- 245,074
0xA53D	0x7F85	# 羅 -- 245,075
0xA53E	0x81C9	# 臉 -- 245,076
0xA53F	0x67D0	# 某 -- 245,077
0xA540	0x6C0F	# 氏 -- 245,100
0xA541	0x9E97	# 麗 -- 245,101
0xA542	0x62DC	# 拜 -- 245,102
0xA543	0x57FA	# 基 -- 245,103
0xA544	0x80CC	# 背 -- 245,104
0xA545	0x7D55	# 絕 -- 245,105
0xA546	0x5A18	# 娘 -- 245,106
0xA547	0x9B27	# 鬧 -- 245,107
0xA548	0x514B	# 克 -- 245,110
0xA549	0x4E58	# 乘 -- 245,111
0xA54A	0x6F14	# 演 -- 245,112
0xA54B	0x5C6C	# 屬 -- 245,113
0xA54C	0x5C55	# 展 -- 245,114
0xA54D	0x9000	# 退 -- 245,115
0xA54E	0x6A4B	# 橋 -- 245,116
0xA54F	0x97FF	# 響 -- 245,117
0xA550	0x8070	# 聰 -- 245,120
