
#   "246" UNIHAN

0xA621	0x6F54	# 潔 -- 246,041
0xA622	0x5883	# 境 -- 246,042
0xA623	0x6190	# 憐 -- 246,043
0xA624	0x65BD	# 施 -- 246,044
0xA625	0x62B1	# 抱 -- 246,045
0xA626	0x80A5	# 肥 -- 246,046
0xA627	0x54E9	# 哩 -- 246,047
0xA628	0x9732	# 露 -- 246,050
0xA629	0x56F0	# 困 -- 246,051
0xA62A	0x5275	# 創 -- 246,052
0xA62B	0x9F13	# 鼓 -- 246,053
0xA62C	0x51B0	# 冰 -- 246,054
0xA62D	0x9867	# 顧 -- 246,055
0xA62E	0x822A	# 航 -- 246,056
0xA62F	0x5C01	# 封 -- 246,057
0xA630	0x7235	# 爵 -- 246,060
0xA631	0x5B63	# 季 -- 246,061
0xA632	0x62DB	# 招 -- 246,062
0xA633	0x7BC9	# 築 -- 246,063
0xA634	0x86CB	# 蛋 -- 246,064
0xA635	0x666E	# 普 -- 246,065
0xA636	0x9806	# 順 -- 246,066
0xA637	0x5E79	# 幹 -- 246,067
0xA638	0x5F7C	# 彼 -- 246,070
0xA639	0x901F	# 速 -- 246,071
0xA63A	0x7C89	# 粉 -- 246,072
0xA63B	0x6163	# 慣 -- 246,073
0xA63C	0x596C	# 奬 -- 246,074
0xA63D	0x53D4	# 叔 -- 246,075
0xA63E	0x79C1	# 私 -- 246,076
0xA63F	0x4F48	# 佈 -- 246,077
0xA640	0x4F2F	# 伯 -- 246,100
0xA641	0x7159	# 煙 -- 246,101
0xA642	0x9192	# 醒 -- 246,102
0xA643	0x7591	# 疑 -- 246,103
0xA644	0x864E	# 虎 -- 246,104
0xA645	0x96DC	# 雜 -- 246,105
0xA646	0x6CBF	# 沿 -- 246,106
0xA647	0x4FD7	# 俗 -- 246,107
0xA648	0x7240	# 牀 -- 246,110
0xA649	0x72E0	# 狠 -- 246,111
0xA64A	0x6BB5	# 段 -- 246,112
0xA64B	0x821E	# 舞 -- 246,113
0xA64C	0x7E3E	# 績 -- 246,114
0xA64D	0x79CB	# 秋 -- 246,115
0xA64E	0x767B	# 登 -- 246,116
0xA64F	0x7F6A	# 罪 -- 246,117
0xA650	0x56B4	# 嚴 -- 246,120
0xA651	0x6BD2	# 毒 -- 246,121
0xA652	0x64CA	# 擊 -- 246,122
0xA653	0x6CC1	# 況 -- 246,123
0xA654	0x7AAE	# 窮 -- 246,124
0xA655	0x7DAD	# 維 -- 246,125
0xA656	0x52F8	# 勸 -- 246,126
0xA657	0x756A	# 番 -- 246,127
0xA658	0x4E39	# 丹 -- 246,130
0xA659	0x78BA	# 確 -- 246,131
0xA65A	0x7A05	# 稅 -- 246,132
0xA65B	0x62CD	# 拍 -- 246,133
0xA65C	0x7A97	# 窗 -- 246,134
0xA65D	0x8DA3	# 趣 -- 246,135
0xA65E	0x74B0	# 環 -- 246,136
0xA65F	0x5747	# 均 -- 246,137
0xA660	0x7D20	# 素 -- 246,140
0xA661	0x6A6B	# 橫 -- 246,141
0xA662	0x59D1	# 姑 -- 246,142
0xA663	0x65C5	# 旅 -- 246,143
0xA664	0x986F	# 顯 -- 246,144
0xA665	0x66F2	# 曲 -- 246,145
0xA666	0x77A7	# 瞧 -- 246,146
0xA667	0x558A	# 喊 -- 246,147
0xA668	0x5426	# 否 -- 246,150
0xA669	0x5BC4	# 寄 -- 246,151
0xA66A	0x5E55	# 幕 -- 246,152
0xA66B	0x6012	# 怒 -- 246,153
0xA66C	0x9B2D	# 鬭 -- 246,154
0xA66D	0x6CE5	# 泥 -- 246,155
0xA66E	0x614B	# 態 -- 246,156
0xA66F	0x9748	# 靈 -- 246,157
0xA670	0x695A	# 楚 -- 246,160
0xA671	0x5999	# 妙 -- 246,161
0xA672	0x639B	# 掛 -- 246,162
0xA673	0x5F31	# 弱 -- 246,163
0xA674	0x6DE8	# 淨 -- 246,164
0xA675	0x5FD8	# 忘 -- 246,165
0xA676	0x6FC0	# 激 -- 246,166
0xA677	0x9AA8	# 骨 -- 246,167
0xA678	0x7687	# 皇 -- 246,170
0xA679	0x7947	# 祇 -- 246,171
0xA67A	0x54EA	# 哪 -- 246,172
0xA67B	0x59D3	# 姓 -- 246,173
0xA67C	0x719F	# 熟 -- 246,174
0xA67D	0x4ED9	# 仙 -- 246,175
0xA67E	0x5949	# 奉 -- 246,176
0xA6A1	0x9AEE	# 髮 -- 246,241
0xA6A2	0x4E92	# 互 -- 246,242
0xA6A3	0x6176	# 慶 -- 246,243
0xA6A4	0x63A1	# 採 -- 246,244
0xA6A5	0x9813	# 頓 -- 246,245
0xA6A6	0x7BC7	# 篇 -- 246,246
0xA6A7	0x4EA1	# 亡 -- 246,247
0xA6A8	0x7DA0	# 綠 -- 246,250
0xA6A9	0x5FCD	# 忍 -- 246,251
0xA6AA	0x5974	# 奴 -- 246,252
0xA6AB	0x84CB	# 蓋 -- 246,253
0xA6AC	0x6309	# 按 -- 246,254
0xA6AD	0x93AD	# 鎭 -- 246,255
0xA6AE	0x690D	# 植 -- 246,256
