
#   "247" UNIHAN

0xA721	0x8D0A	# 贊 -- 247,041
0xA722	0x7248	# 版 -- 247,042
0xA723	0x6B98	# 殘 -- 247,043
0xA724	0x6D6A	# 浪 -- 247,044
0xA725	0x596A	# 奪 -- 247,045
0xA726	0x4EC1	# 仁 -- 247,046
0xA727	0x812B	# 脫 -- 247,047
0xA728	0x6B32	# 欲 -- 247,050
0xA729	0x594F	# 奏 -- 247,051
0xA72A	0x6ED1	# 滑 -- 247,052
0xA72B	0x7246	# 牆 -- 247,053
0xA72C	0x964D	# 降 -- 247,054
0xA72D	0x6E21	# 渡 -- 247,055
0xA72E	0x50C5	# 僅 -- 247,056
0xA72F	0x96F6	# 零 -- 247,057
0xA730	0x6A21	# 模 -- 247,060
0xA731	0x5F69	# 彩 -- 247,061
0xA732	0x5509	# 唉 -- 247,062
0xA733	0x5C64	# 層 -- 247,063
0xA734	0x6E1B	# 減 -- 247,064
0xA735	0x5E3D	# 帽 -- 247,065
0xA736	0x795D	# 祝 -- 247,066
0xA737	0x7FFB	# 翻 -- 247,067
0xA738	0x5922	# 夢 -- 247,070
0xA739	0x6101	# 愁 -- 247,071
0xA73A	0x6D25	# 津 -- 247,072
0xA73B	0x79FB	# 移 -- 247,073
0xA73C	0x5C3C	# 尼 -- 247,074
0xA73D	0x5C0A	# 尊 -- 247,075
0xA73E	0x5E7C	# 幼 -- 247,076
0xA73F	0x8A69	# 詩 -- 247,077
0xA740	0x4ED4	# 仔 -- 247,100
0xA741	0x5805	# 堅 -- 247,101
0xA742	0x8AA0	# 誠 -- 247,102
0xA743	0x80DE	# 胞 -- 247,103
0xA744	0x69AE	# 榮 -- 247,104
0xA745	0x6DFA	# 淺 -- 247,105
0xA746	0x70CF	# 烏 -- 247,106
0xA747	0x5DE7	# 巧 -- 247,107
0xA748	0x5510	# 唐 -- 247,110
0xA749	0x96F7	# 雷 -- 247,111
0xA74A	0x7169	# 煩 -- 247,112
0xA74B	0x7164	# 煤 -- 247,113
0xA74C	0x5BF8	# 寸 -- 247,114
0xA74D	0x6D89	# 涉 -- 247,115
0xA74E	0x8F38	# 輸 -- 247,116
