
#   "250" UNIHAN

0xA821	0x6478	# 摸 -- 250,041
0xA822	0x63EE	# 揮 -- 250,042
0xA823	0x7AF6	# 競 -- 250,043
0xA824	0x543E	# 吾 -- 250,044
0xA825	0x6DBC	# 涼 -- 250,045
0xA826	0x737B	# 獻 -- 250,046
0xA827	0x731B	# 猛 -- 250,047
0xA828	0x820D	# 舍 -- 250,050
0xA829	0x6355	# 捕 -- 250,051
0xA82A	0x8EB1	# 躱 -- 250,052
0xA82B	0x87FB	# 蟻 -- 250,053
0xA82C	0x76DC	# 盜 -- 250,054
0xA82D	0x7A40	# 穀 -- 250,055
0xA82E	0x5361	# 卡 -- 250,056
0xA830	0x71D5	# 燕 -- 250,060
0xA831	0x5B9C	# 宜 -- 250,061
0xA832	0x5EF6	# 延 -- 250,062
0xA833	0x4EF0	# 仰 -- 250,063
0xA834	0x5F90	# 徐 -- 250,064
0xA835	0x6350	# 捐 -- 250,065
0xA836	0x778E	# 瞎 -- 250,066
0xA837	0x642C	# 搬 -- 250,067
0xA838	0x5687	# 嚇 -- 250,070
0xA839	0x7B52	# 筒 -- 250,071
0xA83A	0x6F6E	# 潮 -- 250,072
0xA83B	0x58A8	# 墨 -- 250,073
0xA83C	0x8AD2	# 諒 -- 250,074
0xA83D	0x6065	# 恥 -- 250,075
0xA83E	0x7C4D	# 籍 -- 250,076
0xA83F	0x73CD	# 珍 -- 250,077
0xA840	0x68EE	# 森 -- 250,100
0xA841	0x5409	# 吉 -- 250,101
0xA842	0x9D72	# 鵲 -- 250,102
0xA843	0x8E0F	# 踏 -- 250,103
0xA844	0x5B64	# 孤 -- 250,104
0xA845	0x7533	# 申 -- 250,105
0xA846	0x62BD	# 抽 -- 250,106
0xA847	0x8B6F	# 譯 -- 250,107
0xA848	0x65A4	# 斤 -- 250,110
0xA849	0x63F4	# 援 -- 250,111
0xA84A	0x4E5E	# 乞 -- 250,112
0xA84B	0x89F8	# 觸 -- 250,113
0xA84C	0x96C5	# 雅 -- 250,114
0xA84D	0x7D17	# 紗 -- 250,115
0xA84E	0x60B2	# 悲 -- 250,116
0xA84F	0x4ED7	# 仗 -- 250,117
0xA850	0x694A	# 楊 -- 250,120
0xA851	0x4F34	# 伴 -- 250,121
0xA852	0x5178	# 典 -- 250,122
0xA853	0x8085	# 肅 -- 250,123
0xA854	0x65E8	# 旨 -- 250,124
0xA855	0x86C7	# 蛇 -- 250,125
0xA856	0x900F	# 透 -- 250,126
0xA857	0x7483	# 璃 -- 250,127
0xA858	0x77E3	# 矣 -- 250,130
0xA859	0x5B8B	# 宋 -- 250,131
0xA85A	0x4E01	# 丁 -- 250,132
0xA85B	0x9EB5	# 麵 -- 250,133
0xA85C	0x6436	# 搶 -- 250,134
0xA85D	0x76C6	# 盆 -- 250,135
0xA85E	0x96C0	# 雀 -- 250,136
0xA85F	0x660C	# 昌 -- 250,137
0xA860	0x9326	# 錦 -- 250,140
0xA861	0x54AC	# 咬 -- 250,141
0xA862	0x6DF7	# 混 -- 250,142
0xA863	0x7334	# 猴 -- 250,143
0xA864	0x4E91	# 云 -- 250,144
0xA865	0x64B2	# 撲 -- 250,145
0xA866	0x59FB	# 姻 -- 250,146
0xA867	0x7E41	# 繁 -- 250,147
0xA868	0x5224	# 判 -- 250,150
0xA869	0x7E31	# 縱 -- 250,151
0xA86A	0x60A8	# 您 -- 250,152
