
#   "251" UNIHAN

0xA921	0x74E6	# 瓦 -- 251,041
0xA922	0x5BEC	# 寬 -- 251,042
0xA923	0x63D2	# 插 -- 251,043
0xA924	0x9811	# 頑 -- 251,044
0xA925	0x5A36	# 娶 -- 251,045
0xA926	0x69CB	# 構 -- 251,046
0xA927	0x5EC9	# 廉 -- 251,047
0xA928	0x906D	# 遭 -- 251,050
0xA929	0x68A7	# 梧 -- 251,051
0xA92A	0x5BE9	# 審 -- 251,052
0xA92B	0x786C	# 硬 -- 251,053
0xA92C	0x528D	# 劍 -- 251,054
0xA92D	0x64A5	# 撥 -- 251,055
0xA92E	0x6293	# 抓 -- 251,056
0xA92F	0x8C8C	# 貌 -- 251,057
0xA930	0x8CE2	# 賢 -- 251,060
0xA931	0x8D64	# 赤 -- 251,061
0xA932	0x721B	# 爛 -- 251,062
0xA933	0x879E	# 螞 -- 251,063
0xA934	0x8FF7	# 迷 -- 251,064
0xA935	0x99D5	# 駕 -- 251,065
0xA936	0x817F	# 腿 -- 251,066
0xA937	0x8DE1	# 跡 -- 251,067
0xA938	0x6736	# 朶 -- 251,070
0xA939	0x4FF1	# 俱 -- 251,071
0xA93A	0x92B7	# 銷 -- 251,072
0xA93B	0x98FD	# 飽 -- 251,073
0xA93C	0x5BBF	# 宿 -- 251,074
0xA93D	0x8523	# 蔣 -- 251,075
0xA93E	0x52C9	# 勉 -- 251,076
0xA93F	0x8010	# 耐 -- 251,077
0xA940	0x9677	# 陷 -- 251,100
0xA941	0x8569	# 蕩 -- 251,101
0xA942	0x4F69	# 佩 -- 251,102
0xA943	0x78B0	# 碰 -- 251,103
0xA944	0x65CB	# 旋 -- 251,104
0xA945	0x68C4	# 棄 -- 251,105
0xA946	0x84C4	# 蓄 -- 251,106
0xA947	0x9ED8	# 默 -- 251,107
0xA948	0x9CF4	# 鳴 -- 251,110
0xA949	0x7DBF	# 綿 -- 251,111
0xA94A	0x6D59	# 浙 -- 251,112
0xA94B	0x55AA	# 喪 -- 251,113
0xA94C	0x8A17	# 託 -- 251,114
0xA94D	0x8907	# 複 -- 251,115
