
#   "252" UNIHAN

0xAA21	0x62D2	# 拒 -- 252,041
0xAA22	0x540F	# 吏 -- 252,042
0xAA23	0x7709	# 眉 -- 252,043
0xAA24	0x7A69	# 穩 -- 252,044
0xAA25	0x54C0	# 哀 -- 252,045
0xAA26	0x5DBA	# 嶺 -- 252,046
0xAA27	0x8C9E	# 貞 -- 252,047
0xAA28	0x7262	# 牢 -- 252,050
0xAA29	0x8774	# 蝴 -- 252,051
0xAA2A	0x9080	# 邀 -- 252,052
0xAA2B	0x6B96	# 殖 -- 252,053
0xAA2C	0x6AA2	# 檢 -- 252,054
0xAA2D	0x92FC	# 鋼 -- 252,055
0xAA2E	0x84B8	# 蒸 -- 252,056
0xAA2F	0x6548	# 效 -- 252,057
0xAA30	0x53EE	# 叮 -- 252,060
0xAA31	0x8179	# 腹 -- 252,061
0xAA32	0x8CED	# 賭 -- 252,062
0xAA33	0x6094	# 悔 -- 252,063
0xAA34	0x9A55	# 驕 -- 252,064
0xAA35	0x6F20	# 漠 -- 252,065
0xAA36	0x5DBC	# 嶼 -- 252,066
0xAA37	0x7F72	# 署 -- 252,067
0xAA38	0x5E63	# 幣 -- 252,070
0xAA39	0x9055	# 違 -- 252,071
0xAA3A	0x903C	# 逼 -- 252,072
0xAA3B	0x6311	# 挑 -- 252,073
0xAA3C	0x62F3	# 拳 -- 252,074
0xAA3D	0x9B0D	# 鬍 -- 252,075
0xAA3E	0x613C	# 愼 -- 252,076
0xAA3F	0x6A13	# 樓 -- 252,077
0xAA40	0x7E2B	# 縫 -- 252,100
0xAA41	0x6BC0	# 毀 -- 252,101
0xAA42	0x7CCA	# 糊 -- 252,102
0xAA43	0x68CD	# 棍 -- 252,103
0xAA44	0x907C	# 遼 -- 252,104
0xAA45	0x6388	# 授 -- 252,105
0xAA46	0x8150	# 腐 -- 252,106
0xAA47	0x651C	# 攜 -- 252,107
0xAA48	0x5BC2	# 寂 -- 252,110
0xAA49	0x51A0	# 冠 -- 252,111
0xAA4A	0x7C43	# 籃 -- 252,112
0xAA4B	0x6E2C	# 測 -- 252,113
0xAA4C	0x97D3	# 韓 -- 252,114
0xAA4D	0x7586	# 疆 -- 252,115
0xAA4E	0x72F8	# 狸 -- 252,116
0xAA4F	0x80F8	# 胸 -- 252,117
0xAA50	0x97A0	# 鞠 -- 252,120
0xAA51	0x64FE	# 擾 -- 252,121
0xAA52	0x7626	# 瘦 -- 252,122
0xAA53	0x9F9C	# 龜 -- 252,123
0xAA54	0x6084	# 悄 -- 252,124
0xAA55	0x61F8	# 懸 -- 252,125
0xAA56	0x9951	# 饑 -- 252,126
0xAA57	0x6263	# 扣 -- 252,127
0xAA58	0x9846	# 顆 -- 252,130
0xAA59	0x6674	# 晴 -- 252,131
0xAA5A	0x7CB5	# 粵 -- 252,132
0xAA5B	0x6572	# 敲 -- 252,133
0xAA5C	0x6C41	# 汁 -- 252,134
0xAA5D	0x5118	# 儘 -- 252,135
0xAA5E	0x520A	# 刊 -- 252,136
0xAA5F	0x55E3	# 嗣 -- 252,137
0xAA60	0x9910	# 餐 -- 252,140
0xAA61	0x91AC	# 醬 -- 252,141
0xAA62	0x7948	# 祈 -- 252,142
0xAA63	0x800D	# 耍 -- 252,143
0xAA64	0x7CD5	# 糕 -- 252,144
0xAA65	0x5006	# 倆 -- 252,145
0xAA66	0x54C7	# 哇 -- 252,146
0xAA67	0x7919	# 礙 -- 252,147
0xAA68	0x5740	# 址 -- 252,150
0xAA69	0x6458	# 摘 -- 252,151
0xAA6A	0x704C	# 灌 -- 252,152
0xAA6B	0x751C	# 甜 -- 252,153
0xAA6C	0x72E1	# 狡 -- 252,154
0xAA6D	0x8F4E	# 轎 -- 252,155
0xAA6E	0x5782	# 垂 -- 252,156
0xAA6F	0x56D1	# 囑 -- 252,157
0xAA70	0x6B8A	# 殊 -- 252,160
0xAA71	0x8870	# 衰 -- 252,161
0xAA72	0x9A45	# 驅 -- 252,162
