
#   "254" UNIHAN

0xAC21	0x6B23	# 欣 -- 254,041
0xAC22	0x7A1F	# 稟 -- 254,042
0xAC23	0x6A01	# 樁 -- 254,043
0xAC24	0x4F73	# 佳 -- 254,044
0xAC25	0x5BB0	# 宰 -- 254,045
0xAC26	0x5AE9	# 嫩 -- 254,046
0xAC27	0x54C9	# 哉 -- 254,047
0xAC28	0x6109	# 愉 -- 254,050
0xAC29	0x5FBD	# 徽 -- 254,051
0xAC2A	0x64F1	# 擱 -- 254,052
0xAC2B	0x8993	# 覓 -- 254,053
0xAC2C	0x6D95	# 涕 -- 254,054
0xAC2D	0x540E	# 后 -- 254,055
0xAC2E	0x67EF	# 柯 -- 254,056
0xAC2F	0x5BFA	# 寺 -- 254,057
0xAC30	0x51B2	# 冲 -- 254,060
0xAC31	0x8B9A	# 讚 -- 254,061
0xAC32	0x675C	# 杜 -- 254,062
0xAC33	0x6DEE	# 淮 -- 254,063
0xAC34	0x6885	# 梅 -- 254,064
0xAC35	0x59FF	# 姿 -- 254,065
0xAC36	0x752B	# 甫 -- 254,066
0xAC37	0x83E9	# 菩 -- 254,067
0xAC38	0x87BA	# 螺 -- 254,070
0xAC39	0x9EDB	# 黛 -- 254,071
0xAC3A	0x5A1C	# 娜 -- 254,072
0xAC3B	0x75B2	# 疲 -- 254,073
0xAC3C	0x8CE4	# 賤 -- 254,074
0xAC3D	0x947F	# 鑿 -- 254,075
0xAC3E	0x5A92	# 媒 -- 254,076
0xAC3F	0x85CD	# 藍 -- 254,077
0xAC40	0x8521	# 蔡 -- 254,100
0xAC41	0x6CE1	# 泡 -- 254,101
0xAC42	0x6583	# 斃 -- 254,102
0xAC43	0x7D21	# 紡 -- 254,103
0xAC44	0x63A7	# 控 -- 254,104
0xAC45	0x5674	# 噴 -- 254,105
0xAC46	0x8ADC	# 諜 -- 254,106
0xAC47	0x6D66	# 浦 -- 254,107
0xAC48	0x7FE0	# 翠 -- 254,110
0xAC49	0x5B87	# 宇 -- 254,111
0xAC4A	0x59C6	# 姆 -- 254,112
0xAC4B	0x6CCA	# 泊 -- 254,113
0xAC4C	0x7CFE	# 糾 -- 254,114
0xAC4D	0x99DB	# 駛 -- 254,115
0xAC4E	0x5091	# 傑 -- 254,116
0xAC4F	0x6E9C	# 溜 -- 254,117
0xAC50	0x5CB3	# 岳 -- 254,120
0xAC51	0x79B9	# 禹 -- 254,121
0xAC52	0x8396	# 莖 -- 254,122
0xAC53	0x7DEC	# 緬 -- 254,123
0xAC55	0x84EE	# 蓮 -- 254,125
0xAC56	0x7642	# 療 -- 254,126
0xAC57	0x5CF0	# 峰 -- 254,127
0xAC58	0x7F38	# 缸 -- 254,130
0xAC59	0x6A61	# 橡 -- 254,131
0xAC5A	0x758F	# 疏 -- 254,132
