
#   "255" UNIHAN

0xAD21	0x555E	# 啞 -- 255,041
0xAD22	0x5587	# 喇 -- 255,042
0xAD23	0x87A2	# 螢 -- 255,043
0xAD24	0x7F50	# 罐 -- 255,044
0xAD25	0x654F	# 敏 -- 255,045
0xAD26	0x829D	# 芝 -- 255,046
0xAD27	0x6372	# 捲 -- 255,047
0xAD28	0x5DE2	# 巢 -- 255,050
0xAD29	0x7AB0	# 窰 -- 255,051
0xAD2A	0x6D29	# 洩 -- 255,052
0xAD2B	0x7F69	# 罩 -- 255,053
0xAD2C	0x7E96	# 纖 -- 255,054
0xAD2D	0x8154	# 腔 -- 255,055
0xAD2E	0x57D4	# 埔 -- 255,056
0xAD2F	0x5A25	# 娥 -- 255,057
0xAD30	0x65E6	# 旦 -- 255,060
0xAD31	0x7D61	# 絡 -- 255,061
0xAD32	0x5BB4	# 宴 -- 255,062
0xAD33	0x8A3B	# 註 -- 255,063
0xAD34	0x6BC5	# 毅 -- 255,064
0xAD35	0x79E7	# 秧 -- 255,065
0xAD36	0x5211	# 刑 -- 255,066
0xAD37	0x6876	# 桶 -- 255,067
0xAD38	0x971E	# 霞 -- 255,070
0xAD39	0x71E5	# 燥 -- 255,071
0xAD3A	0x8292	# 芒 -- 255,072
0xAD3B	0x74F7	# 瓷 -- 255,073
0xAD3C	0x821C	# 舜 -- 255,074
0xAD3D	0x7384	# 玄 -- 255,075
0xAD3E	0x8302	# 茂 -- 255,076
0xAD3F	0x68A8	# 梨 -- 255,077
0xAD40	0x6D69	# 浩 -- 255,100
0xAD41	0x587E	# 塾 -- 255,101
0xAD42	0x52FE	# 勾 -- 255,102
0xAD43	0x6F8E	# 澎 -- 255,103
0xAD44	0x4FAF	# 侯 -- 255,104
0xAD45	0x7941	# 祁 -- 255,105
0xAD46	0x508D	# 傍 -- 255,106
0xAD47	0x786B	# 硫 -- 255,107
0xAD48	0x63CF	# 描 -- 255,110
0xAD49	0x7058	# 灘 -- 255,111
0xAD4A	0x8102	# 脂 -- 255,112
0xAD4B	0x97AD	# 鞭 -- 255,113
0xAD4C	0x7CDE	# 糞 -- 255,114
0xAD4D	0x863F	# 蘿 -- 255,115
0xAD4E	0x91E3	# 釣 -- 255,116
0xAD4F	0x5B75	# 孵 -- 255,117
0xAD50	0x65A7	# 斧 -- 255,120
0xAD51	0x96B4	# 隴 -- 255,121
0xAD52	0x9935	# 餵 -- 255,122
0xAD53	0x6EAA	# 溪 -- 255,123
0xAD54	0x7FBF	# 羿 -- 255,124
0xAD55	0x5075	# 偵 -- 255,125
0xAD56	0x6DF5	# 淵 -- 255,126
0xAD57	0x67AF	# 枯 -- 255,127
0xAD58	0x6850	# 桐 -- 255,130
0xAD59	0x4F19	# 伙 -- 255,131
0xAD5A	0x9081	# 邁 -- 255,132
0xAD5B	0x54F2	# 哲 -- 255,133
0xAD5C	0x86DB	# 蛛 -- 255,134
0xAD5D	0x9AD3	# 髓 -- 255,135
0xAD5E	0x9ED4	# 黔 -- 255,136
0xAD5F	0x8A25	# 訥 -- 255,137
0xAD60	0x5495	# 咕 -- 255,140
0xAD61	0x5679	# 噹 -- 255,141
0xAD62	0x902E	# 逮 -- 255,142
0xAD63	0x6016	# 怖 -- 255,143
0xAD64	0x5915	# 夕 -- 255,144
0xAD65	0x8FC5	# 迅 -- 255,145
0xAD66	0x6591	# 斑 -- 255,146
0xAD67	0x80A2	# 肢 -- 255,147
0xAD68	0x6E67	# 湧 -- 255,150
0xAD69	0x8514	# 蔔 -- 255,151
0xAD6A	0x6817	# 栗 -- 255,152
0xAD6B	0x8718	# 蜘 -- 255,153
0xAD6C	0x5E1A	# 帚 -- 255,154
0xAD6D	0x7282	# 犂 -- 255,155
0xAD6E	0x5937	# 夷 -- 255,156
0xAD6F	0x9035	# 逵 -- 255,157
0xAD70	0x6EEC	# 滬 -- 255,160
0xAD71	0x5FAA	# 循 -- 255,161
0xAD72	0x57C3	# 埃 -- 255,162
0xAD73	0x7A6B	# 穫 -- 255,163
0xAD74	0x6328	# 挨 -- 255,164
0xAD75	0x8105	# 脅 -- 255,165
0xAD76	0x5F70	# 彰 -- 255,166
0xAD77	0x6F86	# 澆 -- 255,167
0xAD78	0x6DF9	# 淹 -- 255,170
0xAD79	0x8606	# 蘆 -- 255,171
0xAD7A	0x522E	# 刮 -- 255,172
0xAD7B	0x7092	# 炒 -- 255,173
0xAD7C	0x6F58	# 潘 -- 255,174
0xAD7D	0x543C	# 吼 -- 255,175
0xAD7E	0x5589	# 喉 -- 255,176
0xADA1	0x8B5A	# 譚 -- 255,241
0xADA2	0x56BC	# 嚼 -- 255,242
0xADA3	0x6DEA	# 淪 -- 255,243
0xADA4	0x5D19	# 崙 -- 255,244
0xADA5	0x9AAF	# 骯 -- 255,245
0xADA6	0x86DF	# 蛟 -- 255,246
0xADA7	0x6E89	# 溉 -- 255,247
0xADA8	0x6A38	# 樸 -- 255,250
0xADA9	0x971C	# 霜 -- 255,251
0xADAA	0x8E64	# 蹤 -- 255,252
0xADAB	0x5ECA	# 廊 -- 255,253
0xADAC	0x4FD8	# 俘 -- 255,254
0xADAD	0x5B30	# 嬰 -- 255,255
0xADAE	0x8303	# 范 -- 255,256
0xADAF	0x6296	# 抖 -- 255,257
0xADB0	0x7D68	# 絨 -- 255,260
0xADB1	0x920E	# 鈎 -- 255,261
0xADB2	0x7CDF	# 糟 -- 255,262
0xADB3	0x4E32	# 串 -- 255,263
0xADB4	0x7409	# 琉 -- 255,264
0xADB5	0x9ABC	# 骼 -- 255,265
0xADB6	0x5B38	# 嬸 -- 255,266
0xADB7	0x80F3	# 胳 -- 255,267
0xADB8	0x5594	# 喔 -- 255,270
0xADB9	0x622A	# 截 -- 255,271
0xADBA	0x61F2	# 懲 -- 255,272
0xADBB	0x9812	# 頒 -- 255,273
0xADBC	0x5A1B	# 娛 -- 255,274
0xADBD	0x8DE8	# 跨 -- 255,275
0xADBE	0x6492	# 撒 -- 255,276
0xADBF	0x8305	# 茅 -- 255,277
0xADC0	0x9DAF	# 鶯 -- 255,300
0xADC1	0x699C	# 榜 -- 255,301
0xADC2	0x919C	# 醜 -- 255,302
0xADC3	0x62D3	# 拓 -- 255,303
0xADC4	0x5212	# 划 -- 255,304
0xADC5	0x8D9F	# 趟 -- 255,305
0xADC6	0x5DEB	# 巫 -- 255,306
0xADC7	0x4F8B	# 例 -- 255,307
