
#   "256" UNIHAN

0xAE21	0x75A5	# 疥 -- 256,041
0xAE22	0x74CA	# 瓊 -- 256,042
0xAE23	0x9640	# 陀 -- 256,043
0xAE24	0x4EAD	# 亭 -- 256,044
0xAE25	0x9396	# 鎖 -- 256,045
0xAE26	0x52DF	# 募 -- 256,046
0xAE27	0x8A98	# 誘 -- 256,047
0xAE28	0x67C4	# 柄 -- 256,050
0xAE29	0x7C64	# 籤 -- 256,051
0xAE2A	0x7DB1	# 綱 -- 256,052
0xAE2B	0x59EA	# 姪 -- 256,053
0xAE2C	0x65A5	# 斥 -- 256,054
0xAE2D	0x856D	# 蕭 -- 256,055
0xAE2E	0x633A	# 挺 -- 256,056
0xAE2F	0x7D2E	# 紮 -- 256,057
0xAE30	0x79A6	# 禦 -- 256,060
0xAE31	0x5FA7	# 徧 -- 256,061
0xAE32	0x8277	# 艷 -- 256,062
0xAE33	0x6B04	# 欄 -- 256,063
0xAE34	0x7B77	# 筷 -- 256,064
0xAE35	0x9699	# 隙 -- 256,065
0xAE36	0x626E	# 扮 -- 256,066
0xAE37	0x502D	# 倭 -- 256,067
0xAE38	0x52FB	# 勻 -- 256,070
0xAE39	0x924B	# 鉋 -- 256,071
0xAE3A	0x9D51	# 鵑 -- 256,072
0xAE3B	0x54FC	# 哼 -- 256,073
0xAE3C	0x72C4	# 狄 -- 256,074
0xAE3D	0x57A3	# 垣 -- 256,075
0xAE3E	0x51F9	# 凹 -- 256,076
0xAE3F	0x4F83	# 侃 -- 256,077
0xAE40	0x8E8D	# 躍 -- 256,100
0xAE41	0x8EAD	# 躭 -- 256,101
0xAE42	0x809D	# 肝 -- 256,102
0xAE43	0x71E6	# 燦 -- 256,103
0xAE44	0x5D11	# 崑 -- 256,104
0xAE45	0x7B1B	# 笛 -- 256,105
0xAE46	0x8679	# 虹 -- 256,106
0xAE47	0x8106	# 脆 -- 256,107
0xAE48	0x7194	# 熔 -- 256,110
0xAE49	0x510D	# 儍 -- 256,111
0xAE4A	0x8A79	# 詹 -- 256,112
0xAE4B	0x77AA	# 瞪 -- 256,113
0xAE4C	0x62CC	# 拌 -- 256,114
0xAE4D	0x7F9E	# 羞 -- 256,115
0xAE4E	0x98B1	# 颱 -- 256,116
0xAE4F	0x9A2B	# 騫 -- 256,117
0xAE50	0x92BC	# 銼 -- 256,120
0xAE51	0x985B	# 顛 -- 256,121
0xAE52	0x52F3	# 勳 -- 256,122
0xAE53	0x5F6D	# 彭 -- 256,123
0xAE54	0x91C0	# 釀 -- 256,124
0xAE55	0x63A9	# 掩 -- 256,125
0xAE56	0x79B1	# 禱 -- 256,126
0xAE57	0x6F84	# 澄 -- 256,127
0xAE58	0x62B9	# 抹 -- 256,130
0xAE59	0x6495	# 撕 -- 256,131
0xAE5A	0x58B3	# 墳 -- 256,132
0xAE5B	0x7D9C	# 綜 -- 256,133
0xAE5C	0x6FFE	# 濾 -- 256,134
0xAE5D	0x6B49	# 歉 -- 256,135
0xAE5E	0x5F26	# 弦 -- 256,136
0xAE5F	0x6346	# 捆 -- 256,137
0xAE60	0x50E7	# 僧 -- 256,140
0xAE61	0x8D0F	# 贏 -- 256,141
0xAE62	0x5EFB	# 廻 -- 256,142
0xAE63	0x54A8	# 咨 -- 256,143
0xAE64	0x69A8	# 榨 -- 256,144
0xAE65	0x6BEF	# 毯 -- 256,145
0xAE66	0x91C7	# 采 -- 256,146
0xAE67	0x5C6F	# 屯 -- 256,147
0xAE68	0x69D3	# 槓 -- 256,150
0xAE69	0x624E	# 扎 -- 256,151
0xAE6A	0x8E72	# 蹲 -- 256,152
0xAE6B	0x9945	# 饅 -- 256,153
0xAE6C	0x7C72	# 籲 -- 256,154
0xAE6D	0x544E	# 呎 -- 256,155
0xAE6E	0x51F8	# 凸 -- 256,156
0xAE6F	0x818A	# 膊 -- 256,157
0xAE70	0x53ED	# 叭 -- 256,160
0xAE71	0x54CE	# 哎 -- 256,161
0xAE72	0x561B	# 嘛 -- 256,162
0xAE73	0x7A1A	# 稚 -- 256,163
0xAE74	0x552F	# 唯 -- 256,164
0xAE75	0x5978	# 奸 -- 256,165
0xAE76	0x60A0	# 悠 -- 256,166
0xAE77	0x61FC	# 懼 -- 256,167
0xAE78	0x4FEF	# 俯 -- 256,170
0xAE79	0x9298	# 銘 -- 256,171
0xAE7A	0x856A	# 蕪 -- 256,172
0xAE7B	0x929C	# 銜 -- 256,173
0xAE7C	0x7D81	# 綁 -- 256,174
0xAE7D	0x8700	# 蜀 -- 256,175
0xAE7E	0x5288	# 劈 -- 256,176
0xAEA1	0x947C	# 鑼 -- 256,241
0xAEA2	0x8073	# 聳 -- 256,242
0xAEA3	0x840D	# 萍 -- 256,243
0xAEA4	0x8944	# 襄 -- 256,244
0xAEA5	0x5D29	# 崩 -- 256,245
0xAEA6	0x865C	# 虜 -- 256,246
0xAEA7	0x6986	# 榆 -- 256,247
0xAEA8	0x814E	# 腎 -- 256,250
0xAEA9	0x8139	# 脹 -- 256,251
0xAEAA	0x868C	# 蚌 -- 256,252
0xAEAB	0x4E56	# 乖 -- 256,253
0xAEAC	0x7B95	# 箕 -- 256,254
0xAEAD	0x5CD9	# 峙 -- 256,255
0xAEAE	0x5AE6	# 嫦 -- 256,256
0xAEAF	0x6BFD	# 毽 -- 256,257
0xAEB0	0x652A	# 攪 -- 256,260
0xAEB1	0x5538	# 唸 -- 256,261
0xAEB2	0x7B24	# 笤 -- 256,262
