
#   "257" UNIHAN

0xAF21	0x9E7C	# 鹼 -- 257,041
0xAF22	0x8B5C	# 譜 -- 257,042
0xAF23	0x859B	# 薛 -- 257,043
0xAF24	0x6EF2	# 滲 -- 257,044
0xAF25	0x7D43	# 絃 -- 257,045
0xAF26	0x96F9	# 雹 -- 257,046
0xAF27	0x6413	# 搓 -- 257,047
0xAF28	0x6936	# 椶 -- 257,050
0xAF29	0x86B1	# 蚱 -- 257,051
0xAF2A	0x8722	# 蜢 -- 257,052
0xAF2B	0x67EC	# 柬 -- 257,053
0xAF2C	0x85F9	# 藹 -- 257,054
0xAF2D	0x9257	# 鉗 -- 257,055
0xAF2E	0x5A49	# 婉 -- 257,056
0xAF2F	0x8783	# 螃 -- 257,057
0xAF30	0x6775	# 杵 -- 257,060
0xAF31	0x9C57	# 鱗 -- 257,061
0xAF32	0x714C	# 煌 -- 257,062
0xAF33	0x870A	# 蜊 -- 257,063
0xAF34	0x54E6	# 哦 -- 257,064
0xAF35	0x6F7C	# 潼 -- 257,065
0xAF36	0x8DF4	# 跴 -- 257,066
0xAF37	0x97CC	# 韌 -- 257,067
0xAF38	0x8463	# 董 -- 257,070
0xAF39	0x8CE6	# 賦 -- 257,071
0xAF3A	0x65EC	# 旬 -- 257,072
0xAF3B	0x8B19	# 謙 -- 257,073
0xAF3C	0x9177	# 酷 -- 257,074
0xAF3D	0x61BE	# 憾 -- 257,075
0xAF3E	0x7009	# 瀉 -- 257,076
0xAF3F	0x6284	# 抄 -- 257,077
0xAF40	0x63A0	# 掠 -- 257,100
0xAF41	0x5BE1	# 寡 -- 257,101
0xAF42	0x6714	# 朔 -- 257,102
0xAF43	0x9E9F	# 麟 -- 257,103
0xAF44	0x8956	# 襖 -- 257,104
0xAF45	0x6795	# 枕 -- 257,105
0xAF46	0x7184	# 熄 -- 257,106
0xAF47	0x6FC1	# 濁 -- 257,107
0xAF48	0x76F2	# 盲 -- 257,110
0xAF49	0x5112	# 儒 -- 257,111
0xAF4A	0x71C4	# 燄 -- 257,112
0xAF4B	0x4FCA	# 俊 -- 257,113
0xAF4C	0x5F4C	# 彌 -- 257,114
0xAF4D	0x60A6	# 悦 -- 257,115
0xAF4E	0x788C	# 碌 -- 257,116
0xAF4F	0x6CB8	# 沸 -- 257,117
0xAF50	0x6399	# 掙 -- 257,120
0xAF51	0x789F	# 碟 -- 257,121
0xAF52	0x5C3F	# 尿 -- 257,122
0xAF53	0x93DF	# 鏟 -- 257,123
0xAF54	0x8E48	# 蹈 -- 257,124
0xAF55	0x6C2B	# 氫 -- 257,125
0xAF56	0x6AC8	# 櫈 -- 257,126
0xAF57	0x813E	# 脾 -- 257,127
0xAF58	0x59E5	# 姥 -- 257,130
0xAF59	0x5958	# 奘 -- 257,131
0xAF5A	0x6C85	# 沅 -- 257,132
0xAF5B	0x8548	# 蕈 -- 257,133
0xAF5C	0x54AA	# 咪 -- 257,134
0xAF5D	0x716C	# 煬 -- 257,135
0xAF5E	0x77E2	# 矢 -- 257,136
0xAF5F	0x6AFB	# 櫻 -- 257,137
0xAF60	0x6031	# 怱 -- 257,140
0xAF61	0x673D	# 朽 -- 257,141
0xAF62	0x69B4	# 榴 -- 257,142
0xAF63	0x6688	# 暈 -- 257,143
0xAF64	0x6756	# 杖 -- 257,144
0xAF65	0x58AE	# 墮 -- 257,145
0xAF66	0x4F30	# 估 -- 257,146
0xAF67	0x9B1A	# 鬚 -- 257,147
0xAF68	0x87EC	# 蟬 -- 257,150
0xAF69	0x5D4C	# 嵌 -- 257,151
0xAF6A	0x7B75	# 筵 -- 257,152
0xAF6B	0x7A57	# 穗 -- 257,153
0xAF6C	0x6FEB	# 濫 -- 257,154
0xAF6D	0x901B	# 逛 -- 257,155
0xAF6E	0x846B	# 葫 -- 257,156
0xAF6F	0x647A	# 摺 -- 257,157
0xAF70	0x8EC0	# 軀 -- 257,160
0xAF71	0x83F1	# 菱 -- 257,161
0xAF72	0x7B8F	# 箏 -- 257,162
0xAF73	0x553E	# 唾 -- 257,163
0xAF74	0x620A	# 戊 -- 257,164
0xAF75	0x86F9	# 蛹 -- 257,165
0xAF76	0x82A5	# 芥 -- 257,166
0xAF77	0x6C74	# 汴 -- 257,167
0xAF78	0x8116	# 脖 -- 257,170
0xAF79	0x6DAE	# 涮 -- 257,171
0xAF7A	0x620E	# 戎 -- 257,172
0xAF7B	0x978D	# 鞍 -- 257,173
0xAF7C	0x961C	# 阜 -- 257,174
0xAF7D	0x7199	# 熙 -- 257,175
0xAF7E	0x671D	# 朝 -- 257,176
0xAFA1	0x78EF	# 磯 -- 257,241
0xAFA2	0x964C	# 陌 -- 257,242
0xAFA3	0x5514	# 唔 -- 257,243
0xAFA4	0x720D	# 爍 -- 257,244
0xAFA5	0x9016	# 逖 -- 257,245
0xAFA6	0x524C	# 剌 -- 257,246
0xAFA7	0x86A9	# 蚩 -- 257,247
0xAFA8	0x5D9D	# 嶝 -- 257,250
0xAFA9	0x6C2F	# 氯 -- 257,251
0xAFAA	0x8CB8	# 貸 -- 257,252
0xAFAB	0x9B91	# 鮑 -- 257,253
0xAFAC	0x85E4	# 藤 -- 257,254
0xAFAD	0x541F	# 吟 -- 257,255
0xAFAE	0x6E4A	# 湊 -- 257,256
0xAFAF	0x5BD3	# 寓 -- 257,257
0xAFB0	0x7DFB	# 緻 -- 257,260
0xAFB1	0x9091	# 邑 -- 257,261
0xAFB2	0x76BA	# 皺 -- 257,262
0xAFB3	0x6CBE	# 沾 -- 257,263
0xAFB4	0x91DC	# 釜 -- 257,264
0xAFB5	0x5256	# 剖 -- 257,265
0xAFB6	0x64AE	# 撮 -- 257,266
0xAFB7	0x5B99	# 宙 -- 257,267
0xAFB8	0x6DDE	# 淞 -- 257,270
0xAFB9	0x543B	# 吻 -- 257,271
0xAFBA	0x5527	# 唧 -- 257,272
0xAFBB	0x9183	# 醃 -- 257,273
0xAFBC	0x7FE9	# 翩 -- 257,274
0xAFBD	0x6930	# 椰 -- 257,275
0xAFBE	0x5764	# 坤 -- 257,276
0xAFBF	0x55C5	# 嗅 -- 257,277
0xAFC0	0x5162	# 兢 -- 257,300
0xAFC1	0x9834	# 頴 -- 257,301
0xAFC2	0x79A7	# 禧 -- 257,302
0xAFC3	0x8471	# 葱 -- 257,303
0xAFC4	0x7C0D	# 簍 -- 257,304
0xAFC5	0x68AD	# 梭 -- 257,305
0xAFC6	0x7C27	# 簧 -- 257,306
0xAFC7	0x6E2D	# 渭 -- 257,307
0xAFC8	0x6BD3	# 毓 -- 257,310
0xAFC9	0x6E44	# 湄 -- 257,311
0xAFCA	0x88F4	# 裴 -- 257,312
0xAFCB	0x7015	# 瀕 -- 257,313
0xAFCC	0x6C9B	# 沛 -- 257,314
0xAFCD	0x93A2	# 鎢 -- 257,315
0xAFCE	0x9EB4	# 麴 -- 257,316
0xAFCF	0x838E	# 莎 -- 257,317
0xAFD0	0x750C	# 甌 -- 257,320
0xAFD1	0x5AD8	# 嫘 -- 257,321
0xAFD2	0x59E6	# 姦 -- 257,322
0xAFD3	0x56B0	# 嚰 -- 257,323
0xAFD4	0x9451	# 鑑 -- 257,324
0xAFD5	0x6D74	# 浴 -- 257,325
0xAFD6	0x5BE2	# 寢 -- 257,326
0xAFD7	0x5E25	# 帥 -- 257,327
0xAFD8	0x7ACA	# 竊 -- 257,330
0xAFD9	0x819D	# 膝 -- 257,331
0xAFDA	0x8F9C	# 辜 -- 257,332
0xAFDB	0x852D	# 蔭 -- 257,333
0xAFDC	0x99AE	# 馮 -- 257,334
0xAFDD	0x588A	# 墊 -- 257,335
0xAFDE	0x797F	# 祿 -- 257,336
0xAFDF	0x75D8	# 痘 -- 257,337
0xAFE0	0x7627	# 瘧 -- 257,340
0xAFE1	0x849C	# 蒜 -- 257,341
0xAFE2	0x6A80	# 檀 -- 257,342
0xAFE3	0x5146	# 兆 -- 257,343
0xAFE4	0x7AC4	# 竄 -- 257,344
0xAFE5	0x6490	# 撐 -- 257,345
0xAFE6	0x68F2	# 棲 -- 257,346
0xAFE7	0x55FD	# 嗽 -- 257,347
