
#   "260" UNIHAN

0xB021	0x83F4	# 菴 -- 260,041
0xB022	0x7BE1	# 篡 -- 260,042
0xB023	0x6D87	# 涇 -- 260,043
0xB024	0x621F	# 戟 -- 260,044
0xB025	0x69AB	# 榫 -- 260,045
0xB026	0x7426	# 琦 -- 260,046
0xB027	0x9EFB	# 黻 -- 260,047
0xB028	0x9245	# 鉅 -- 260,050
0xB029	0x804A	# 聊 -- 260,051
0xB02A	0x8086	# 肆 -- 260,052
0xB02B	0x50FB	# 僻 -- 260,053
0xB02C	0x62EF	# 拯 -- 260,054
0xB02D	0x8ECB	# 軋 -- 260,055
0xB02E	0x816B	# 腫 -- 260,056
0xB02F	0x56DA	# 囚 -- 260,057
0xB030	0x7891	# 碑 -- 260,060
0xB031	0x61C8	# 懈 -- 260,061
0xB032	0x6A35	# 樵 -- 260,062
0xB033	0x6467	# 摧 -- 260,063
0xB034	0x59DA	# 姚 -- 260,064
0xB035	0x6055	# 恕 -- 260,065
0xB036	0x76FE	# 盾 -- 260,066
0xB037	0x5EEC	# 廬 -- 260,067
0xB038	0x9B41	# 魁 -- 260,070
0xB039	0x632B	# 挫 -- 260,071
0xB03A	0x71D9	# 燙 -- 260,072
0xB03B	0x6E3A	# 渺 -- 260,073
0xB03C	0x5561	# 啡 -- 260,074
0xB03D	0x733F	# 猿 -- 260,075
0xB03E	0x5F59	# 彙 -- 260,076
0xB03F	0x6B89	# 殉 -- 260,077
0xB040	0x7C37	# 簷 -- 260,100
0xB041	0x650F	# 攏 -- 260,101
0xB042	0x7940	# 祀 -- 260,102
0xB043	0x51CC	# 凌 -- 260,103
0xB044	0x7C6C	# 籬 -- 260,104
0xB045	0x5703	# 圃 -- 260,105
0xB046	0x9ECD	# 黍 -- 260,106
0xB047	0x8A60	# 詠 -- 260,107
0xB048	0x5AC9	# 嫉 -- 260,110
0xB049	0x5983	# 妃 -- 260,111
0xB04A	0x7646	# 癆 -- 260,112
0xB04B	0x7261	# 牡 -- 260,113
0xB04C	0x9709	# 霉 -- 260,114
0xB04D	0x8475	# 葵 -- 260,115
0xB04E	0x6177	# 慷 -- 260,116
0xB04F	0x5321	# 匡 -- 260,117
0xB050	0x8708	# 蜈 -- 260,120
0xB051	0x9C13	# 鰓 -- 260,121
0xB052	0x56A8	# 嚨 -- 260,122
0xB053	0x55D3	# 嗓 -- 260,123
0xB054	0x86A3	# 蚣 -- 260,124
0xB055	0x5319	# 匙 -- 260,125
0xB056	0x4F15	# 伕 -- 260,126
0xB057	0x5496	# 咖 -- 260,127
0xB058	0x5384	# 厄 -- 260,130
0xB059	0x7165	# 煥 -- 260,131
0xB05A	0x8087	# 肇 -- 260,132
0xB05B	0x85B0	# 薰 -- 260,133
0xB05C	0x9716	# 霖 -- 260,134
0xB05D	0x6493	# 撓 -- 260,135
0xB05E	0x7A46	# 穆 -- 260,136
0xB05F	0x7274	# 牴 -- 260,137
0xB060	0x6FEF	# 濯 -- 260,140
0xB061	0x7A20	# 稠 -- 260,141
0xB062	0x5480	# 咀 -- 260,142
0xB063	0x7AC7	# 竇 -- 260,143
0xB064	0x7FDF	# 翟 -- 260,144
0xB065	0x80F0	# 胰 -- 260,145
0xB066	0x798E	# 禎 -- 260,146
0xB067	0x6F33	# 漳 -- 260,147
0xB068	0x64BF	# 撿 -- 260,150
0xB069	0x715E	# 煞 -- 260,151
0xB06A	0x879F	# 螟 -- 260,152
0xB06B	0x7D02	# 紂 -- 260,153
0xB06C	0x81DA	# 臚 -- 260,154
0xB06D	0x5830	# 堰 -- 260,155
0xB06E	0x82FB	# 苻 -- 260,156
0xB06F	0x5676	# 噶 -- 260,157
0xB070	0x58F9	# 壹 -- 260,160
0xB071	0x914C	# 酌 -- 260,161
0xB072	0x5EB6	# 庶 -- 260,162
0xB073	0x754F	# 畏 -- 260,163
0xB074	0x5378	# 卸 -- 260,164
0xB075	0x6208	# 戈 -- 260,165
0xB076	0x50AC	# 催 -- 260,166
0xB077	0x5835	# 堵 -- 260,167
0xB078	0x5352	# 卒 -- 260,170
0xB079	0x70D8	# 烘 -- 260,171
0xB07A	0x818F	# 膏 -- 260,172
0xB07B	0x58C7	# 壇 -- 260,173
0xB07C	0x8123	# 脣 -- 260,174
0xB07D	0x896F	# 襯 -- 260,175
0xB07E	0x8235	# 舵 -- 260,176
0xB0A1	0x7CA5	# 粥 -- 260,241
0xB0A2	0x6977	# 楷 -- 260,242
0xB0A3	0x6417	# 搗 -- 260,243
0xB0A4	0x68DF	# 棟 -- 260,244
0xB0A5	0x62D0	# 拐 -- 260,245
0xB0A6	0x68A2	# 梢 -- 260,246
0xB0A7	0x6FB1	# 澱 -- 260,247
0xB0A8	0x6500	# 攀 -- 260,250
0xB0A9	0x5D87	# 嶇 -- 260,251
0xB0AA	0x7DEF	# 緯 -- 260,252
0xB0AB	0x5C90	# 岐 -- 260,253
0xB0AC	0x65FA	# 旺 -- 260,254
0xB0AD	0x8CBD	# 貽 -- 260,255
0xB0AE	0x6380	# 掀 -- 260,256
0xB0AF	0x5085	# 傅 -- 260,257
0xB0B0	0x70E4	# 烤 -- 260,260
0xB0B1	0x860A	# 蘊 -- 260,261
0xB0B2	0x8F45	# 轅 -- 260,262
0xB0B3	0x71AC	# 熬 -- 260,263
0xB0B4	0x576A	# 坪 -- 260,264
0xB0B5	0x6DE4	# 淤 -- 260,265
0xB0B6	0x7E37	# 縷 -- 260,266
0xB0B7	0x962A	# 阪 -- 260,267
0xB0B8	0x5C5C	# 屜 -- 260,270
0xB0B9	0x5F18	# 弘 -- 260,271
0xB0BA	0x8713	# 蜓 -- 260,272
0xB0BB	0x873B	# 蜻 -- 260,273
0xB0BC	0x9BE8	# 鯨 -- 260,274
0xB0BD	0x5598	# 喘 -- 260,275
0xB0BE	0x5398	# 厘 -- 260,276
0xB0BF	0x6291	# 抑 -- 260,277
0xB0C0	0x9B31	# 鬱 -- 260,300
0xB0C1	0x98ED	# 飭 -- 260,301
0xB0C2	0x865E	# 虞 -- 260,302
0xB0C3	0x77BB	# 瞻 -- 260,303
0xB0C4	0x786F	# 硯 -- 260,304
0xB0C5	0x55DA	# 嗚 -- 260,305
0xB0C6	0x60F6	# 惶 -- 260,306
0xB0C7	0x633E	# 挾 -- 260,307
0xB0C8	0x8084	# 肄 -- 260,310
0xB0C9	0x7CD9	# 糙 -- 260,311
0xB0CA	0x68FA	# 棺 -- 260,312
0xB0CB	0x70F9	# 烹 -- 260,313
0xB0CC	0x7960	# 祠 -- 260,314
0xB0CD	0x7DB4	# 綴 -- 260,315
0xB0CE	0x5E5F	# 幟 -- 260,316
0xB0CF	0x8155	# 腕 -- 260,317
0xB0D0	0x6BAE	# 殮 -- 260,320
0xB0D1	0x6BAF	# 殯 -- 260,321
0xB0D2	0x8A50	# 詐 -- 260,322
0xB0D3	0x86C0	# 蛀 -- 260,323
0xB0D4	0x4FFE	# 俾 -- 260,324
0xB0D5	0x8B0E	# 謎 -- 260,325
0xB0D6	0x9B44	# 魄 -- 260,326
0xB0D7	0x8511	# 蔑 -- 260,327
0xB0D8	0x8A1D	# 訝 -- 260,330
0xB0D9	0x5080	# 傀 -- 260,331
0xB0DA	0x71EC	# 燬 -- 260,332
0xB0DB	0x5442	# 呂 -- 260,333
0xB0DC	0x6953	# 楓 -- 260,334
0xB0DD	0x904F	# 遏 -- 260,335
0xB0DE	0x83E0	# 菠 -- 260,336
0xB0DF	0x707C	# 灼 -- 260,337
0xB0E0	0x76BF	# 皿 -- 260,340
0xB0E1	0x7766	# 睦 -- 260,341
0xB0E2	0x7737	# 眷 -- 260,342
0xB0E3	0x6C1B	# 氛 -- 260,343
0xB0E4	0x6C13	# 氓 -- 260,344
0xB0E5	0x901E	# 逞 -- 260,345
0xB0E6	0x78BE	# 碾 -- 260,346
0xB0E7	0x851A	# 蔚 -- 260,347
0xB0E8	0x7901	# 礁 -- 260,350
0xB0E9	0x5121	# 儡 -- 260,351
0xB0EA	0x780C	# 砌 -- 260,352
0xB0EB	0x854A	# 蕊 -- 260,353
0xB0EC	0x7FF9	# 翹 -- 260,354
0xB0ED	0x86FE	# 蛾 -- 260,355
0xB0EE	0x57A2	# 垢 -- 260,356
0xB0EF	0x7779	# 睹 -- 260,357
0xB0F0	0x576F	# 坯 -- 260,360
0xB0F1	0x7329	# 猩 -- 260,361
0xB0F2	0x652C	# 攬 -- 260,362
0xB0F3	0x54FA	# 哺 -- 260,363
0xB0F4	0x853D	# 蔽 -- 260,364
