
#   "261" UNIHAN

0xB121	0x8638	# 蘸 -- 261,041
0xB122	0x6C70	# 汰 -- 261,042
0xB123	0x6021	# 怡 -- 261,043
0xB124	0x5FF1	# 忱 -- 261,044
0xB125	0x5BF5	# 寵 -- 261,045
0xB126	0x9A37	# 騷 -- 261,046
0xB127	0x64C5	# 擅 -- 261,047
0xB128	0x7AC8	# 竈 -- 261,050
0xB129	0x7D6E	# 絮 -- 261,051
0xB12A	0x9470	# 鑰 -- 261,052
0xB12B	0x7525	# 甥 -- 261,053
0xB12C	0x99B4	# 馴 -- 261,054
0xB12D	0x7C3E	# 簾 -- 261,055
0xB12E	0x5FFF	# 忿 -- 261,056
0xB12F	0x655E	# 敞 -- 261,057
0xB130	0x4EA5	# 亥 -- 261,060
0xB131	0x5FA1	# 御 -- 261,061
0xB132	0x6D3D	# 洽 -- 261,062
0xB133	0x8D66	# 赦 -- 261,063
0xB134	0x61FA	# 懺 -- 261,064
0xB135	0x758A	# 疊 -- 261,065
0xB136	0x77AC	# 瞬 -- 261,066
0xB137	0x8B4F	# 譏 -- 261,067
0xB138	0x589C	# 墜 -- 261,070
0xB139	0x6FE4	# 濤 -- 261,071
0xB13A	0x82D1	# 苑 -- 261,072
0xB13B	0x779E	# 瞞 -- 261,073
0xB13C	0x8A6D	# 詭 -- 261,074
0xB13D	0x9BC9	# 鯉 -- 261,075
0xB13E	0x53C9	# 叉 -- 261,076
0xB13F	0x54BD	# 咽 -- 261,077
0xB140	0x65AC	# 斬 -- 261,100
0xB141	0x808B	# 肋 -- 261,101
0xB142	0x55BB	# 喻 -- 261,102
0xB143	0x71A8	# 熨 -- 261,103
0xB144	0x4FDE	# 俞 -- 261,104
0xB145	0x6AE5	# 櫥 -- 261,105
0xB146	0x6B67	# 歧 -- 261,106
0xB147	0x634F	# 捏 -- 261,107
0xB148	0x5A9A	# 媚 -- 261,110
0xB149	0x7AAA	# 窪 -- 261,111
0xB14A	0x6CBC	# 沼 -- 261,112
