
#   "262" UNIHAN

0xB221	0x61AB	# 憫 -- 262,041
0xB222	0x8CB6	# 貶 -- 262,042
0xB223	0x77A5	# 瞥 -- 262,043
0xB224	0x991E	# 餞 -- 262,044
0xB225	0x69FD	# 槽 -- 262,045
0xB226	0x541D	# 吝 -- 262,046
0xB227	0x74E3	# 瓣 -- 262,047
0xB228	0x7DB5	# 綵 -- 262,050
0xB229	0x56A5	# 嚥 -- 262,051
0xB22A	0x6252	# 扒 -- 262,052
0xB22B	0x849E	# 蒞 -- 262,053
0xB22C	0x5E1B	# 帛 -- 262,054
0xB22D	0x92B9	# 銹 -- 262,055
0xB22E	0x8A6B	# 詫 -- 262,056
0xB22F	0x9F63	# 齣 -- 262,057
0xB230	0x99C1	# 駁 -- 262,060
0xB231	0x923A	# 鈺 -- 262,061
0xB232	0x5B55	# 孕 -- 262,062
0xB233	0x5E87	# 庇 -- 262,063
0xB234	0x5B5A	# 孚 -- 262,064
0xB235	0x8FC2	# 迂 -- 262,065
0xB236	0x8FED	# 迭 -- 262,066
0xB237	0x515C	# 兜 -- 262,067
0xB238	0x9310	# 錐 -- 262,070
0xB239	0x9AB8	# 骸 -- 262,071
0xB23A	0x6CAB	# 沫 -- 262,072
0xB23B	0x7119	# 焙 -- 262,073
0xB23C	0x6B16	# 欖 -- 262,074
0xB23D	0x6A44	# 橄 -- 262,075
0xB23E	0x8019	# 耙 -- 262,076
0xB23F	0x5243	# 剃 -- 262,077
0xB240	0x8DDB	# 跛 -- 262,100
0xB241	0x6A62	# 橢 -- 262,101
0xB242	0x604D	# 恍 -- 262,102
0xB243	0x7337	# 猷 -- 262,103
0xB244	0x6770	# 杰 -- 262,104
0xB245	0x7470	# 瑰 -- 262,105
0xB246	0x9871	# 顱 -- 262,106
0xB247	0x516E	# 兮 -- 262,107
0xB248	0x7BC6	# 篆 -- 262,110
0xB249	0x77C7	# 矇 -- 262,111
0xB24A	0x6C5E	# 汞 -- 262,112
0xB24B	0x9165	# 酥 -- 262,113
0xB24C	0x51F0	# 凰 -- 262,114
0xB24D	0x792C	# 礬 -- 262,115
0xB24E	0x5B7D	# 孽 -- 262,116
0xB24F	0x5543	# 啃 -- 262,117
0xB250	0x4E38	# 丸 -- 262,120
0xB251	0x8236	# 舶 -- 262,121
0xB252	0x6B7F	# 歿 -- 262,122
0xB253	0x6897	# 梗 -- 262,123
0xB254	0x5962	# 奢 -- 262,124
0xB255	0x6064	# 恤 -- 262,125
0xB256	0x7D33	# 紳 -- 262,126
0xB257	0x6777	# 杷 -- 262,127
0xB258	0x900D	# 逍 -- 262,130
0xB259	0x55C7	# 嗇 -- 262,131
0xB25A	0x5016	# 倖 -- 262,132
0xB25B	0x646F	# 摯 -- 262,133
0xB25C	0x56C2	# 囂 -- 262,134
0xB25D	0x9EEF	# 黯 -- 262,135
