
#   "263" UNIHAN

0xB321	0x4F43	# 佃 -- 263,041
0xB322	0x9163	# 酣 -- 263,042
0xB323	0x7A9F	# 窟 -- 263,043
0xB324	0x5AE1	# 嫡 -- 263,044
0xB325	0x5EB5	# 庵 -- 263,045
0xB326	0x8AF1	# 諱 -- 263,046
0xB327	0x7E0A	# 縊 -- 263,047
0xB328	0x5254	# 剔 -- 263,050
0xB329	0x5DD4	# 巔 -- 263,051
0xB32A	0x7C2B	# 簫 -- 263,052
0xB32B	0x7601	# 瘁 -- 263,053
0xB32C	0x62D9	# 拙 -- 263,054
0xB32D	0x5614	# 嘔 -- 263,055
0xB32E	0x8B04	# 謄 -- 263,056
0xB32F	0x4E9F	# 亟 -- 263,057
0xB330	0x8F12	# 輒 -- 263,060
0xB331	0x7F88	# 羈 -- 263,061
0xB332	0x6DEB	# 淫 -- 263,062
0xB333	0x637A	# 捺 -- 263,063
0xB334	0x8A70	# 詰 -- 263,064
0xB335	0x9B28	# 鬨 -- 263,065
0xB336	0x8902	# 褂 -- 263,066
0xB337	0x8F4D	# 轍 -- 263,067
0xB338	0x9A3E	# 騾 -- 263,070
0xB339	0x67FF	# 柿 -- 263,071
0xB33A	0x69C1	# 槁 -- 263,072
0xB33B	0x7DBE	# 綾 -- 263,073
0xB33C	0x7B50	# 筐 -- 263,074
0xB33D	0x9B22	# 鬢 -- 263,075
0xB33E	0x764C	# 癌 -- 263,076
0xB33F	0x610E	# 愎 -- 263,077
0xB340	0x7A08	# 稈 -- 263,100
0xB341	0x7BE9	# 篩 -- 263,101
0xB342	0x753A	# 町 -- 263,102
0xB343	0x7252	# 牒 -- 263,103
0xB344	0x5F27	# 弧 -- 263,104
0xB345	0x82D4	# 苔 -- 263,105
0xB346	0x8B1F	# 謟 -- 263,106
0xB347	0x9157	# 酗 -- 263,107
0xB348	0x7E82	# 纂 -- 263,110
0xB349	0x659F	# 斟 -- 263,111
0xB34A	0x513B	# 儻 -- 263,112
0xB34B	0x71FB	# 燻 -- 263,113
0xB34C	0x8F1C	# 輜 -- 263,114
0xB34D	0x7658	# 癘 -- 263,115
0xB34E	0x8855	# 衕 -- 263,116
0xB34F	0x7E59	# 繙 -- 263,117
0xB350	0x9903	# 餃 -- 263,120
0xB351	0x9DC2	# 鷂 -- 263,121
0xB352	0x6273	# 扳 -- 263,122
0xB353	0x7BD9	# 篙 -- 263,123
0xB354	0x885A	# 衚 -- 263,124
0xB355	0x8A16	# 訖 -- 263,125
0xB356	0x5993	# 妓 -- 263,126
0xB357	0x8CC3	# 賃 -- 263,127
0xB358	0x8AED	# 諭 -- 263,130
0xB359	0x9283	# 銃 -- 263,131
