
#   "264" UNIHAN

0xB421	0x742A	# 琪 -- 264,041
0xB422	0x4E98	# 亘 -- 264,042
0xB423	0x6C40	# 汀 -- 264,043
0xB424	0x9E1A	# 鸚 -- 264,044
0xB425	0x6840	# 桀 -- 264,045
0xB426	0x5E62	# 幢 -- 264,046
0xB427	0x7E43	# 繃 -- 264,047
0xB428	0x73C0	# 珀 -- 264,050
0xB429	0x594E	# 奎 -- 264,051
0xB42A	0x752C	# 甬 -- 264,052
0xB42B	0x8B74	# 譴 -- 264,053
0xB42C	0x637B	# 捻 -- 264,054
0xB42D	0x6E26	# 渦 -- 264,055
0xB42E	0x74E0	# 瓠 -- 264,056
0xB42F	0x5632	# 嘲 -- 264,057
0xB430	0x574E	# 坎 -- 264,060
0xB431	0x7A1C	# 稜 -- 264,061
0xB432	0x602F	# 怯 -- 264,062
0xB433	0x6414	# 搔 -- 264,063
0xB434	0x547B	# 呻 -- 264,064
0xB435	0x8EFC	# 軼 -- 264,065
0xB436	0x546A	# 呪 -- 264,066
0xB437	0x4E1E	# 丞 -- 264,067
0xB438	0x8A54	# 詔 -- 264,070
0xB439	0x9704	# 霄 -- 264,071
0xB43A	0x5477	# 呷 -- 264,072
0xB43B	0x4F3D	# 伽 -- 264,073
0xB43C	0x542D	# 吭 -- 264,074
0xB43D	0x6CB1	# 沱 -- 264,075
0xB43E	0x936C	# 鍬 -- 264,076
0xB43F	0x690E	# 椎 -- 264,077
0xB440	0x9354	# 鍔 -- 264,100
0xB441	0x6FDB	# 濛 -- 264,101
0xB442	0x5695	# 嚕 -- 264,102
0xB443	0x6FA7	# 澧 -- 264,103
0xB444	0x9223	# 鈣 -- 264,104
0xB445	0x993E	# 餾 -- 264,105
0xB446	0x9BC0	# 鯀 -- 264,106
0xB447	0x729B	# 犛 -- 264,107
0xB448	0x97A3	# 鞣 -- 264,110
0xB449	0x7740	# 着 -- 264,111
0xB44A	0x78CB	# 磋 -- 264,112
0xB44B	0x9E92	# 麒 -- 264,113
0xB44C	0x90B5	# 邵 -- 264,114
0xB44D	0x7C38	# 簸 -- 264,115
0xB44E	0x7949	# 祉 -- 264,116
0xB44F	0x9215	# 鈕 -- 264,117
0xB450	0x7A4C	# 穌 -- 264,120
0xB451	0x737A	# 獺 -- 264,121
0xB452	0x7FB2	# 羲 -- 264,122
0xB453	0x70AF	# 炯 -- 264,123
0xB454	0x56EA	# 囪 -- 264,124
0xB455	0x98BC	# 颼 -- 264,125
0xB456	0x606B	# 恫 -- 264,126
0xB457	0x563F	# 嘿 -- 264,127
0xB458	0x9A5B	# 驛 -- 264,130
0xB459	0x97C6	# 韆 -- 264,131
0xB45A	0x7E9C	# 纜 -- 264,132
0xB45B	0x700F	# 瀏 -- 264,133
0xB45C	0x9698	# 隘 -- 264,134
0xB45D	0x7469	# 瑩 -- 264,135
0xB45E	0x99A8	# 馨 -- 264,136
0xB45F	0x9127	# 鄧 -- 264,137
0xB460	0x98B3	# 颳 -- 264,140
0xB461	0x6C3E	# 氾 -- 264,141
0xB462	0x6E1D	# 渝 -- 264,142
0xB463	0x8F3E	# 輾 -- 264,143
0xB464	0x7018	# 瀘 -- 264,144
0xB465	0x715C	# 煜 -- 264,145
0xB466	0x8FE6	# 迦 -- 264,146
0xB467	0x741B	# 琛 -- 264,147
0xB468	0x84C0	# 蓀 -- 264,150
0xB469	0x58E2	# 壢 -- 264,151
0xB46A	0x6ECC	# 滌 -- 264,152
0xB46B	0x6396	# 掖 -- 264,153
0xB46C	0x6EC2	# 滂 -- 264,154
0xB46D	0x520E	# 刎 -- 264,155
0xB46E	0x5CED	# 峭 -- 264,156
0xB46F	0x5239	# 刹 -- 264,157
0xB470	0x5CAC	# 岬 -- 264,160
0xB471	0x9744	# 靄 -- 264,161
0xB472	0x7425	# 琥 -- 264,162
0xB473	0x9713	# 霓 -- 264,163
0xB474	0x95C8	# 闈 -- 264,164
0xB475	0x9F07	# 鼇 -- 264,165
0xB476	0x9B03	# 鬃 -- 264,166
0xB477	0x6F29	# 漩 -- 264,167
0xB478	0x6E5F	# 湟 -- 264,170
0xB479	0x73CF	# 珏 -- 264,171
0xB47A	0x90FE	# 郾 -- 264,172
0xB47B	0x9315	# 錕 -- 264,173
0xB47C	0x6DD9	# 淙 -- 264,174
0xB47D	0x768B	# 皋 -- 264,175
0xB47E	0x86FA	# 蛺 -- 264,176
0xB4A1	0x8171	# 腱 -- 264,241
0xB4A2	0x91A3	# 醣 -- 264,242
0xB4A3	0x4EC6	# 仆 -- 264,243
0xB4A4	0x6912	# 椒 -- 264,244
0xB4A5	0x627C	# 扼 -- 264,245
0xB4A6	0x7DBD	# 綽 -- 264,246
0xB4A7	0x6727	# 朧 -- 264,247
0xB4A8	0x9742	# 靂 -- 264,250
0xB4A9	0x9739	# 霹 -- 264,251
0xB4AA	0x77B3	# 瞳 -- 264,252
0xB4AB	0x9661	# 陡 -- 264,253
0xB4AC	0x5608	# 嘈 -- 264,254
0xB4AD	0x9EA9	# 麩 -- 264,255
0xB4AE	0x7370	# 獰 -- 264,256
0xB4AF	0x7AFA	# 竺 -- 264,257
0xB4B0	0x95AD	# 閭 -- 264,260
0xB4B1	0x5ED3	# 廓 -- 264,261
0xB4B2	0x7FE1	# 翡 -- 264,262
0xB4B3	0x8938	# 褸 -- 264,263
0xB4B4	0x5630	# 嘰 -- 264,264
0xB4B5	0x795F	# 祟 -- 264,265
0xB4B6	0x99D2	# 駒 -- 264,266
0xB4B7	0x6CAC	# 沬 -- 264,267
0xB4B8	0x778C	# 瞌 -- 264,270
0xB4B9	0x942E	# 鐮 -- 264,271
0xB4BA	0x7F4E	# 罎 -- 264,272
0xB4BB	0x598D	# 妍 -- 264,273
0xB4BC	0x7729	# 眩 -- 264,274
0xB4BD	0x51A5	# 冥 -- 264,275
0xB4BE	0x8F9F	# 辟 -- 264,276
0xB4BF	0x8096	# 肖 -- 264,277
0xB4C0	0x8EAA	# 躪 -- 264,300
0xB4C1	0x58C5	# 壅 -- 264,301
0xB4C2	0x5885	# 墅 -- 264,302
0xB4C3	0x60CB	# 惋 -- 264,303
0xB4C4	0x5733	# 圳 -- 264,304
0xB4C5	0x759A	# 疚 -- 264,305
0xB4C6	0x87AB	# 螫 -- 264,306
0xB4C7	0x664C	# 晌 -- 264,307
0xB4C8	0x809B	# 肛 -- 264,310
0xB4C9	0x5C94	# 岔 -- 264,311
0xB4CA	0x5F6A	# 彪 -- 264,312
0xB4CB	0x9262	# 鉢 -- 264,313
0xB4CC	0x98E9	# 飩 -- 264,314
0xB4CD	0x9DFA	# 鷺 -- 264,315
0xB4CE	0x776B	# 睫 -- 264,316
0xB4CF	0x8046	# 聆 -- 264,317
0xB4D0	0x8E34	# 踴 -- 264,320
0xB4D1	0x7464	# 瑤 -- 264,321
0xB4D2	0x7504	# 甄 -- 264,322
0xB4D3	0x6C90	# 沐 -- 264,323
0xB4D4	0x7099	# 炙 -- 264,324
0xB4D5	0x618A	# 憊 -- 264,325
0xB4D6	0x6EA5	# 溥 -- 264,326
0xB4D7	0x8E42	# 蹂 -- 264,327
0xB4D8	0x7357	# 獗 -- 264,330
0xB4D9	0x6590	# 斐 -- 264,331
0xB4DA	0x62DA	# 拚 -- 264,332
0xB4DB	0x832D	# 茭 -- 264,333
0xB4DC	0x643D	# 搽 -- 264,334
0xB4DD	0x991B	# 餛 -- 264,335
0xB4DE	0x9CF6	# 鳶 -- 264,336
0xB4DF	0x9912	# 餒 -- 264,337
0xB4E0	0x6C68	# 汨 -- 264,340
0xB4E1	0x7728	# 眨 -- 264,341
0xB4E2	0x68D8	# 棘 -- 264,342
0xB4E3	0x649A	# 撚 -- 264,343
0xB4E4	0x5436	# 吶 -- 264,344
0xB4E5	0x600F	# 怏 -- 264,345
0xB4E6	0x7B20	# 笠 -- 264,346
0xB4E7	0x9C77	# 鱷 -- 264,347
0xB4E8	0x645C	# 摜 -- 264,350
0xB4E9	0x6DCC	# 淌 -- 264,351
0xB4EA	0x6F80	# 澀 -- 264,352
0xB4EB	0x71BE	# 熾 -- 264,353
0xB4EC	0x70AC	# 炬 -- 264,354
0xB4ED	0x5F3C	# 弼 -- 264,355
0xB4EE	0x615F	# 慟 -- 264,356
0xB4EF	0x5DCD	# 巍 -- 264,357
0xB4F0	0x623E	# 戾 -- 264,360
0xB4F1	0x9C2D	# 鰭 -- 264,361
0xB4F2	0x8335	# 茵 -- 264,362
0xB4F3	0x85BA	# 薺 -- 264,363
0xB4F4	0x5241	# 剁 -- 264,364
0xB4F5	0x6487	# 撇 -- 264,365
0xB4F6	0x797A	# 祺 -- 264,366
0xB4F7	0x7FB6	# 羶 -- 264,367
0xB4F8	0x7566	# 畦 -- 264,370
0xB4F9	0x88B1	# 袱 -- 264,371
0xB4FA	0x641E	# 搞 -- 264,372
0xB4FB	0x50E5	# 僥 -- 264,373
0xB4FC	0x81CD	# 臍 -- 264,374
0xB4FD	0x7669	# 癩 -- 264,375
0xB4FE	0x7DB0	# 綰 -- 264,376
