
#   "265" UNIHAN

0xB521	0x766C	# 癬 -- 265,041
0xB522	0x7C07	# 簇 -- 265,042
0xB523	0x70B3	# 炳 -- 265,043
0xB524	0x5F99	# 徙 -- 265,044
0xB525	0x99FF	# 駿 -- 265,045
0xB526	0x9050	# 遐 -- 265,046
0xB527	0x6E43	# 湃 -- 265,047
0xB528	0x7E08	# 縈 -- 265,050
0xB529	0x55C4	# 嗄 -- 265,051
0xB52A	0x55FE	# 嗾 -- 265,052
0xB52B	0x7529	# 甩 -- 265,053
0xB52C	0x9921	# 餡 -- 265,054
0xB52D	0x5680	# 嚀 -- 265,055
0xB52E	0x9DE5	# 鷥 -- 265,056
0xB52F	0x5478	# 呸 -- 265,057
0xB530	0x64A2	# 撢 -- 265,060
0xB531	0x70FD	# 烽 -- 265,061
0xB532	0x5420	# 吠 -- 265,062
0xB533	0x7095	# 炕 -- 265,063
0xB534	0x7D46	# 絆 -- 265,064
0xB535	0x9F3E	# 鼾 -- 265,065
0xB536	0x892B	# 褫 -- 265,066
0xB537	0x7656	# 癖 -- 265,067
0xB538	0x7D0A	# 紊 -- 265,070
0xB539	0x7459	# 瑙 -- 265,071
0xB53A	0x9EBE	# 麾 -- 265,072
0xB53B	0x6452	# 摒 -- 265,073
0xB53C	0x87C6	# 蟆 -- 265,074
0xB53D	0x6371	# 捱 -- 265,075
0xB53E	0x83A7	# 莧 -- 265,076
0xB53F	0x74E2	# 瓢 -- 265,077
0xB540	0x9AB7	# 骷 -- 265,100
0xB541	0x8331	# 茱 -- 265,101
0xB542	0x8299	# 芙 -- 265,102
0xB543	0x9A01	# 騁 -- 265,103
0xB544	0x816E	# 腮 -- 265,104
0xB545	0x83F0	# 菰 -- 265,105
0xB546	0x861A	# 蘚 -- 265,106
0xB547	0x63EA	# 揪 -- 265,107
0xB548	0x5950	# 奐 -- 265,110
0xB549	0x8983	# 覃 -- 265,111
0xB54A	0x88E8	# 裨 -- 265,112
0xB54B	0x61FF	# 懿 -- 265,113
0xB54C	0x8AF3	# 諳 -- 265,114
0xB54D	0x7F58	# 罘 -- 265,115
0xB54E	0x8B2C	# 謬 -- 265,116
0xB54F	0x8E7C	# 蹼 -- 265,117
0xB550	0x531D	# 匝 -- 265,120
0xB551	0x5C2C	# 尬 -- 265,121
0xB552	0x5C4E	# 屎 -- 265,122
0xB553	0x91E7	# 釧 -- 265,123
0xB554	0x8435	# 萵 -- 265,124
0xB555	0x71C9	# 燉 -- 265,125
0xB556	0x5563	# 啣 -- 265,126
