
#   "266" UNIHAN

0xB621	0x4E52	# 乒 -- 266,041
0xB622	0x4E53	# 乓 -- 266,042
0xB623	0x7F9A	# 羚 -- 266,043
0xB624	0x7DB8	# 綸 -- 266,044
0xB625	0x77B0	# 瞰 -- 266,045
0xB626	0x6894	# 梔 -- 266,046
0xB627	0x943A	# 鐺 -- 266,047
0xB628	0x947E	# 鑾 -- 266,050
0xB629	0x9238	# 鈸 -- 266,051
0xB62A	0x8964	# 襤 -- 266,052
0xB62B	0x9821	# 頡 -- 266,053
0xB62C	0x6C76	# 汶 -- 266,054
0xB62D	0x8ED4	# 軔 -- 266,055
0xB62E	0x5EBE	# 庾 -- 266,056
0xB62F	0x5E61	# 幡 -- 266,057
0xB630	0x8D67	# 赧 -- 266,060
0xB631	0x60FA	# 惺 -- 266,061
0xB632	0x6FD8	# 濘 -- 266,062
0xB633	0x9711	# 霑 -- 266,063
0xB634	0x56B6	# 嚶 -- 266,064
0xB635	0x9A6A	# 驪 -- 266,065
0xB636	0x8E29	# 踩 -- 266,066
0xB637	0x525C	# 剜 -- 266,067
0xB638	0x7838	# 砸 -- 266,070
0xB639	0x9403	# 鐃 -- 266,071
0xB63A	0x9C31	# 鰱 -- 266,072
0xB63B	0x746F	# 瑯 -- 266,073
0xB63C	0x9278	# 鉸 -- 266,074
0xB63D	0x500C	# 倌 -- 266,075
0xB63E	0x73EA	# 珪 -- 266,076
0xB63F	0x781D	# 砝 -- 266,077
0xB640	0x8DB4	# 趴 -- 266,100
0xB641	0x6123	# 愣 -- 266,101
0xB642	0x945E	# 鑞 -- 266,102
0xB643	0x7407	# 琇 -- 266,103
0xB644	0x927B	# 鉻 -- 266,104
0xB645	0x9333	# 錳 -- 266,105
0xB646	0x6C2E	# 氮 -- 266,106
0xB647	0x567C	# 噼 -- 266,107
0xB648	0x9938	# 餸 -- 266,110
0xB649	0x5349	# 卉 -- 266,111
0xB64A	0x696B	# 楫 -- 266,112
0xB64B	0x6AAC	# 檬 -- 266,113
0xB64C	0x9685	# 隅 -- 266,114
0xB64D	0x6C8C	# 沌 -- 266,115
0xB64E	0x7693	# 皓 -- 266,116
