
#   "267" UNIHAN

0xB721	0x8DDA	# 跚 -- 267,041
0xB722	0x89B7	# 覷 -- 267,042
0xB723	0x6C50	# 汐 -- 267,043
0xB724	0x70AB	# 炫 -- 267,044
0xB725	0x5F12	# 弒 -- 267,045
0xB726	0x77A0	# 瞠 -- 267,046
0xB727	0x8339	# 茹 -- 267,047
0xB728	0x8393	# 莓 -- 267,050
0xB729	0x5D84	# 嶄 -- 267,051
0xB72A	0x812F	# 脯 -- 267,052
0xB72B	0x6D93	# 涓 -- 267,053
0xB72C	0x60BB	# 悻 -- 267,054
0xB72D	0x743A	# 琺 -- 267,055
0xB72E	0x75BD	# 疽 -- 267,056
0xB72F	0x8D6D	# 赭 -- 267,057
0xB730	0x7738	# 眸 -- 267,060
0xB731	0x5664	# 噤 -- 267,061
0xB732	0x9A4D	# 驍 -- 267,062
0xB733	0x5E4C	# 幌 -- 267,063
0xB734	0x9C78	# 鱸 -- 267,064
0xB735	0x760D	# 瘍 -- 267,065
0xB736	0x64BC	# 撼 -- 267,066
0xB737	0x72E9	# 狩 -- 267,067
0xB738	0x839E	# 莞 -- 267,070
0xB739	0x889E	# 袞 -- 267,071
0xB73A	0x5793	# 垓 -- 267,072
0xB73B	0x6249	# 扉 -- 267,073
0xB73C	0x7030	# 瀰 -- 267,074
0xB73D	0x61A9	# 憩 -- 267,075
0xB73E	0x8E60	# 蹠 -- 267,076
0xB73F	0x56AD	# 嚭 -- 267,077
0xB740	0x6B59	# 歙 -- 267,100
0xB741	0x86B6	# 蚶 -- 267,101
0xB742	0x86C4	# 蛄 -- 267,102
0xB743	0x695E	# 楞 -- 267,103
0xB744	0x8188	# 膈 -- 267,104
0xB745	0x5F5D	# 彝 -- 267,105
0xB746	0x97C3	# 韃 -- 267,106
0xB747	0x80B1	# 肱 -- 267,107
0xB748	0x6BD7	# 毗 -- 267,110
0xB749	0x84F4	# 蓴 -- 267,111
0xB74A	0x548E	# 咎 -- 267,112
0xB74B	0x6DB8	# 涸 -- 267,113
0xB74C	0x8E35	# 踵 -- 267,114
0xB74D	0x8A85	# 誅 -- 267,115
0xB74E	0x6115	# 愕 -- 267,116
0xB74F	0x622E	# 戮 -- 267,117
0xB750	0x8E59	# 蹙 -- 267,120
0xB751	0x968D	# 隍 -- 267,121
0xB752	0x608C	# 悌 -- 267,122
0xB753	0x645F	# 摟 -- 267,123
0xB754	0x7441	# 瑁 -- 267,124
0xB755	0x919E	# 醞 -- 267,125
0xB756	0x8C5A	# 豚 -- 267,126
0xB757	0x90A2	# 邢 -- 267,127
0xB758	0x60D8	# 惘 -- 267,130
0xB759	0x8A0C	# 訌 -- 267,131
0xB75A	0x9594	# 閔 -- 267,132
0xB75B	0x6E5B	# 湛 -- 267,133
0xB75C	0x6F66	# 潦 -- 267,134
0xB75D	0x5157	# 兗 -- 267,135
0xB75E	0x8431	# 萱 -- 267,136
0xB75F	0x8A91	# 誑 -- 267,137
0xB760	0x54A9	# 咩 -- 267,140
0xB761	0x81C0	# 臀 -- 267,141
0xB762	0x61CB	# 懋 -- 267,142
0xB763	0x99A5	# 馥 -- 267,143
0xB764	0x8026	# 耦 -- 267,144
0xB765	0x9A65	# 驥 -- 267,145
0xB766	0x557B	# 啻 -- 267,146
0xB767	0x5533	# 唳 -- 267,147
0xB768	0x807F	# 聿 -- 267,150
0xB769	0x566C	# 噬 -- 267,151
0xB76A	0x85FA	# 藺 -- 267,152
0xB76B	0x6BB2	# 殲 -- 267,153
0xB76C	0x995C	# 饜 -- 267,154
0xB76D	0x992C	# 餬 -- 267,155
0xB76E	0x8C62	# 豢 -- 267,156
0xB76F	0x5FDD	# 忝 -- 267,157
0xB770	0x7A95	# 窕 -- 267,160
0xB771	0x973D	# 霽 -- 267,161
0xB772	0x9621	# 阡 -- 267,162
0xB773	0x814B	# 腋 -- 267,163
0xB774	0x8012	# 耒 -- 267,164
0xB775	0x946B	# 鑫 -- 267,165
0xB776	0x61FE	# 懾 -- 267,166
0xB777	0x9382	# 鎂 -- 267,167
0xB778	0x68B1	# 梱 -- 267,170
0xB779	0x76B8	# 皸 -- 267,171
0xB77A	0x5B34	# 嬴 -- 267,172
0xB77B	0x9148	# 酈 -- 267,173
0xB77C	0x6FF0	# 濰 -- 267,174
0xB77D	0x4F6C	# 佬 -- 267,175
0xB77E	0x69E8	# 槨 -- 267,176
0xB7A1	0x95B6	# 閶 -- 267,241
0xB7A2	0x8CE1	# 賡 -- 267,242
0xB7A3	0x61CD	# 懍 -- 267,243
0xB7A4	0x9E82	# 麂 -- 267,244
0xB7A5	0x9E8B	# 麋 -- 267,245
0xB7A6	0x9A4A	# 驊 -- 267,246
0xB7A7	0x9785	# 鞅 -- 267,247
0xB7A8	0x504E	# 偎 -- 267,250
0xB7A9	0x4E69	# 乩 -- 267,251
0xB7AA	0x7152	# 煒 -- 267,252
0xB7AB	0x7864	# 硤 -- 267,253
0xB7AC	0x6C16	# 氖 -- 267,254
0xB7AD	0x82F3	# 苳 -- 267,255
0xB7AE	0x87F3	# 蟳 -- 267,256
0xB7AF	0x92D0	# 鋐 -- 267,257
0xB7B0	0x6A47	# 橇 -- 267,260
0xB7B1	0x528C	# 劌 -- 267,261
0xB7B2	0x9E90	# 麐 -- 267,262
0xB7B3	0x574F	# 坏 -- 267,263
0xB7B4	0x5FEA	# 忪 -- 267,264
