
#   "270" UNIHAN

0xB821	0x66C7	# 曇 -- 270,041
0xB822	0x5E84	# 庄 -- 270,042
0xB823	0x6271	# 扱 -- 270,043
0xB824	0x5C8C	# 岌 -- 270,044
0xB825	0x8F61	# 轡 -- 270,045
0xB826	0x9146	# 酆 -- 270,046
0xB827	0x4F5F	# 佟 -- 270,047
0xB828	0x6ADB	# 櫛 -- 270,050
0xB829	0x6CD0	# 泐 -- 270,051
0xB82A	0x6FEE	# 濮 -- 270,052
0xB82B	0x9052	# 遒 -- 270,053
0xB82C	0x9088	# 邈 -- 270,054
0xB82D	0x6854	# 桔 -- 270,055
0xB82E	0x88B5	# 袵 -- 270,056
0xB82F	0x566B	# 噫 -- 270,057
0xB830	0x611C	# 愜 -- 270,060
0xB831	0x64D8	# 擘 -- 270,061
0xB832	0x6A84	# 檄 -- 270,062
0xB833	0x7BB4	# 箴 -- 270,063
0xB834	0x7D73	# 絳 -- 270,064
0xB835	0x7E79	# 繹 -- 270,065
0xB836	0x8011	# 耑 -- 270,066
0xB837	0x8174	# 腴 -- 270,067
0xB838	0x8F47	# 轇 -- 270,070
0xB839	0x8F55	# 轕 -- 270,071
0xB83A	0x99E2	# 駢 -- 270,072
0xB83B	0x4FCE	# 俎 -- 270,073
0xB83C	0x5028	# 倨 -- 270,074
0xB83D	0x60D3	# 惓 -- 270,075
0xB83E	0x61E5	# 懥 -- 270,076
0xB83F	0x6A3D	# 樽 -- 270,077
0xB840	0x6D35	# 洵 -- 270,100
0xB841	0x785C	# 硜 -- 270,101
0xB842	0x7B08	# 笈 -- 270,102
0xB843	0x846D	# 葭 -- 270,103
0xB844	0x8558	# 蕘 -- 270,104
0xB845	0x8AC4	# 諄 -- 270,105
0xB846	0x8DC2	# 跂 -- 270,106
0xB847	0x8EEB	# 軫 -- 270,107
0xB848	0x958E	# 閎 -- 270,110
0xB849	0x95BD	# 閽 -- 270,111
0xB84A	0x9695	# 隕 -- 270,112
0xB84B	0x4FFA	# 俺 -- 270,113
0xB84C	0x50EE	# 僮 -- 270,114
0xB84D	0x59AF	# 妯 -- 270,115
0xB84E	0x5A0C	# 娌 -- 270,116
0xB84F	0x54FD	# 哽 -- 270,117
0xB850	0x5550	# 啐 -- 270,120
0xB851	0x55A8	# 喨 -- 270,121
0xB852	0x5C50	# 屐 -- 270,122
0xB853	0x5E37	# 帷 -- 270,123
0xB854	0x5E57	# 幗 -- 270,124
0xB855	0x5F29	# 弩 -- 270,125
0xB856	0x5F40	# 彀 -- 270,126
0xB857	0x60FB	# 惻 -- 270,127
0xB858	0x6147	# 慇 -- 270,130
0xB859	0x61A8	# 憨 -- 270,131
0xB85A	0x62C8	# 拈 -- 270,132
0xB85B	0x62F7	# 拷 -- 270,133
0xB85C	0x6428	# 搨 -- 270,134
0xB85D	0x67B7	# 枷 -- 270,135
0xB85E	0x689F	# 梟 -- 270,136
0xB85F	0x6AD3	# 櫓 -- 270,137
0xB860	0x6BEC	# 毬 -- 270,140
0xB861	0x6F1A	# 漚 -- 270,141
0xB862	0x7168	# 煨 -- 270,142
0xB863	0x718F	# 熏 -- 270,143
0xB864	0x7422	# 琢 -- 270,144
0xB865	0x7515	# 甕 -- 270,145
0xB866	0x75E3	# 痣 -- 270,146
0xB867	0x763C	# 瘼 -- 270,147
0xB868	0x76C2	# 盂 -- 270,150
0xB869	0x7BE6	# 篦 -- 270,151
0xB86A	0x7C2A	# 簪 -- 270,152
0xB86B	0x7CF4	# 糴 -- 270,153
0xB86C	0x7D09	# 紉 -- 270,154
0xB86D	0x7D2C	# 紬 -- 270,155
0xB86E	0x7DBB	# 綻 -- 270,156
0xB86F	0x7FB9	# 羹 -- 270,157
0xB870	0x7FCE	# 翎 -- 270,160
0xB871	0x801C	# 耜 -- 270,161
0xB872	0x8202	# 舂 -- 270,162
0xB873	0x828B	# 芋 -- 270,163
0xB874	0x828D	# 芍 -- 270,164
0xB875	0x82B9	# 芹 -- 270,165
0xB876	0x83C7	# 菇 -- 270,166
0xB877	0x85C1	# 藁 -- 270,167
0xB878	0x8671	# 虱 -- 270,170
0xB879	0x86AA	# 蚪 -- 270,171
0xB87A	0x86C6	# 蛆 -- 270,172
0xB87B	0x87E0	# 蟠 -- 270,173
0xB87C	0x87FE	# 蟾 -- 270,174
0xB87D	0x8888	# 袈 -- 270,175
0xB87E	0x8960	# 襠 -- 270,176
0xB8A1	0x8A7C	# 詼 -- 270,241
