
#   "271" UNIHAN

0xB921	0x77DA	# 矚 -- 271,041
0xB922	0x7B67	# 筧 -- 271,042
0xB923	0x7B71	# 筱 -- 271,043
0xB924	0x7D1C	# 紜 -- 271,044
0xB925	0x7DA6	# 綦 -- 271,045
0xB926	0x7DAC	# 綬 -- 271,046
0xB927	0x7E09	# 縉 -- 271,047
0xB928	0x7E46	# 繆 -- 271,050
0xB929	0x7E9B	# 纛 -- 271,051
0xB92A	0x8201	# 舁 -- 271,052
0xB92B	0x82D2	# 苒 -- 271,053
0xB92C	0x834F	# 荏 -- 271,054
0xB92D	0x8446	# 葆 -- 271,055
0xB92E	0x87C4	# 蟄 -- 271,056
0xB92F	0x8AD7	# 諗 -- 271,057
0xB930	0x8CB2	# 貲 -- 271,060
0xB931	0x8F0A	# 輊 -- 271,061
0xB932	0x9044	# 遄 -- 271,062
0xB933	0x9074	# 遴 -- 271,063
0xB934	0x90DB	# 郛 -- 271,064
0xB935	0x913A	# 鄺 -- 271,065
0xB936	0x9A64	# 驤 -- 271,066
0xB937	0x4E31	# 丱 -- 271,067
0xB938	0x63F6	# 揶 -- 271,070
0xB939	0x6E2B	# 渫 -- 271,071
0xB93A	0x9082	# 邂 -- 271,072
0xB93B	0x90DF	# 郟 -- 271,073
0xB93C	0x80B4	# 肴 -- 271,074
0xB93D	0x9917	# 餗 -- 271,075
0xB93E	0x99D1	# 駑 -- 271,076
0xB93F	0x99D8	# 駘 -- 271,077
0xB940	0x4F57	# 佗 -- 271,100
0xB941	0x4FDA	# 俚 -- 271,101
0xB942	0x5228	# 刨 -- 271,102
0xB943	0x528A	# 劊 -- 271,103
0xB944	0x5A4A	# 婊 -- 271,104
0xB945	0x5B51	# 孑 -- 271,105
0xB946	0x5969	# 奩 -- 271,106
0xB947	0x5FD6	# 忖 -- 271,107
0xB948	0x6063	# 恣 -- 271,110
0xB949	0x60DA	# 惚 -- 271,111
0xB94A	0x61C3	# 懃 -- 271,112
0xB94B	0x505D	# 偝 -- 271,113
0xB94C	0x62D5	# 拕 -- 271,114
0xB94D	0x62ED	# 拭 -- 271,115
0xB94E	0x6336	# 挶 -- 271,116
0xB94F	0x6390	# 掐 -- 271,117
0xB950	0x6376	# 捶 -- 271,120
0xB951	0x63D6	# 揖 -- 271,121
0xB952	0x6473	# 摳 -- 271,122
0xB953	0x6504	# 攄 -- 271,123
0xB954	0x6666	# 晦 -- 271,124
0xB955	0x667E	# 晾 -- 271,125
0xB956	0x696F	# 楯 -- 271,126
0xB957	0x6EF7	# 滷 -- 271,127
0xB958	0x6F87	# 澇 -- 271,130
0xB959	0x75C2	# 痂 -- 271,131
0xB95A	0x7634	# 瘴 -- 271,132
0xB95B	0x7812	# 砒 -- 271,133
0xB95C	0x7ABF	# 窿 -- 271,134
0xB95D	0x7B33	# 笳 -- 271,135
0xB95E	0x7B8D	# 箍 -- 271,136
0xB95F	0x7B9D	# 箝 -- 271,137
0xB960	0x7DB9	# 綹 -- 271,140
0xB961	0x7D5B	# 絛 -- 271,141
0xB962	0x7E6E	# 繮 -- 271,142
0xB963	0x812C	# 脬 -- 271,143
0xB964	0x8198	# 膘 -- 271,144
0xB965	0x81CA	# 臊 -- 271,145
0xB966	0x8244	# 艄 -- 271,146
0xB967	0x83F8	# 菸 -- 271,147
0xB968	0x8493	# 蒓 -- 271,150
0xB969	0x8784	# 螄 -- 271,151
0xB96A	0x87C8	# 蟈 -- 271,152
0xB96B	0x87D2	# 蟒 -- 271,153
0xB96C	0x88F1	# 裱 -- 271,154
0xB96D	0x8976	# 襶 -- 271,155
0xB96E	0x89A5	# 覥 -- 271,156
0xB96F	0x8A46	# 詆 -- 271,157
0xB970	0x8A86	# 誆 -- 271,160
0xB971	0x8B05	# 謅 -- 271,161
0xB972	0x8C47	# 豇 -- 271,162
0xB973	0x8C49	# 豉 -- 271,163
0xB974	0x8E39	# 踹 -- 271,164
0xB975	0x97AC	# 鞬 -- 271,165
0xB976	0x9C0D	# 鰍 -- 271,166
0xB977	0x9C54	# 鱔 -- 271,167
0xB978	0x9D89	# 鶉 -- 271,170
0xB979	0x9D70	# 鵰 -- 271,171
0xB97A	0x9F08	# 鼈 -- 271,172
0xB97B	0x9F95	# 龕 -- 271,173
0xB97C	0x7BB8	# 箸 -- 271,174
0xB97D	0x8494	# 蒔 -- 271,175
0xB97E	0x8AFA	# 諺 -- 271,176
0xB9A1	0x91F5	# 釵 -- 271,241
0xB9A2	0x9E75	# 鹵 -- 271,242
0xB9A3	0x500F	# 倏 -- 271,243
0xB9A4	0x5AD7	# 嫗 -- 271,244
0xB9A5	0x5B70	# 孰 -- 271,245
0xB9A6	0x53E9	# 叩 -- 271,246
0xB9A7	0x5729	# 圩 -- 271,247
0xB9A8	0x5F01	# 弁 -- 271,250
0xB9A9	0x5F0B	# 弋 -- 271,251
0xB9AA	0x606A	# 恪 -- 271,252
0xB9AB	0x60B8	# 悸 -- 271,253
0xB9AC	0x634C	# 捌 -- 271,254
0xB9AD	0x693F	# 椿 -- 271,255
0xB9AE	0x6B86	# 殆 -- 271,256
0xB9AF	0x7638	# 瘸 -- 271,257
0xB9B0	0x8546	# 蕆 -- 271,260
0xB9B1	0x85B9	# 薹 -- 271,261
0xB9B2	0x8831	# 蠱 -- 271,262
0xB9B3	0x8FE5	# 迥 -- 271,263
0xB9B4	0x942B	# 鐫 -- 271,264
0xB9B5	0x9862	# 顢 -- 271,265
0xB9B6	0x9874	# 顴 -- 271,266
0xB9B7	0x524B	# 剋 -- 271,267
0xB9B8	0x5372	# 卲 -- 271,270
