
#   "272" UNIHAN

0xBA21	0x896C	# 襬 -- 272,041
0xBA22	0x8C55	# 豕 -- 272,042
0xBA23	0x8DBF	# 趿 -- 272,043
0xBA24	0x9911	# 餑 -- 272,044
0xBA25	0x9D15	# 鴕 -- 272,045
0xBA26	0x5008	# 倈 -- 272,046
0xBA27	0x50BA	# 傺 -- 272,047
0xBA28	0x5129	# 儩 -- 272,050
0xBA29	0x513A	# 儺 -- 272,051
0xBA2A	0x515B	# 兛 -- 272,052
0xBA2B	0x53FB	# 叻 -- 272,053
0xBA2C	0x54FF	# 哿 -- 272,054
0xBA2D	0x5683	# 嚃 -- 272,055
0xBA2E	0x56A6	# 嚦 -- 272,056
0xBA2F	0x57ED	# 埭 -- 272,057
0xBA30	0x5889	# 墉 -- 272,060
0xBA31	0x651F	# 攟 -- 272,061
0xBA32	0x659B	# 斛 -- 272,062
0xBA33	0x67B0	# 枰 -- 272,063
0xBA34	0x6938	# 椸 -- 272,064
0xBA35	0x6937	# 椷 -- 272,065
0xBA36	0x6A87	# 檇 -- 272,066
0xBA37	0x6BAD	# 殭 -- 272,067
0xBA38	0x6C4E	# 汎 -- 272,070
0xBA39	0x6CD9	# 泙 -- 272,071
0xBA3A	0x5D36	# 崶 -- 272,072
0xBA3B	0x6EA7	# 溧 -- 272,073
0xBA3C	0x6FCA	# 濊 -- 272,074
0xBA3D	0x7185	# 熅 -- 272,075
0xBA3E	0x71FF	# 燿 -- 272,076
0xBA3F	0x7517	# 甗 -- 272,077
0xBA40	0x752F	# 甯 -- 272,100
0xBA41	0x75E0	# 痠 -- 272,101
0xBA42	0x76A4	# 皤 -- 272,102
0xBA43	0x769E	# 皞 -- 272,103
0xBA44	0x76A6	# 皦 -- 272,104
0xBA45	0x76AD	# 皭 -- 272,105
0xBA46	0x76E6	# 盦 -- 272,106
0xBA47	0x76FB	# 盻 -- 272,107
0xBA48	0x7752	# 睒 -- 272,110
0xBA49	0x8918	# 褘 -- 272,111
0xBA4A	0x7C67	# 籧 -- 272,112
0xBA4B	0x7E56	# 繖 -- 272,113
0xBA4C	0x7E91	# 纑 -- 272,114
0xBA4D	0x7FBC	# 羼 -- 272,115
0xBA4E	0x8264	# 艤 -- 272,116
0xBA4F	0x826D	# 艭 -- 272,117
0xBA50	0x8604	# 蘄 -- 272,120
0xBA51	0x8629	# 蘩 -- 272,121
0xBA52	0x8828	# 蠨 -- 272,122
0xBA53	0x890C	# 褌 -- 272,123
0xBA54	0x8974	# 襴 -- 272,124
0xBA55	0x89FC	# 觼 -- 272,125
0xBA56	0x89FF	# 觿 -- 272,126
0xBA57	0x8A0F	# 訏 -- 272,127
0xBA58	0x8B46	# 譆 -- 272,130
0xBA59	0x8B95	# 讕 -- 272,131
0xBA5A	0x902F	# 逯 -- 272,132
0xBA5B	0x908B	# 邋 -- 272,133
0xBA5C	0x9136	# 鄶 -- 272,134
0xBA5D	0x93DE	# 鏞 -- 272,135
0xBA5E	0x9705	# 霅 -- 272,136
0xBA5F	0x9A2D	# 騭 -- 272,137
0xBA60	0x9C68	# 鱨 -- 272,140
0xBA61	0x9D96	# 鶖 -- 272,141
0xBA62	0x4EB6	# 亶 -- 272,142
0xBA63	0x4F5E	# 佞 -- 272,143
0xBA64	0x4F7B	# 佻 -- 272,144
0xBA65	0x4F91	# 侑 -- 272,145
0xBA66	0x4FF3	# 俳 -- 272,146
0xBA67	0x5014	# 倔 -- 272,147
0xBA68	0x50ED	# 僭 -- 272,150
0xBA69	0x5110	# 儐 -- 272,151
0xBA6A	0x513C	# 儼 -- 272,152
0xBA6B	0x5A6A	# 婪 -- 272,153
0xBA6C	0x5AE3	# 嫣 -- 272,154
0xBA6D	0x5B2A	# 嬪 -- 272,155
0xBA6E	0x5B65	# 孥 -- 272,156
0xBA6F	0x53F6	# 叶 -- 272,157
0xBA70	0x5401	# 吁 -- 272,160
0xBA71	0x542E	# 吮 -- 272,161
0xBA72	0x54A4	# 咤 -- 272,162
0xBA73	0x54AB	# 咫 -- 272,163
0xBA74	0x552A	# 唪 -- 272,164
0xBA75	0x5636	# 嘶 -- 272,165
0xBA76	0x56FF	# 囿 -- 272,166
0xBA77	0x589F	# 墟 -- 272,167
0xBA78	0x58D1	# 壑 -- 272,170
0xBA79	0x5D6C	# 嵬 -- 272,171
0xBA7A	0x5E19	# 帙 -- 272,172
0xBA7B	0x5E43	# 幃 -- 272,173
0xBA7D	0x5F87	# 徇 -- 272,175
0xBA7E	0x5FE1	# 忡 -- 272,176
0xBAA1	0x5FF8	# 忸 -- 272,241
0xBAA2	0x6019	# 怙 -- 272,242
0xBAA3	0x6041	# 恁 -- 272,243
0xBAA4	0x625E	# 扞 -- 272,244
0xBAA5	0x6289	# 抉 -- 272,245
0xBAA6	0x636B	# 捫 -- 272,246
0xBAA7	0x6387	# 掇 -- 272,247
0xBAA8	0x6499	# 撙 -- 272,250
0xBAA9	0x6555	# 敕 -- 272,251
0xBAAA	0x65C3	# 旃 -- 272,252
0xBAAB	0x675E	# 杞 -- 272,253
0xBAAC	0x693D	# 椽 -- 272,254
0xBAAD	0x6995	# 榕 -- 272,255
0xBAAE	0x6B5F	# 歟 -- 272,256
0xBAAF	0x6B84	# 殄 -- 272,257
0xBAB0	0x6DC0	# 淀 -- 272,260
0xBAB1	0x6EB7	# 溷 -- 272,261
0xBAB2	0x6F7A	# 潺 -- 272,262
0xBAB3	0x7256	# 牖 -- 272,263
0xBAB4	0x72A2	# 犢 -- 272,264
0xBAB5	0x731D	# 猝 -- 272,265
0xBAB6	0x7455	# 瑕 -- 272,266
0xBAB7	0x755B	# 畛 -- 272,267
0xBAB8	0x7587	# 疇 -- 272,270
0xBAB9	0x7664	# 癤 -- 272,271
0xBABA	0x76C5	# 盅 -- 272,272
0xBABB	0x76E5	# 盥 -- 272,273
0xBABC	0x7707	# 眇 -- 272,274
0xBABD	0x7825	# 砥 -- 272,275
0xBABE	0x7893	# 碓 -- 272,276
0xBABF	0x78CA	# 磊 -- 272,277
0xBAC0	0x7A17	# 稗 -- 272,300
0xBAC1	0x7BFE	# 篾 -- 272,301
0xBAC2	0x7C5F	# 籟 -- 272,302
0xBAC3	0x7C95	# 粕 -- 272,303
0xBAC4	0x7D06	# 紆 -- 272,304
0xBAC5	0x7DCB	# 緋 -- 272,305
0xBAC6	0x7E0B	# 縋 -- 272,306
0xBAC7	0x7E1E	# 縞 -- 272,307
0xBAC8	0x7E35	# 縵 -- 272,310
0xBAC9	0x7E39	# 縹 -- 272,311
0xBACA	0x7E5A	# 繚 -- 272,312
0xBACB	0x7E6F	# 繯 -- 272,313
0xBACC	0x7FF3	# 翳 -- 272,314
0xBACD	0x8075	# 聵 -- 272,315
0xBACE	0x80AB	# 肫 -- 272,316
0xBACF	0x81E0	# 臠 -- 272,317
0xBAD0	0x8309	# 茉 -- 272,320
0xBAD1	0x8317	# 茗 -- 272,321
0xBAD2	0x83D6	# 菖 -- 272,322
0xBAD3	0x83FD	# 菽 -- 272,323
0xBAD4	0x853B	# 蔻 -- 272,324
0xBAD5	0x85FF	# 藿 -- 272,325
0xBAD6	0x8693	# 蚓 -- 272,326
0xBAD7	0x86AF	# 蚯 -- 272,327
0xBAD8	0x8703	# 蜃 -- 272,330
0xBAD9	0x8737	# 蜷 -- 272,331
0xBADA	0x874C	# 蝌 -- 272,332
0xBADB	0x88DF	# 裟 -- 272,333
0xBADC	0x8913	# 褓 -- 272,334
0xBADD	0x890A	# 褊 -- 272,335
0xBADE	0x8941	# 襁 -- 272,336
0xBADF	0x89A6	# 覦 -- 272,337
0xBAE0	0x89AC	# 覬 -- 272,340
0xBAE1	0x89F4	# 觴 -- 272,341
0xBAE2	0x8A6C	# 詬 -- 272,342
0xBAE3	0x8A9A	# 誚 -- 272,343
0xBAE4	0x8AA5	# 誥 -- 272,344
0xBAE5	0x8AB9	# 誹 -- 272,345
0xBAE6	0x8B14	# 謔 -- 272,346
0xBAE7	0x8B2B	# 謫 -- 272,347
0xBAE8	0x8B33	# 謳 -- 272,350
0xBAE9	0x8B3E	# 謾 -- 272,351
0xBAEA	0x8B6B	# 譫 -- 272,352
0xBAEB	0x8B96	# 讖 -- 272,353
0xBAEC	0x8B9E	# 讞 -- 272,354
0xBAED	0x8C89	# 貉 -- 272,355
0xBAEE	0x8CBA	# 貺 -- 272,356
0xBAEF	0x8DCE	# 跎 -- 272,357
0xBAF0	0x8E1E	# 踞 -- 272,360
0xBAF1	0x8E74	# 蹴 -- 272,361
0xBAF2	0x8EFB	# 軻 -- 272,362
0xBAF3	0x8F64	# 轤 -- 272,363
0xBAF4	0x8FE2	# 迢 -- 272,364
0xBAF5	0x914A	# 酊 -- 272,365
0xBAF6	0x9162	# 酢 -- 272,366
0xBAF7	0x9169	# 酩 -- 272,367
0xBAF8	0x91AE	# 醮 -- 272,370
0xBAF9	0x9477	# 鑷 -- 272,371
0xBAFA	0x95A1	# 閡 -- 272,372
0xBAFB	0x965F	# 陟 -- 272,373
0xBAFC	0x9706	# 霆 -- 272,374
0xBAFD	0x972A	# 霪 -- 272,375
0xBAFE	0x9955	# 饕 -- 272,376
