
#   "273" UNIHAN

0xBB21	0x99D9	# 駙 -- 273,041
0xBB22	0x9A16	# 騖 -- 273,042
0xBB23	0x9AE6	# 髦 -- 273,043
0xBB24	0x9B1F	# 鬟 -- 273,044
0xBB25	0x9B2E	# 鬮 -- 273,045
0xBB26	0x9B8E	# 鮎 -- 273,046
0xBB27	0x9BD6	# 鯖 -- 273,047
0xBB28	0x9D23	# 鴣 -- 273,050
0xBB29	0x9DD3	# 鷓 -- 273,051
0xBB2A	0x9DD7	# 鷗 -- 273,052
0xBB2B	0x9EE0	# 黠 -- 273,053
0xBB2C	0x9EFF	# 黿 -- 273,054
0xBB2D	0x9F2C	# 鼬 -- 273,055
0xBB2E	0x5C79	# 屹 -- 273,056
0xBB2F	0x8E81	# 躁 -- 273,057
0xBB30	0x939A	# 鎚 -- 273,060
0xBB31	0x795A	# 祚 -- 273,061
0xBB32	0x6F23	# 漣 -- 273,062
0xBB33	0x9B45	# 魅 -- 273,063
0xBB34	0x9EDD	# 黝 -- 273,064
0xBB35	0x701A	# 瀚 -- 273,065
0xBB36	0x6ABB	# 檻 -- 273,066
0xBB37	0x8E1D	# 踝 -- 273,067
0xBB38	0x8052	# 聒 -- 273,070
0xBB39	0x562E	# 嘮 -- 273,071
0xBB3A	0x8E31	# 踱 -- 273,072
0xBB3B	0x6F09	# 漉 -- 273,073
0xBB3C	0x61F5	# 懵 -- 273,074
0xBB3D	0x672E	# 朮 -- 273,075
0xBB3E	0x6D82	# 涂 -- 273,076
0xBB3F	0x5938	# 夸 -- 273,077
0xBB40	0x6DEC	# 淬 -- 273,100
0xBB41	0x5CD2	# 峒 -- 273,101
0xBB42	0x6D85	# 涅 -- 273,102
0xBB43	0x7D07	# 紇 -- 273,103
0xBB44	0x857E	# 蕾 -- 273,104
0xBB45	0x5096	# 傖 -- 273,105
0xBB46	0x84C1	# 蓁 -- 273,106
0xBB47	0x8823	# 蠣 -- 273,107
0xBB48	0x876E	# 蝮 -- 273,110
0xBB49	0x6F2A	# 漪 -- 273,111
0xBB4A	0x7F4C	# 罌 -- 273,112
0xBB4B	0x58D9	# 壙 -- 273,113
0xBB4C	0x56C0	# 囀 -- 273,114
0xBB4D	0x9D12	# 鴒 -- 273,115
0xBB4E	0x840B	# 萋 -- 273,116
0xBB4F	0x6F78	# 潸 -- 273,117
0xBB50	0x9251	# 鉑 -- 273,120
0xBB51	0x69C3	# 槃 -- 273,121
0xBB52	0x9853	# 顓 -- 273,122
0xBB53	0x9C3E	# 鰾 -- 273,123
0xBB54	0x6441	# 摁 -- 273,124
0xBB55	0x7284	# 犄 -- 273,125
0xBB56	0x55E4	# 嗤 -- 273,126
0xBB57	0x852B	# 蔫 -- 273,127
0xBB58	0x7787	# 瞇 -- 273,130
0xBB59	0x91BA	# 醺 -- 273,131
0xBB5A	0x5671	# 噱 -- 273,132
0xBB5B	0x6DE6	# 淦 -- 273,133
0xBB5C	0x76B0	# 皰 -- 273,134
0xBB5D	0x9DBA	# 鶺 -- 273,135
0xBB5E	0x98AF	# 颯 -- 273,136
0xBB5F	0x67DE	# 柞 -- 273,137
0xBB60	0x658C	# 斌 -- 273,140
0xBB61	0x742E	# 琮 -- 273,141
0xBB62	0x663A	# 昺 -- 273,142
0xBB63	0x7098	# 炘 -- 273,143
0xBB64	0x6AF8	# 櫸 -- 273,144
0xBB65	0x5D06	# 崆 -- 273,145
0xBB66	0x5536	# 唶 -- 273,146
0xBB67	0x7131	# 焱 -- 273,147
0xBB68	0x8DB5	# 趵 -- 273,150
0xBB69	0x5A7C	# 婼 -- 273,151
0xBB6A	0x5662	# 噢 -- 273,152
0xBB6B	0x96EF	# 雯 -- 273,153
0xBB6C	0x9370	# 鍰 -- 273,154
0xBB6D	0x749F	# 璟 -- 273,155
0xBB6E	0x9BE7	# 鯧 -- 273,156
0xBB6F	0x935A	# 鍚 -- 273,157
0xBB70	0x64AC	# 撬 -- 273,160
0xBB71	0x63F9	# 揹 -- 273,161
0xBB72	0x9097	# 邗 -- 273,162
0xBB73	0x74A0	# 璠 -- 273,163
0xBB74	0x7652	# 癒 -- 273,164
0xBB75	0x83EA	# 菪 -- 273,165
0xBB76	0x556A	# 啪 -- 273,166
0xBB77	0x55B5	# 喵 -- 273,167
0xBB78	0x5519	# 唙 -- 273,170
0xBB79	0x55E8	# 嗨 -- 273,171
0xBB7A	0x5658	# 噘 -- 273,172
0xBB7B	0x92A8	# 銨 -- 273,173
0xBB7C	0x87F6	# 蟶 -- 273,174
0xBB7D	0x6C81	# 沁 -- 273,175
0xBB7E	0x6029	# 怩 -- 273,176
0xBBA1	0x7F5F	# 罟 -- 273,241
0xBBA2	0x559F	# 喟 -- 273,242
0xBBA3	0x57A0	# 垠 -- 273,243
0xBBA4	0x5476	# 呶 -- 273,244
0xBBA5	0x6603	# 昃 -- 273,245
0xBBA6	0x6339	# 挹 -- 273,246
0xBBA7	0x5F64	# 彤 -- 273,247
0xBBA8	0x577C	# 坼 -- 273,250
0xBBA9	0x59DD	# 姝 -- 273,251
0xBBAA	0x5DFD	# 巽 -- 273,252
0xBBAB	0x5556	# 啖 -- 273,253
0xBBAC	0x5AFB	# 嫻 -- 273,254
0xBBAD	0x7A88	# 窈 -- 273,255
0xBBAE	0x7C23	# 簣 -- 273,256
0xBBAF	0x6137	# 愷 -- 273,257
0xBBB0	0x61AC	# 憬 -- 273,260
0xBBB1	0x6595	# 斕 -- 273,261
0xBBB2	0x84D1	# 蓑 -- 273,262
0xBBB3	0x61A7	# 憧 -- 273,263
0xBBB4	0x85CE	# 藎 -- 273,264
0xBBB5	0x6222	# 戢 -- 273,265
0xBBB6	0x75CD	# 痍 -- 273,266
0xBBB7	0x61AE	# 憮 -- 273,267
0xBBB8	0x925E	# 鉞 -- 273,270
0xBBB9	0x93B0	# 鎰 -- 273,271
0xBBBA	0x8328	# 茨 -- 273,272
0xBBBB	0x90DC	# 郜 -- 273,273
0xBBBC	0x96CB	# 雋 -- 273,274
0xBBBD	0x59CD	# 姍 -- 273,275
0xBBBE	0x52F1	# 勱 -- 273,276
0xBBBF	0x5F67	# 彧 -- 273,277
0xBBC0	0x85EA	# 藪 -- 273,300
0xBBC1	0x75D9	# 痙 -- 273,301
0xBBC2	0x7C1E	# 簞 -- 273,302
0xBBC3	0x5A40	# 婀 -- 273,303
0xBBC4	0x74A9	# 璩 -- 273,304
0xBBC5	0x67B4	# 枴 -- 273,305
0xBBC6	0x7599	# 疙 -- 273,306
0xBBC7	0x5E18	# 帘 -- 273,307
0xBBC8	0x62BF	# 抿 -- 273,310
0xBBC9	0x7578	# 畸 -- 273,311
0xBBCA	0x568E	# 嚎 -- 273,312
0xBBCB	0x7629	# 瘩 -- 273,313
0xBBCC	0x6ADA	# 櫚 -- 273,314
