
#   "275" UNIHAN

0xBD21	0x7768	# 睨 -- 275,041
0xBD22	0x7765	# 睥 -- 275,042
0xBD23	0x778B	# 瞋 -- 275,043
0xBD24	0x77CD	# 矍 -- 275,044
0xBD25	0x77E7	# 矧 -- 275,045
0xBD26	0x78D0	# 磐 -- 275,046
0xBD27	0x792A	# 礪 -- 275,047
0xBD28	0x7953	# 祓 -- 275,050
0xBD29	0x795C	# 祜 -- 275,051
0xBD2A	0x798A	# 禊 -- 275,052
0xBD2B	0x79B0	# 禰 -- 275,053
0xBD2C	0x79B3	# 禳 -- 275,054
0xBD2D	0x7A70	# 穰 -- 275,055
0xBD2E	0x7AB3	# 窳 -- 275,056
0xBD2F	0x7AB6	# 窶 -- 275,057
0xBD30	0x7B0F	# 笏 -- 275,060
0xBD31	0x7B1E	# 笞 -- 275,061
0xBD32	0x7B25	# 笥 -- 275,062
0xBD33	0x7B4C	# 筌 -- 275,063
0xBD34	0x7B04	# 笄 -- 275,064
0xBD35	0x7B51	# 筑 -- 275,065
0xBD36	0x7B6E	# 筮 -- 275,066
0xBD37	0x7CB2	# 粲 -- 275,067
0xBD38	0x7D3A	# 紺 -- 275,070
0xBD39	0x7D4F	# 絏 -- 275,071
0xBD3A	0x7D5C	# 絜 -- 275,072
0xBD3B	0x7D86	# 綆 -- 275,073
0xBD3C	0x7DA3	# 綣 -- 275,074
0xBD3D	0x7DAE	# 綮 -- 275,075
0xBD3E	0x7DC7	# 緇 -- 275,076
0xBD3F	0x7E1F	# 縟 -- 275,077
0xBD40	0x7E47	# 繇 -- 275,100
0xBD41	0x7E3B	# 縻 -- 275,101
0xBD42	0x7E32	# 縲 -- 275,102
0xBD43	0x7E93	# 纓 -- 275,103
0xBD44	0x7E98	# 纘 -- 275,104
0xBD45	0x7FEE	# 翮 -- 275,105
0xBD46	0x8004	# 耄 -- 275,106
0xBD47	0x8028	# 耨 -- 275,107
0xBD48	0x80DD	# 胝 -- 275,110
0xBD49	0x80EF	# 胯 -- 275,111
0xBD4A	0x8182	# 膂 -- 275,112
0xBD4B	0x81BE	# 膾 -- 275,113
0xBD4C	0x8210	# 舐 -- 275,114
0xBD4D	0x8237	# 舷 -- 275,115
0xBD4E	0x8238	# 舸 -- 275,116
0xBD4F	0x829F	# 芟 -- 275,117
0xBD50	0x82EB	# 苫 -- 275,120
0xBD51	0x831C	# 茜 -- 275,121
0xBD52	0x8343	# 荃 -- 275,122
0xBD53	0x837B	# 荻 -- 275,123
0xBD54	0x8469	# 葩 -- 275,124
0xBD55	0x84AF	# 蒯 -- 275,125
0xBD56	0x84D0	# 蓐 -- 275,126
0xBD57	0x84F0	# 蓰 -- 275,127
0xBD58	0x84FC	# 蓼 -- 275,130
0xBD59	0x851E	# 蔞 -- 275,131
0xBD5A	0x8588	# 薈 -- 275,132
0xBD5B	0x8599	# 薙 -- 275,133
0xBD5C	0x85A8	# 薨 -- 275,134
0xBD5D	0x85A4	# 薤 -- 275,135
0xBD5E	0x85DC	# 藜 -- 275,136
0xBD5F	0x86A8	# 蚨 -- 275,137
0xBD60	0x868B	# 蚋 -- 275,140
0xBD61	0x887F	# 衿 -- 275,141
0xBD62	0x88AA	# 袪 -- 275,142
0xBD63	0x88CA	# 裊 -- 275,143
0xBD64	0x88FE	# 裾 -- 275,144
0xBD65	0x89BF	# 覿 -- 275,145
0xBD66	0x89D6	# 觖 -- 275,146
0xBD67	0x89DA	# 觚 -- 275,147
0xBD68	0x89E5	# 觥 -- 275,150
0xBD69	0x89EB	# 觫 -- 275,151
0xBD6A	0x89F3	# 觳 -- 275,152
0xBD6B	0x8A36	# 訶 -- 275,153
0xBD6C	0x8A3E	# 訾 -- 275,154
0xBD6D	0x8A41	# 詁 -- 275,155
0xBD6E	0x8A5B	# 詛 -- 275,156
0xBD6F	0x8A6E	# 詮 -- 275,157
0xBD70	0x8ACD	# 諍 -- 275,160
0xBD71	0x8ACF	# 諏 -- 275,161
0xBD72	0x8AE4	# 諤 -- 275,162
0xBD73	0x8ADE	# 諞 -- 275,163
0xBD74	0x8B56	# 譖 -- 275,164
0xBD75	0x8C85	# 貅 -- 275,165
0xBD76	0x8C94	# 貔 -- 275,166
0xBD77	0x8CC1	# 賁 -- 275,167
0xBD78	0x8CD9	# 賙 -- 275,170
0xBD79	0x8D14	# 贔 -- 275,171
0xBD7A	0x8D73	# 赳 -- 275,172
