
#   "276" UNIHAN

0xBE21	0x568F	# 嚏 -- 276,041
0xBE22	0x570A	# 圊 -- 276,042
0xBE23	0x571B	# 圛 -- 276,043
0xBE24	0x573B	# 圻 -- 276,044
0xBE25	0x57F4	# 埴 -- 276,045
0xBE26	0x57F5	# 埵 -- 276,046
0xBE27	0x5797	# 垗 -- 276,047
0xBE28	0x5879	# 塹 -- 276,050
0xBE29	0x587F	# 塿 -- 276,051
0xBE2A	0x58BA	# 墺 -- 276,052
0xBE2B	0x58CE	# 壎 -- 276,053
0xBE2C	0x58DA	# 壚 -- 276,054
0xBE2D	0x8759	# 蝙 -- 276,055
0xBE2E	0x5981	# 妁 -- 276,056
0xBE2F	0x5C7A	# 屺 -- 276,057
0xBE30	0x5DA2	# 嶢 -- 276,060
0xBE31	0x5DAE	# 嶮 -- 276,061
0xBE32	0x5E28	# 帨 -- 276,062
0xBE33	0x5ECB	# 廋 -- 276,063
0xBE34	0x5EE1	# 廡 -- 276,064
0xBE35	0x5F08	# 弈 -- 276,065
0xBE36	0x601B	# 怛 -- 276,066
0xBE37	0x6049	# 恉 -- 276,067
0xBE38	0x6081	# 悁 -- 276,070
0xBE39	0x60DD	# 惝 -- 276,071
0xBE3A	0x6142	# 慂 -- 276,072
0xBE3B	0x6165	# 慥 -- 276,073
0xBE3C	0x617C	# 慼 -- 276,074
0xBE3D	0x619D	# 憝 -- 276,075
0xBE3E	0x61C6	# 懆 -- 276,076
0xBE3F	0x63AE	# 掮 -- 276,077
0xBE40	0x6426	# 搦 -- 276,100
0xBE41	0x6425	# 搥 -- 276,101
0xBE42	0x6516	# 攖 -- 276,102
0xBE43	0x6581	# 斁 -- 276,103
0xBE44	0x65D2	# 旒 -- 276,104
0xBE45	0x65DB	# 旛 -- 276,105
0xBE46	0x65DD	# 旝 -- 276,106
0xBE47	0x66D6	# 曖 -- 276,107
0xBE48	0x674C	# 杌 -- 276,110
0xBE49	0x4F70	# 佰 -- 276,111
0xBE4A	0x6829	# 栩 -- 276,112
0xBE4B	0x6874	# 桴 -- 276,113
0xBE4C	0x68F0	# 棰 -- 276,114
0xBE4D	0x69CE	# 槎 -- 276,115
0xBE4E	0x6A48	# 橈 -- 276,116
0xBE4F	0x6AAE	# 檮 -- 276,117
0xBE50	0x6ADC	# 櫜 -- 276,120
0xBE51	0x6A64	# 橤 -- 276,121
0xBE52	0x6BF3	# 毳 -- 276,122
0xBE53	0x6C9A	# 沚 -- 276,123
0xBE54	0x6CB4	# 沴 -- 276,124
0xBE55	0x6D38	# 洸 -- 276,125
0xBE56	0x6E5C	# 湜 -- 276,126
0xBE57	0x6F8C	# 澌 -- 276,127
0xBE58	0x6FA3	# 澣 -- 276,130
0xBE59	0x6FB9	# 澹 -- 276,131
0xBE5A	0x7005	# 瀅 -- 276,132
0xBE5B	0x7032	# 瀲 -- 276,133
0xBE5C	0x705D	# 灝 -- 276,134
0xBE5D	0x73FA	# 珺 -- 276,135
0xBE5E	0x736A	# 獪 -- 276,136
0xBE5F	0x7487	# 璇 -- 276,137
0xBE60	0x7503	# 甃 -- 276,140
0xBE61	0x750D	# 甍 -- 276,141
0xBE62	0x7665	# 癥 -- 276,142
0xBE63	0x769A	# 皚 -- 276,143
0xBE64	0x7708	# 眈 -- 276,144
0xBE65	0x7722	# 眢 -- 276,145
0xBE66	0x7725	# 眥 -- 276,146
0xBE67	0x775E	# 睞 -- 276,147
0xBE68	0x7762	# 睢 -- 276,150
0xBE69	0x776A	# 睪 -- 276,151
0xBE6A	0x77A2	# 瞢 -- 276,152
0xBE6B	0x7994	# 禔 -- 276,153
0xBE6C	0x79A8	# 禨 -- 276,154
0xBE6D	0x7A02	# 稂 -- 276,155
0xBE6E	0x7A19	# 稙 -- 276,156
0xBE6F	0x7A49	# 穉 -- 276,157
0xBE70	0x7AE6	# 竦 -- 276,160
0xBE71	0x7C1F	# 簟 -- 276,161
0xBE72	0x7C40	# 籀 -- 276,162
0xBE73	0x7CCE	# 糎 -- 276,163
0xBE74	0x7D32	# 紲 -- 276,164
0xBE75	0x7D7A	# 絺 -- 276,165
0xBE76	0x7D88	# 綈 -- 276,166
0xBE77	0x7E44	# 繄 -- 276,167
0xBE78	0x7F6B	# 罫 -- 276,170
0xBE79	0x7FD5	# 翕 -- 276,171
0xBE7A	0x7FFD	# 翽 -- 276,172
0xBE7B	0x800B	# 耋 -- 276,173
0xBE7C	0x8107	# 脇 -- 276,174
0xBE7D	0x8146	# 腆 -- 276,175
0xBE7E	0x8234	# 舴 -- 276,176
0xBEA1	0x82A1	# 芡 -- 276,241
0xBEA2	0x83C0	# 菀 -- 276,242
0xBEA3	0x854E	# 蕎 -- 276,243
0xBEA4	0x874E	# 蝎 -- 276,244
0xBEA5	0x880B	# 蠋 -- 276,245
0xBEA6	0x8897	# 袗 -- 276,246
0xBEA7	0x88EF	# 裯 -- 276,247
0xBEA8	0x8930	# 褰 -- 276,250
0xBEA9	0x895E	# 襞 -- 276,251
0xBEAA	0x8A12	# 訒 -- 276,252
0xBEAB	0x8B1A	# 謚 -- 276,253
0xBEAC	0x8AF6	# 諶 -- 276,254
0xBEAD	0x8B26	# 謦 -- 276,255
0xBEAE	0x8CDA	# 賚 -- 276,256
0xBEAF	0x6EC7	# 滇 -- 276,257
0xBEB0	0x8E50	# 蹐 -- 276,260
0xBEB1	0x9085	# 邅 -- 276,261
0xBEB2	0x90B4	# 邴 -- 276,262
0xBEB3	0x9321	# 錡 -- 276,263
0xBEB4	0x9419	# 鐙 -- 276,264
0xBEB5	0x9436	# 鐶 -- 276,265
0xBEB6	0x5FB5	# 徵 -- 276,266
0xBEB7	0x9654	# 陔 -- 276,267
0xBEB8	0x9688	# 隈 -- 276,270
0xBEB9	0x9697	# 隗 -- 276,271
0xBEBA	0x96F0	# 雰 -- 276,272
0xBEBB	0x9746	# 靆 -- 276,273
0xBEBC	0x9749	# 靉 -- 276,274
0xBEBD	0x99F8	# 駸 -- 276,275
0xBEBE	0x9A42	# 驂 -- 276,276
0xBEBF	0x9A40	# 驀 -- 276,277
0xBEC0	0x9A69	# 驩 -- 276,300
0xBEC1	0x9AD1	# 髑 -- 276,301
0xBEC2	0x9AF9	# 髹 -- 276,302
0xBEC3	0x9B92	# 鮒 -- 276,303
0xBEC4	0x9BAB	# 鮫 -- 276,304
0xBEC5	0x9C3B	# 鰻 -- 276,305
0xBEC6	0x9DF2	# 鷲 -- 276,306
0xBEC7	0x9E83	# 麃 -- 276,307
0xBEC8	0x9E88	# 麈 -- 276,310
0xBEC9	0x9F72	# 齲 -- 276,311
0xBECA	0x504C	# 偌 -- 276,312
0xBECB	0x5108	# 儈 -- 276,313
0xBECC	0x51DF	# 凟 -- 276,314
0xBECD	0x526E	# 剮 -- 276,315
0xBECE	0x5A09	# 娉 -- 276,316
0xBECF	0x5A77	# 婷 -- 276,317
0xBED0	0x5B4C	# 孌 -- 276,320
0xBED1	0x5B73	# 孳 -- 276,321
0xBED2	0x5BF0	# 寰 -- 276,322
0xBED3	0x53F5	# 叵 -- 276,323
