
#   "277" UNIHAN

0xBF21	0x7A61	# 穡 -- 277,041
0xBF22	0x7B0A	# 笊 -- 277,042
0xBF23	0x7CF2	# 糲 -- 277,043
0xBF24	0x7D08	# 紈 -- 277,044
0xBF25	0x7D3C	# 紼 -- 277,045
0xBF26	0x7DF2	# 緲 -- 277,046
0xBF27	0x7F61	# 罡 -- 277,047
0xBF28	0x7F63	# 罣 -- 277,050
0xBF29	0x7F7E	# 罾 -- 277,051
0xBF2A	0x7FF1	# 翱 -- 277,052
0xBF2B	0x814C	# 腌 -- 277,053
0xBF2C	0x81EC	# 臬 -- 277,054
0xBF2D	0x82A9	# 芩 -- 277,055
0xBF2E	0x82AA	# 芪 -- 277,056
0xBF2F	0x82B7	# 芷 -- 277,057
0xBF30	0x82AF	# 芯 -- 277,060
0xBF31	0x82F4	# 苴 -- 277,061
0xBF32	0x832F	# 茯 -- 277,062
0xBF33	0x8334	# 茴 -- 277,063
0xBF34	0x8406	# 萆 -- 277,064
0xBF35	0x843C	# 萼 -- 277,065
0xBF36	0x845A	# 葚 -- 277,066
0xBF37	0x858F	# 薏 -- 277,067
0xBF38	0x86B0	# 蚰 -- 277,070
0xBF39	0x86C9	# 蛉 -- 277,071
0xBF3A	0x86ED	# 蛭 -- 277,072
0xBF3B	0x86D0	# 蛐 -- 277,073
0xBF3C	0x8707	# 蜇 -- 277,074
0xBF3D	0x8706	# 蜆 -- 277,075
0xBF3E	0x87CA	# 蟊 -- 277,076
0xBF3F	0x87E3	# 蟣 -- 277,077
0xBF40	0x87EE	# 蟮 -- 277,100
0xBF41	0x8821	# 蠡 -- 277,101
0xBF42	0x8869	# 衩 -- 277,102
0xBF43	0x8872	# 衲 -- 277,103
0xBF44	0x8919	# 褙 -- 277,104
0xBF45	0x8926	# 褦 -- 277,105
0xBF46	0x8921	# 褡 -- 277,106
0xBF47	0x8933	# 褳 -- 277,107
0xBF48	0x8A84	# 誄 -- 277,110
0xBF49	0x8B54	# 譔 -- 277,111
0xBF4A	0x8C9B	# 貛 -- 277,112
0xBF4B	0x8D04	# 贄 -- 277,113
0xBF4C	0x8DE4	# 跤 -- 277,114
0xBF4D	0x8E69	# 蹩 -- 277,115
0xBF4E	0x8E6D	# 蹭 -- 277,116
0xBF4F	0x8E90	# 躐 -- 277,117
0xBF50	0x91B5	# 醵 -- 277,120
0xBF51	0x93F9	# 鏹 -- 277,121
0xBF52	0x95B9	# 閹 -- 277,122
0xBF53	0x9642	# 陂 -- 277,123
0xBF54	0x9658	# 陘 -- 277,124
0xBF55	0x994C	# 饌 -- 277,125
