
#   "300" UNIHAN

0xC021	0x6C46	# 汆 -- 300,041
0xC022	0x6C69	# 汩 -- 300,042
0xC023	0x6C94	# 沔 -- 300,043
0xC024	0x6CEB	# 泫 -- 300,044
0xC025	0x6CF1	# 泱 -- 300,045
0xC026	0x6D0E	# 洎 -- 300,046
0xC027	0x6D2B	# 洫 -- 300,047
0xC028	0x6D7C	# 浼 -- 300,050
0xC029	0x6D94	# 涔 -- 300,051
0xC02A	0x6D98	# 涘 -- 300,052
0xC02B	0x6DC5	# 淅 -- 300,053
0xC02C	0x6C8D	# 沍 -- 300,054
0xC02D	0x6E54	# 湔 -- 300,055
0xC02E	0x6E6B	# 湫 -- 300,056
0xC02F	0x6EB2	# 溲 -- 300,057
0xC030	0x6EBD	# 溽 -- 300,060
0xC031	0x6E8F	# 溏 -- 300,061
0xC032	0x6F5E	# 潞 -- 300,062
0xC033	0x6F59	# 潙 -- 300,063
0xC034	0x6FE1	# 濡 -- 300,064
0xC035	0x7039	# 瀹 -- 300,065
0xC036	0x70DD	# 烝 -- 300,066
0xC037	0x7162	# 煢 -- 300,067
0xC038	0x71AF	# 熯 -- 300,070
0xC039	0x71B8	# 熸 -- 300,071
0xC03A	0x71E0	# 燠 -- 300,072
0xC03B	0x721D	# 爝 -- 300,073
0xC03C	0x7263	# 牣 -- 300,074
0xC03D	0x72F7	# 狷 -- 300,075
0xC03E	0x72FA	# 狺 -- 300,076
0xC03F	0x731E	# 猞 -- 300,077
0xC040	0x7322	# 猢 -- 300,100
0xC041	0x733B	# 猻 -- 300,101
0xC042	0x734D	# 獍 -- 300,102
0xC043	0x737C	# 獼 -- 300,103
0xC044	0x73DE	# 珞 -- 300,104
0xC045	0x73E5	# 珥 -- 300,105
0xC046	0x7462	# 瑢 -- 300,106
0xC047	0x74D4	# 瓔 -- 300,107
0xC048	0x74F4	# 瓴 -- 300,110
0xC049	0x7513	# 甓 -- 300,111
0xC04A	0x754B	# 畋 -- 300,112
0xC04B	0x7554	# 畔 -- 300,113
0xC04C	0x756F	# 畯 -- 300,114
0xC04D	0x75A2	# 疢 -- 300,115
0xC04E	0x75B3	# 疳 -- 300,116
0xC04F	0x7608	# 瘈 -- 300,117
0xC050	0x7616	# 瘖 -- 300,120
0xC051	0x7622	# 瘢 -- 300,121
0xC052	0x761E	# 瘞 -- 300,122
0xC053	0x7633	# 瘳 -- 300,123
0xC054	0x7635	# 瘵 -- 300,124
0xC055	0x7647	# 癇 -- 300,125
0xC056	0x766F	# 癯 -- 300,126
0xC057	0x76F1	# 盱 -- 300,127
0xC058	0x7719	# 眙 -- 300,130
0xC059	0x775A	# 睚 -- 300,131
0xC05A	0x77EC	# 矬 -- 300,132
0xC05B	0x77F1	# 矱 -- 300,133
0xC05C	0x782D	# 砭 -- 300,134
0xC05D	0x78D4	# 磔 -- 300,135
0xC05E	0x78E7	# 磧 -- 300,136
0xC05F	0x78EC	# 磬 -- 300,137
0xC060	0x7954	# 祔 -- 300,140
0xC061	0x79D5	# 秕 -- 300,141
0xC062	0x79EB	# 秫 -- 300,142
0xC063	0x7A2D	# 稭 -- 300,143
0xC064	0x7A78	# 穸 -- 300,144
0xC065	0x7A80	# 窀 -- 300,145
0xC066	0x7A86	# 窆 -- 300,146
0xC067	0x7AAC	# 窬 -- 300,147
0xC068	0x7AA8	# 窨 -- 300,150
0xC069	0x7AB5	# 窵 -- 300,151
0xC06A	0x7B2B	# 笫 -- 300,152
0xC06B	0x7B91	# 箑 -- 300,153
0xC06C	0x7B9C	# 箜 -- 300,154
0xC06D	0x7BA0	# 箠 -- 300,155
0xC06E	0x7B90	# 箐 -- 300,156
0xC06F	0x7BCC	# 篌 -- 300,157
0xC070	0x7C00	# 簀 -- 300,160
0xC071	0x7C0B	# 簋 -- 300,161
0xC072	0x7C59	# 籙 -- 300,162
0xC073	0x7C5C	# 籜 -- 300,163
0xC074	0x7C65	# 籥 -- 300,164
0xC075	0x7C69	# 籩 -- 300,165
0xC076	0x7CA2	# 粢 -- 300,166
0xC077	0x7CC5	# 糅 -- 300,167
0xC078	0x7CF0	# 糰 -- 300,170
0xC079	0x7D35	# 紵 -- 300,171
0xC07A	0x7D3F	# 紿 -- 300,172
0xC07B	0x7D70	# 絰 -- 300,173
0xC07C	0x7D83	# 綃 -- 300,174
0xC07D	0x7DE1	# 緡 -- 300,175
0xC07E	0x7DE6	# 緦 -- 300,176
0xC0A1	0x7E1D	# 縝 -- 300,241
0xC0A2	0x7E22	# 縢 -- 300,242
0xC0A3	0x7E36	# 縶 -- 300,243
0xC0A4	0x7E7D	# 繽 -- 300,244
0xC0A5	0x7E87	# 纇 -- 300,245
0xC0A6	0x7F45	# 罅 -- 300,246
0xC0A7	0x7F4D	# 罍 -- 300,247
0xC0A8	0x7F68	# 罨 -- 300,250
0xC0A9	0x7F86	# 羆 -- 300,251
0xC0AA	0x7F9D	# 羝 -- 300,252
0xC0AB	0x7FDB	# 翛 -- 300,253
0xC0AC	0x7FE5	# 翥 -- 300,254
0xC0AD	0x8043	# 聃 -- 300,255
0xC0AE	0x8093	# 肓 -- 300,256
0xC0AF	0x80D9	# 胙 -- 300,257
0xC0B0	0x8127	# 脧 -- 300,260
0xC0B1	0x80FC	# 胼 -- 300,261
0xC0B2	0x8160	# 腠 -- 300,262
0xC0B3	0x8186	# 膆 -- 300,263
0xC0B4	0x825F	# 艟 -- 300,264
0xC0B5	0x8268	# 艨 -- 300,265
0xC0B6	0x82AB	# 芫 -- 300,266
0xC0B7	0x82E1	# 苡 -- 300,267
0xC0B8	0x8347	# 荇 -- 300,270
0xC0B9	0x837D	# 荽 -- 300,271
0xC0BA	0x83AA	# 莪 -- 300,272
