
#   "301" UNIHAN

0xC121	0x9116	# 鄖 -- 301,041
0xC122	0x9134	# 鄴 -- 301,042
0xC123	0x9172	# 酲 -- 301,043
0xC124	0x9174	# 酴 -- 301,044
0xC125	0x9179	# 酹 -- 301,045
0xC126	0x91AA	# 醪 -- 301,046
0xC127	0x9200	# 鈀 -- 301,047
0xC128	0x93C3	# 鏃 -- 301,050
0xC129	0x93D7	# 鏗 -- 301,051
0xC12A	0x93E4	# 鏤 -- 301,052
0xC12B	0x93D1	# 鏑 -- 301,053
0xC12C	0x9455	# 鑕 -- 301,054
0xC12D	0x95CB	# 闋 -- 301,055
0xC12E	0x95E0	# 闠 -- 301,056
0xC12F	0x95E4	# 闤 -- 301,057
0xC130	0x95E5	# 闥 -- 301,060
0xC131	0x96B0	# 隰 -- 301,061
0xC132	0x96B3	# 隳 -- 301,062
0xC133	0x96BC	# 隼 -- 301,063
0xC134	0x9766	# 靦 -- 301,064
0xC135	0x97D9	# 韙 -- 301,065
0xC136	0x980F	# 頏 -- 301,066
0xC137	0x9859	# 顙 -- 301,067
0xC138	0x98BA	# 颺 -- 301,070
0xC139	0x992E	# 餮 -- 301,071
0xC13A	0x9948	# 饈 -- 301,072
0xC13B	0x9954	# 饔 -- 301,073
0xC13C	0x9998	# 馘 -- 301,074
0xC13D	0x9A2E	# 騮 -- 301,075
0xC13E	0x9A41	# 驁 -- 301,076
0xC13F	0x9AC0	# 髀 -- 301,077
0xC140	0x9AE0	# 髠 -- 301,100
0xC141	0x9AEB	# 髫 -- 301,101
0xC142	0x9AED	# 髭 -- 301,102
0xC143	0x9B08	# 鬈 -- 301,103
0xC144	0x9B0E	# 鬎 -- 301,104
0xC145	0x9B4E	# 魎 -- 301,105
0xC146	0x9CE7	# 鳧 -- 301,106
0xC147	0x9DA9	# 鶩 -- 301,107
0xC148	0x9DBC	# 鶼 -- 301,110
0xC149	0x9E15	# 鸕 -- 301,111
0xC14A	0x9E7A	# 鹺 -- 301,112
0xC14B	0x9EE7	# 黧 -- 301,113
0xC14C	0x9EF7	# 黷 -- 301,114
0xC14D	0x9EFC	# 黼 -- 301,115
0xC14E	0x9F4F	# 齏 -- 301,116
0xC14F	0x9F54	# 齔 -- 301,117
0xC150	0x9F55	# 齕 -- 301,120
0xC151	0x9F57	# 齗 -- 301,121
0xC152	0x5B53	# 孓 -- 301,122
0xC153	0x6E53	# 湓 -- 301,123
0xC154	0x55D0	# 嗐 -- 301,124
0xC155	0x55DD	# 嗝 -- 301,125
0xC156	0x55E6	# 嗦 -- 301,126
0xC157	0x56CC	# 囌 -- 301,127
0xC158	0x5E7A	# 幺 -- 301,130
0xC159	0x616A	# 慪 -- 301,131
0xC15A	0x643F	# 搿 -- 301,132
0xC15B	0x651B	# 攛 -- 301,133
0xC15C	0x77FD	# 矽 -- 301,134
0xC15D	0x6A81	# 檁 -- 301,135
0xC15E	0x6B38	# 欸 -- 301,136
0xC15F	0x71DC	# 燜 -- 301,137
0xC160	0x71F4	# 燴 -- 301,140
0xC161	0x764D	# 癍 -- 301,141
0xC162	0x774F	# 睏 -- 301,142
0xC163	0x7E68	# 繨 -- 301,143
0xC164	0x81CC	# 臌 -- 301,144
0xC165	0x82F6	# 苶 -- 301,145
0xC166	0x82E4	# 苤 -- 301,146
0xC167	0x867C	# 虼 -- 301,147
0xC168	0x8698	# 蚘 -- 301,150
0xC169	0x897B	# 襻 -- 301,151
0xC16A	0x8E67	# 蹧 -- 301,152
0xC16B	0x9029	# 逩 -- 301,153
0xC16C	0x91C5	# 釅 -- 301,154
0xC16D	0x9358	# 鍘 -- 301,155
0xC16E	0x9410	# 鐐 -- 301,156
0xC16F	0x9427	# 鐧 -- 301,157
0xC170	0x9807	# 頇 -- 301,160
0xC171	0x5306	# 匆 -- 301,161
0xC172	0x993F	# 餿 -- 301,162
0xC173	0x995D	# 饝 -- 301,163
0xC174	0x9B9D	# 鮝 -- 301,164
0xC175	0x9C35	# 鰵 -- 301,165
0xC176	0x9D30	# 鴰 -- 301,166
0xC177	0x9EF9	# 黹 -- 301,167
0xC178	0x5853	# 塓 -- 301,170
0xC179	0x530B	# 匋 -- 301,171
0xC17A	0x53AA	# 厪 -- 301,172
0xC17B	0x59C5	# 姅 -- 301,173
0xC17C	0x550F	# 唏 -- 301,174
0xC17D	0x5535	# 唵 -- 301,175
0xC17E	0x6C87	# 沇 -- 301,176
0xC1A1	0x57FC	# 埼 -- 301,241
0xC1A2	0x602D	# 怭 -- 301,242
0xC1A3	0x61BA	# 憺 -- 301,243
0xC1A4	0x636C	# 捬 -- 301,244
0xC1A5	0x5281	# 劁 -- 301,245
0xC1A6	0x6834	# 栴 -- 301,246
0xC1A7	0x684B	# 桋 -- 301,247
0xC1A8	0x7439	# 琹 -- 301,250
0xC1A9	0x6CAD	# 沭 -- 301,251
0xC1AA	0x75C3	# 痃 -- 301,252
0xC1AB	0x75B1	# 疱 -- 301,253
0xC1AC	0x7B9A	# 箚 -- 301,254
0xC1AD	0x7C81	# 粁 -- 301,255
0xC1AE	0x7CA8	# 粨 -- 301,256
0xC1AF	0x7CFA	# 糺 -- 301,257
0xC1B0	0x7D31	# 紱 -- 301,260
