
#   "302" UNIHAN

0xC221	0x5092	# 傒 -- 302,041
0xC222	0x508E	# 傎 -- 302,042
0xC223	0x5094	# 傔 -- 302,043
0xC224	0x509E	# 傞 -- 302,044
0xC225	0x50CE	# 僎 -- 302,045
0xC226	0x50EC	# 僬 -- 302,046
0xC227	0x50F4	# 僴 -- 302,047
0xC228	0x50FE	# 僾 -- 302,050
0xC229	0x510B	# 儋 -- 302,051
0xC22A	0x5101	# 儁 -- 302,052
0xC22B	0x510C	# 儌 -- 302,053
0xC22C	0x5159	# 兙 -- 302,054
0xC22D	0x515D	# 兝 -- 302,055
0xC22E	0x515E	# 兞 -- 302,056
0xC22F	0x5161	# 兡 -- 302,057
0xC230	0x5163	# 兣 -- 302,060
0xC231	0x80C4	# 胄 -- 302,061
0xC232	0x5193	# 冓 -- 302,062
0xC233	0x5194	# 冔 -- 302,063
0xC234	0x51D3	# 凓 -- 302,064
0xC235	0x51F7	# 凷 -- 302,065
0xC236	0x5213	# 刓 -- 302,066
0xC237	0x5232	# 刲 -- 302,067
0xC238	0x5235	# 刵 -- 302,070
0xC239	0x525A	# 剚 -- 302,071
0xC23A	0x5296	# 劖 -- 302,072
0xC23B	0x52BB	# 劻 -- 302,073
0xC23C	0x52BC	# 劼 -- 302,074
0xC23D	0x52CD	# 勍 -- 302,075
0xC23E	0x52E9	# 勩 -- 302,076
0xC23F	0x52F0	# 勰 -- 302,077
0xC240	0x52F7	# 勷 -- 302,100
0xC241	0x530A	# 匊 -- 302,101
0xC242	0x531C	# 匜 -- 302,102
0xC243	0x5335	# 匵 -- 302,103
0xC244	0x536C	# 卬 -- 302,104
0xC245	0x53B9	# 厹 -- 302,105
0xC246	0x5412	# 吒 -- 302,106
0xC247	0x548D	# 咍 -- 302,107
0xC248	0x5488	# 咈 -- 302,110
0xC249	0x54A2	# 咢 -- 302,111
0xC24A	0x54BC	# 咼 -- 302,112
0xC24B	0x54A5	# 咥 -- 302,113
0xC24C	0x54AE	# 咮 -- 302,114
0xC24D	0x54B7	# 咷 -- 302,115
0xC24E	0x54A1	# 咡 -- 302,116
0xC24F	0x54BA	# 咺 -- 302,117
0xC250	0x5504	# 唄 -- 302,120
0xC251	0x5541	# 啁 -- 302,121
0xC252	0x554D	# 啍 -- 302,122
0xC253	0x553C	# 唼 -- 302,123
0xC254	0x5591	# 喑 -- 302,124
0xC255	0x5593	# 喓 -- 302,125
0xC256	0x55A4	# 喤 -- 302,126
0xC257	0x55B4	# 喴 -- 302,127
0xC258	0x55AD	# 喭 -- 302,130
0xC259	0x55DB	# 嗛 -- 302,131
0xC25A	0x55C9	# 嗉 -- 302,132
