
#   "303" UNIHAN

0xC321	0x5F24	# 弤 -- 303,041
0xC322	0x5F30	# 弰 -- 303,042
0xC323	0x5F44	# 彄 -- 303,043
0xC324	0x5F56	# 彖 -- 303,044
0xC325	0x5F58	# 彘 -- 303,045
0xC326	0x5F72	# 彲 -- 303,046
0xC327	0x5FAF	# 徯 -- 303,047
0xC328	0x5FC9	# 忉 -- 303,050
0xC329	0x5FE4	# 忤 -- 303,051
0xC32A	0x6017	# 怗 -- 303,052
0xC32B	0x604C	# 恌 -- 303,053
0xC32C	0x6054	# 恔 -- 303,054
0xC32D	0x6047	# 恇 -- 303,055
0xC32E	0x6053	# 恓 -- 303,056
0xC32F	0x609D	# 悝 -- 303,057
0xC330	0x60C4	# 惄 -- 303,060
0xC331	0x60CE	# 惎 -- 303,061
0xC332	0x60DB	# 惛 -- 303,062
0xC333	0x60B3	# 悳 -- 303,063
0xC334	0x60BE	# 悾 -- 303,064
0xC335	0x60D4	# 惔 -- 303,065
0xC336	0x60D9	# 惙 -- 303,066
0xC337	0x60B0	# 悰 -- 303,067
0xC338	0x610A	# 愊 -- 303,070
0xC339	0x6114	# 愔 -- 303,071
0xC33A	0x6141	# 慁 -- 303,072
0xC33B	0x6149	# 慉 -- 303,073
0xC33C	0x618D	# 憍 -- 303,074
0xC33D	0x6196	# 憖 -- 303,075
0xC33E	0x61AF	# 憯 -- 303,076
0xC33F	0x61B8	# 憸 -- 303,077
0xC340	0x61AD	# 憭 -- 303,100
0xC341	0x6201	# 戁 -- 303,101
0xC342	0x6223	# 戣 -- 303,102
0xC343	0x6224	# 戤 -- 303,103
0xC344	0x623A	# 戺 -- 303,104
0xC345	0x6246	# 扆 -- 303,105
0xC346	0x6245	# 扅 -- 303,106
0xC347	0x624A	# 扊 -- 303,107
0xC348	0x6260	# 扠 -- 303,110
0xC349	0x6283	# 抃 -- 303,111
0xC34A	0x6294	# 抔 -- 303,112
0xC34B	0x62B6	# 抶 -- 303,113
0xC34C	0x630D	# 挍 -- 303,114
0xC34D	0x62F4	# 拴 -- 303,115
0xC34E	0x633C	# 挼 -- 303,116
0xC34F	0x6344	# 捄 -- 303,117
0xC350	0x6331	# 挱 -- 303,120
0xC351	0x636D	# 捭 -- 303,121
0xC352	0x638E	# 掎 -- 303,122
0xC353	0x63AB	# 掫 -- 303,123
0xC354	0x639E	# 掞 -- 303,124
0xC355	0x63AF	# 掯 -- 303,125
0xC356	0x63C4	# 揄 -- 303,126
0xC357	0x63DC	# 揜 -- 303,127
0xC358	0x63E0	# 揠 -- 303,130
0xC359	0x63CE	# 揎 -- 303,131
0xC35A	0x63D5	# 揕 -- 303,132
0xC35B	0x63F2	# 揲 -- 303,133
0xC35C	0x63F8	# 揸 -- 303,134
0xC35D	0x6422	# 搢 -- 303,135
0xC35E	0x6424	# 搤 -- 303,136
0xC35F	0x6435	# 搵 -- 303,137
0xC360	0x640A	# 搊 -- 303,140
0xC361	0x6410	# 搐 -- 303,141
0xC362	0x6412	# 搒 -- 303,142
0xC363	0x6418	# 搘 -- 303,143
0xC364	0x6430	# 搰 -- 303,144
0xC365	0x6427	# 搧 -- 303,145
0xC366	0x6421	# 搡 -- 303,146
0xC367	0x645B	# 摛 -- 303,147
0xC368	0x647B	# 摻 -- 303,150
0xC369	0x647D	# 摽 -- 303,151
0xC36A	0x6451	# 摑 -- 303,152
0xC36B	0x6485	# 撅 -- 303,153
0xC36C	0x64D0	# 擐 -- 303,154
0xC36D	0x64D7	# 擗 -- 303,155
0xC36E	0x64EB	# 擫 -- 303,156
0xC36F	0x64F0	# 擰 -- 303,157
0xC370	0x6567	# 敧 -- 303,160
0xC371	0x6538	# 攸 -- 303,161
0xC372	0x6542	# 敂 -- 303,162
0xC373	0x6554	# 敔 -- 303,163
0xC374	0x656B	# 敫 -- 303,164
0xC375	0x657F	# 敿 -- 303,165
0xC376	0x6585	# 斅 -- 303,166
0xC377	0x659D	# 斝 -- 303,167
0xC378	0x65A0	# 斠 -- 303,170
0xC379	0x65A8	# 斨 -- 303,171
0xC37A	0x65AE	# 斮 -- 303,172
0xC37B	0x65BF	# 斿 -- 303,173
0xC37C	0x65CE	# 旎 -- 303,174
0xC37D	0x65D0	# 旐 -- 303,175
0xC37E	0x65D6	# 旖 -- 303,176
0xC3A1	0x65DC	# 旜 -- 303,241
0xC3A2	0x65DF	# 旟 -- 303,242
0xC3A3	0x65F0	# 旰 -- 303,243
0xC3A4	0x6635	# 昵 -- 303,244
0xC3A5	0x661D	# 昝 -- 303,245
0xC3A6	0x6631	# 昱 -- 303,246
0xC3A7	0x6667	# 晧 -- 303,247
0xC3A8	0x665F	# 晟 -- 303,250
0xC3A9	0x665B	# 晛 -- 303,251
0xC3AA	0x665C	# 晜 -- 303,252
0xC3AB	0x666C	# 晬 -- 303,253
0xC3AC	0x6698	# 暘 -- 303,254
0xC3AD	0x66AC	# 暬 -- 303,255
0xC3AE	0x66C0	# 曀 -- 303,256
0xC3AF	0x66C4	# 曄 -- 303,257
0xC3B0	0x66CF	# 曏 -- 303,260
0xC3B1	0x66DA	# 曚 -- 303,261
0xC3B2	0x66E8	# 曨 -- 303,262
0xC3B3	0x6705	# 朅 -- 303,263
0xC3B4	0x670F	# 朏 -- 303,264
0xC3B5	0x6713	# 朓 -- 303,265
0xC3B6	0x6722	# 朢 -- 303,266
0xC3B7	0x6755	# 杕 -- 303,267
0xC3B8	0x6759	# 杙 -- 303,270
0xC3B9	0x6772	# 杲 -- 303,271
0xC3BA	0x678C	# 枌 -- 303,272
0xC3BB	0x67AC	# 枬 -- 303,273
0xC3BC	0x67B8	# 枸 -- 303,274
0xC3BD	0x67B9	# 枹 -- 303,275
0xC3BE	0x67CE	# 柎 -- 303,276
0xC3BF	0x67D9	# 柙 -- 303,277
0xC3C0	0x67BB	# 枻 -- 303,300
0xC3C1	0x6944	# 楄 -- 303,301
0xC3C2	0x67F6	# 柶 -- 303,302
0xC3C3	0x6812	# 栒 -- 303,303
0xC3C4	0x681D	# 栝 -- 303,304
0xC3C5	0x6841	# 桁 -- 303,305
0xC3C6	0x6844	# 桄 -- 303,306
0xC3C7	0x6814	# 栔 -- 303,307
0xC3C8	0x6833	# 栳 -- 303,310
0xC3C9	0x6835	# 栵 -- 303,311
0xC3CA	0x68B2	# 梲 -- 303,312
0xC3CB	0x686E	# 桮 -- 303,313
0xC3CC	0x68A9	# 梩 -- 303,314
0xC3CD	0x686F	# 桯 -- 303,315
0xC3CE	0x68D0	# 棐 -- 303,316
0xC3CF	0x68EB	# 棫 -- 303,317
0xC3D0	0x68EC	# 棬 -- 303,320
0xC3D1	0x68FC	# 棼 -- 303,321
0xC3D2	0x690F	# 椏 -- 303,322
0xC3D3	0x6913	# 椓 -- 303,323
0xC3D4	0x6939	# 椹 -- 303,324
