
#   "304" UNIHAN

0xC421	0x6C86	# 沆 -- 304,041
0xC422	0x6C95	# 沕 -- 304,042
0xC423	0x6CC2	# 泂 -- 304,043
0xC424	0x6CDA	# 泚 -- 304,044
0xC425	0x6CE0	# 泠 -- 304,045
0xC426	0x6CF2	# 泲 -- 304,046
0xC427	0x6CC6	# 泆 -- 304,047
0xC428	0x6CD6	# 泖 -- 304,050
0xC429	0x6CDD	# 泝 -- 304,051
0xC42A	0x6D04	# 洄 -- 304,052
0xC42B	0x6D1A	# 洚 -- 304,053
0xC42C	0x6D27	# 洧 -- 304,054
0xC42D	0x6D39	# 洹 -- 304,055
0xC42E	0x6D3F	# 洿 -- 304,056
0xC42F	0x6D0C	# 洌 -- 304,057
0xC430	0x6D0F	# 洏 -- 304,060
0xC431	0x6D1F	# 洟 -- 304,061
0xC432	0x6C67	# 汧 -- 304,062
0xC433	0x6D11	# 洑 -- 304,063
0xC434	0x6D61	# 浡 -- 304,064
0xC435	0x6D65	# 浥 -- 304,065
0xC436	0x6D91	# 涑 -- 304,066
0xC437	0x6D6D	# 浭 -- 304,067
0xC438	0x6D8A	# 涊 -- 304,070
0xC439	0x6D92	# 涒 -- 304,071
0xC43A	0x6DFC	# 淼 -- 304,072
0xC43B	0x6DDF	# 淟 -- 304,073
0xC43C	0x6DF6	# 淶 -- 304,074
0xC43D	0x6D34	# 洴 -- 304,075
0xC43E	0x6DB4	# 涴 -- 304,076
0xC43F	0x6E1F	# 渟 -- 304,077
0xC440	0x6E72	# 湲 -- 304,100
0xC441	0x6E30	# 渰 -- 304,101
0xC442	0x6E32	# 渲 -- 304,102
0xC443	0x6E3C	# 渼 -- 304,103
0xC444	0x6E51	# 湑 -- 304,104
0xC445	0x6E62	# 湢 -- 304,105
0xC446	0x6E9F	# 溟 -- 304,106
0xC447	0x6EB1	# 溱 -- 304,107
0xC448	0x6EC3	# 滃 -- 304,110
0xC449	0x6EA0	# 溠 -- 304,111
0xC44A	0x6E8E	# 溎 -- 304,112
0xC44B	0x6EB4	# 溴 -- 304,113
0xC44C	0x6F08	# 漈 -- 304,114
0xC44D	0x6F18	# 漘 -- 304,115
0xC44E	0x6F19	# 漙 -- 304,116
0xC44F	0x6F26	# 漦 -- 304,117
0xC450	0x6F35	# 漵 -- 304,120
0xC451	0x6F36	# 漶 -- 304,121
0xC452	0x6F2D	# 漭 -- 304,122
0xC453	0x6F92	# 澒 -- 304,123
0xC454	0x6F94	# 澔 -- 304,124
0xC455	0x6F5A	# 潚 -- 304,125
0xC456	0x6F89	# 澉 -- 304,126
0xC457	0x6F90	# 澐 -- 304,127
0xC458	0x6FA0	# 澠 -- 304,130
0xC459	0x6FA5	# 澥 -- 304,131
0xC45A	0x6FA6	# 澦 -- 304,132
0xC45B	0x6FA8	# 澨 -- 304,133
0xC45C	0x6FBC	# 澼 -- 304,134
0xC45D	0x6FE9	# 濩 -- 304,135
0xC45E	0x6FDE	# 濞 -- 304,136
0xC45F	0x7001	# 瀁 -- 304,137
0xC460	0x700D	# 瀍 -- 304,140
0xC461	0x7023	# 瀣 -- 304,141
0xC462	0x7026	# 瀦 -- 304,142
0xC463	0x703C	# 瀼 -- 304,143
0xC464	0x703A	# 瀺 -- 304,144
0xC465	0x7043	# 灃 -- 304,145
0xC466	0x7069	# 灩 -- 304,146
0xC467	0x7085	# 炅 -- 304,147
0xC468	0x70B1	# 炱 -- 304,150
0xC469	0x70B7	# 炷 -- 304,151
0xC46A	0x70A4	# 炤 -- 304,152
0xC46B	0x70B0	# 炰 -- 304,153
0xC46C	0x70CB	# 烋 -- 304,154
0xC46D	0x70DC	# 烜 -- 304,155
0xC46E	0x7104	# 焄 -- 304,156
0xC46F	0x70FA	# 烺 -- 304,157
0xC470	0x711C	# 焜 -- 304,160
0xC471	0x712E	# 焮 -- 304,161
0xC472	0x7120	# 焠 -- 304,162
0xC473	0x712F	# 焯 -- 304,163
0xC474	0x7141	# 煁 -- 304,164
0xC475	0x71A0	# 熠 -- 304,165
0xC476	0x71BA	# 熺 -- 304,166
0xC477	0x71D4	# 燔 -- 304,167
0xC478	0x71D6	# 燖 -- 304,170
0xC479	0x7207	# 爇 -- 304,171
0xC47A	0x7213	# 爓 -- 304,172
0xC47B	0x721A	# 爚 -- 304,173
0xC47C	0x721F	# 爟 -- 304,174
0xC47D	0x7225	# 爥 -- 304,175
0xC47E	0x7228	# 爨 -- 304,176
0xC4A1	0x7242	# 牂 -- 304,241
0xC4A2	0x724F	# 牏 -- 304,242
0xC4A3	0x7250	# 牐 -- 304,243
0xC4A4	0x7253	# 牓 -- 304,244
0xC4A5	0x726E	# 牮 -- 304,245
0xC4A6	0x7277	# 牷 -- 304,246
0xC4A7	0x727C	# 牼 -- 304,247
0xC4A8	0x727F	# 牿 -- 304,250
0xC4A9	0x7289	# 犉 -- 304,251
0xC4AA	0x728D	# 犍 -- 304,252
0xC4AB	0x72A8	# 犨 -- 304,253
0xC4AC	0x72B4	# 犴 -- 304,254
0xC4AD	0x72C1	# 狁 -- 304,255
0xC4AE	0x72C9	# 狉 -- 304,256
0xC4AF	0x72EB	# 狫 -- 304,257
0xC4B0	0x72E5	# 狥 -- 304,260
0xC4B1	0x72F4	# 狴 -- 304,261
0xC4B2	0x72FB	# 狻 -- 304,262
0xC4B3	0x7301	# 猁 -- 304,263
0xC4B4	0x7318	# 猘 -- 304,264
0xC4B5	0x730A	# 猊 -- 304,265
0xC4B6	0x7331	# 猱 -- 304,266
0xC4B7	0x7352	# 獒 -- 304,267
0xC4B8	0x7358	# 獘 -- 304,270
0xC4B9	0x7360	# 獠 -- 304,271
0xC4BA	0x7362	# 獢 -- 304,272
0xC4BB	0x7367	# 獧 -- 304,273
0xC4BC	0x736C	# 獬 -- 304,274
0xC4BD	0x736B	# 獫 -- 304,275
0xC4BE	0x736E	# 獮 -- 304,276
0xC4BF	0x736F	# 獯 -- 304,277
0xC4C0	0x7377	# 獷 -- 304,300
0xC4C1	0x7381	# 玁 -- 304,301
0xC4C2	0x7388	# 玈 -- 304,302
0xC4C3	0x738E	# 玎 -- 304,303
0xC4C4	0x7395	# 玕 -- 304,304
0xC4C5	0x73A0	# 玠 -- 304,305
0xC4C6	0x73A6	# 玦 -- 304,306
0xC4C7	0x7393	# 玓 -- 304,307
0xC4C8	0x73BC	# 玼 -- 304,310
0xC4C9	0x73C9	# 珉 -- 304,311
0xC4CA	0x73D3	# 珓 -- 304,312
0xC4CB	0x73D9	# 珙 -- 304,313
0xC4CC	0x7416	# 琖 -- 304,314
0xC4CD	0x73F7	# 珷 -- 304,315
0xC4CE	0x7431	# 琱 -- 304,316
0xC4CF	0x742C	# 琬 -- 304,317
0xC4D0	0x742F	# 琯 -- 304,320
0xC4D1	0x744B	# 瑋 -- 304,321
0xC4D2	0x7451	# 瑑 -- 304,322
0xC4D3	0x7471	# 瑱 -- 304,323
0xC4D4	0x7472	# 瑲 -- 304,324
0xC4D5	0x7473	# 瑳 -- 304,325
0xC4D6	0x7474	# 瑴 -- 304,326
0xC4D7	0x7460	# 瑠 -- 304,327
0xC4D8	0x7480	# 璀 -- 304,330
0xC4D9	0x7485	# 璅 -- 304,331
0xC4DA	0x7486	# 璆 -- 304,332
0xC4DB	0x7488	# 璈 -- 304,333
0xC4DC	0x7490	# 璐 -- 304,334
0xC4DD	0x7498	# 璘 -- 304,335
0xC4DE	0x749A	# 璚 -- 304,336
0xC4DF	0x74AA	# 璪 -- 304,337
0xC4E0	0x74AB	# 璫 -- 304,340
0xC4E1	0x74B5	# 璵 -- 304,341
0xC4E2	0x74BF	# 璿 -- 304,342
0xC4E3	0x74C8	# 瓈 -- 304,343
0xC4E4	0x74D8	# 瓘 -- 304,344
0xC4E5	0x74DA	# 瓚 -- 304,345
0xC4E6	0x74DB	# 瓛 -- 304,346
0xC4E7	0x74E4	# 瓤 -- 304,347
0xC4E8	0x74FB	# 瓻 -- 304,350
0xC4E9	0x74FF	# 瓿 -- 304,351
0xC4EA	0x750F	# 甏 -- 304,352
0xC4EB	0x7516	# 甖 -- 304,353
0xC4EC	0x752A	# 甪 -- 304,354
0xC4ED	0x753F	# 甿 -- 304,355
0xC4EE	0x7547	# 畇 -- 304,356
0xC4EF	0x7548	# 畈 -- 304,357
0xC4F0	0x7564	# 畤 -- 304,360
0xC4F1	0x7583	# 疃 -- 304,361
0xC4F2	0x7590	# 疐 -- 304,362
0xC4F3	0x7598	# 疘 -- 304,363
0xC4F4	0x75B8	# 疸 -- 304,364
0xC4F5	0x75C1	# 痁 -- 304,365
0xC4F6	0x75D0	# 痐 -- 304,366
0xC4F7	0x75D7	# 痗 -- 304,367
0xC4F8	0x75E1	# 痡 -- 304,370
0xC4F9	0x75FE	# 痾 -- 304,371
0xC4FA	0x7602	# 瘂 -- 304,372
0xC4FB	0x760F	# 瘏 -- 304,373
0xC4FC	0x761D	# 瘝 -- 304,374
0xC4FD	0x762F	# 瘯 -- 304,375
0xC4FE	0x7649	# 癉 -- 304,376
