
#   "305" UNIHAN

0xC521	0x7659	# 癙 -- 305,041
0xC522	0x766D	# 癭 -- 305,042
0xC523	0x769C	# 皜 -- 305,043
0xC524	0x748A	# 璊 -- 305,044
0xC525	0x76E9	# 盩 -- 305,045
0xC526	0x76EC	# 盬 -- 305,046
0xC527	0x76ED	# 盭 -- 305,047
0xC528	0x7704	# 眄 -- 305,050
0xC529	0x770A	# 眊 -- 305,051
0xC52A	0x771A	# 眚 -- 305,052
0xC52B	0x772F	# 眯 -- 305,053
0xC52C	0x7734	# 眴 -- 305,054
0xC52D	0x7745	# 睅 -- 305,055
0xC52E	0x774A	# 睊 -- 305,056
0xC52F	0x774D	# 睍 -- 305,057
0xC530	0x7758	# 睘 -- 305,060
0xC531	0x775F	# 睟 -- 305,061
0xC532	0x7760	# 睠 -- 305,062
0xC533	0x7780	# 瞀 -- 305,063
0xC534	0x778D	# 瞍 -- 305,064
0xC535	0x77AF	# 瞯 -- 305,065
0xC536	0x77D9	# 矙 -- 305,066
0xC537	0x77DE	# 矞 -- 305,067
0xC538	0x77F0	# 矰 -- 305,070
0xC539	0x77F4	# 矴 -- 305,071
0xC53A	0x7809	# 砉 -- 305,072
0xC53B	0x7806	# 砆 -- 305,073
0xC53C	0x7826	# 砦 -- 305,074
0xC53D	0x7820	# 砠 -- 305,075
0xC53E	0x7822	# 砢 -- 305,076
0xC53F	0x784E	# 硎 -- 305,077
0xC540	0x786D	# 硭 -- 305,100
0xC541	0x7868	# 硨 -- 305,101
0xC542	0x7894	# 碔 -- 305,102
0xC543	0x788F	# 碏 -- 305,103
0xC544	0x78A3	# 碣 -- 305,104
0xC545	0x78AA	# 碪 -- 305,105
0xC546	0x78D5	# 磕 -- 305,106
0xC547	0x78BB	# 碻 -- 305,107
0xC548	0x78D2	# 磒 -- 305,110
0xC549	0x78E1	# 磡 -- 305,111
0xC54A	0x78FD	# 磽 -- 305,112
0xC54B	0x78F2	# 磲 -- 305,113
0xC54C	0x78FB	# 磻 -- 305,114
0xC54D	0x7904	# 礄 -- 305,115
0xC54E	0x793D	# 礽 -- 305,116
0xC54F	0x793F	# 礿 -- 305,117
0xC550	0x7945	# 祅 -- 305,120
0xC551	0x794F	# 祏 -- 305,121
0xC552	0x796B	# 祫 -- 305,122
0xC553	0x7972	# 祲 -- 305,123
0xC554	0x797C	# 祼 -- 305,124
0xC555	0x798B	# 禋 -- 305,125
0xC556	0x7996	# 禖 -- 305,126
0xC557	0x7998	# 禘 -- 305,127
0xC558	0x79AB	# 禫 -- 305,130
0xC559	0x79B4	# 禴 -- 305,131
0xC55A	0x79BA	# 禺 -- 305,132
0xC55B	0x79D4	# 秔 -- 305,133
0xC55C	0x79EC	# 秬 -- 305,134
0xC55D	0x79ED	# 秭 -- 305,135
0xC55E	0x7A0A	# 稊 -- 305,136
0xC55F	0x7A0C	# 稌 -- 305,137
0xC560	0x7A11	# 稑 -- 305,140
0xC561	0x7A39	# 稹 -- 305,141
0xC562	0x7A48	# 穈 -- 305,142
0xC563	0x7A4B	# 穋 -- 305,143
0xC564	0x7A60	# 穠 -- 305,144
0xC565	0x7A5F	# 穟 -- 305,145
0xC566	0x7A67	# 穧 -- 305,146
0xC567	0x7A75	# 穵 -- 305,147
0xC568	0x7A85	# 窅 -- 305,150
0xC569	0x7A9E	# 窞 -- 305,151
0xC56A	0x7AA3	# 窣 -- 305,152
0xC56B	0x7AB8	# 窸 -- 305,153
0xC56C	0x7ABE	# 窾 -- 305,154
0xC56D	0x7AD1	# 竑 -- 305,155
0xC56E	0x7AFE	# 竾 -- 305,156
0xC56F	0x7B2A	# 笪 -- 305,157
0xC570	0x7B31	# 笱 -- 305,160
0xC571	0x7B2E	# 笮 -- 305,161
0xC572	0x7B35	# 笵 -- 305,162
0xC573	0x7B47	# 筇 -- 305,163
0xC574	0x7B45	# 筅 -- 305,164
0xC575	0x7B4A	# 筊 -- 305,165
0xC576	0x7B65	# 筥 -- 305,166
0xC577	0x7B6D	# 筭 -- 305,167
0xC578	0x7B74	# 筴 -- 305,170
0xC579	0x7B66	# 筦 -- 305,171
0xC57A	0x7BBE	# 箾 -- 305,172
0xC57B	0x7BDA	# 篚 -- 305,173
0xC57C	0x7BDD	# 篝 -- 305,174
0xC57D	0x7BE5	# 篥 -- 305,175
0xC57E	0x7BE8	# 篨 -- 305,176
0xC5A1	0x7BEA	# 篪 -- 305,241
0xC5A2	0x7BD4	# 篔 -- 305,242
0xC5A3	0x7BD8	# 篘 -- 305,243
0xC5A4	0x7BF2	# 篲 -- 305,244
0xC5A5	0x7BF3	# 篳 -- 305,245
0xC5A6	0x7C03	# 簃 -- 305,246
0xC5A7	0x7C0F	# 簏 -- 305,247
0xC5A8	0x7C0C	# 簌 -- 305,250
0xC5A9	0x7C20	# 簠 -- 305,251
0xC5AA	0x7C26	# 簦 -- 305,252
0xC5AB	0x7C3B	# 簻 -- 305,253
0xC5AC	0x7C5B	# 籛 -- 305,254
0xC5AD	0x7C5D	# 籝 -- 305,255
0xC5AE	0x7C78	# 籸 -- 305,256
0xC5AF	0x7C8E	# 粎 -- 305,257
0xC5B0	0x7C8D	# 粍 -- 305,260
0xC5B1	0x7C9E	# 粞 -- 305,261
0xC5B2	0x7CBA	# 粺 -- 305,262
0xC5B3	0x7CBC	# 粼 -- 305,263
0xC5B4	0x7CC8	# 糈 -- 305,264
0xC5B5	0x7CD7	# 糗 -- 305,265
0xC5B6	0x7CDD	# 糝 -- 305,266
0xC5B7	0x7D03	# 紃 -- 305,267
0xC5B8	0x7D15	# 紕 -- 305,270
0xC5B9	0x7D18	# 紘 -- 305,271
0xC5BA	0x7D1D	# 紝 -- 305,272
0xC5BB	0x7D29	# 紩 -- 305,273
0xC5BC	0x7D3D	# 紽 -- 305,274
0xC5BD	0x7D45	# 絅 -- 305,275
0xC5BE	0x7D3E	# 紾 -- 305,276
0xC5BF	0x7D53	# 絓 -- 305,277
0xC5C0	0x7D6A	# 絪 -- 305,300
0xC5C1	0x7D5A	# 絚 -- 305,301
0xC5C2	0x7D7B	# 絻 -- 305,302
0xC5C3	0x7D7F	# 絿 -- 305,303
0xC5C4	0x7D85	# 綅 -- 305,304
0xC5C5	0x7D8C	# 綌 -- 305,305
0xC5C6	0x7D8D	# 綍 -- 305,306
0xC5C7	0x7D96	# 綖 -- 305,307
0xC5C8	0x7DAF	# 綯 -- 305,310
0xC5C9	0x7DD7	# 緗 -- 305,311
0xC5CA	0x7DF9	# 緹 -- 305,312
0xC5CB	0x7DE4	# 緤 -- 305,313
0xC5CC	0x7DE5	# 緥 -- 305,314
0xC5CD	0x7DD9	# 緙 -- 305,315
0xC5CE	0x7E15	# 縕 -- 305,316
0xC5CF	0x7E1A	# 縚 -- 305,317
0xC5D0	0x7E17	# 縗 -- 305,320
0xC5D1	0x7E20	# 縠 -- 305,321
0xC5D2	0x7E2D	# 縭 -- 305,322
0xC5D3	0x7E34	# 縴 -- 305,323
0xC5D4	0x7E62	# 繢 -- 305,324
0xC5D5	0x7E50	# 繐 -- 305,325
0xC5D6	0x7E7B	# 繻 -- 305,326
0xC5D7	0x7E7E	# 繾 -- 305,327
0xC5D8	0x7E81	# 纁 -- 305,330
0xC5D9	0x7E88	# 纈 -- 305,331
0xC5DA	0x7E8A	# 纊 -- 305,332
0xC5DB	0x7F3E	# 缾 -- 305,333
0xC5DC	0x7F43	# 罃 -- 305,334
0xC5DD	0x7F47	# 罇 -- 305,335
0xC5DE	0x7F4F	# 罏 -- 305,336
