
#   "306" UNIHAN

0xC621	0x8153	# 腓 -- 306,041
0xC622	0x816F	# 腯 -- 306,042
0xC623	0x8176	# 腶 -- 306,043
0xC624	0x81B0	# 膰 -- 306,044
0xC625	0x81B4	# 膴 -- 306,045
0xC626	0x81C4	# 臄 -- 306,046
0xC627	0x81CF	# 臏 -- 306,047
0xC628	0x81E7	# 臧 -- 306,050
0xC629	0x81F2	# 臲 -- 306,051
0xC62A	0x8204	# 舄 -- 306,052
0xC62B	0x820B	# 舋 -- 306,053
0xC62C	0x821D	# 舝 -- 306,054
0xC62D	0x8220	# 舠 -- 306,055
0xC62E	0x8232	# 舲 -- 306,056
0xC62F	0x8233	# 舳 -- 306,057
0xC630	0x824B	# 艋 -- 306,060
0xC631	0x824E	# 艎 -- 306,061
0xC632	0x8257	# 艗 -- 306,062
0xC633	0x8263	# 艣 -- 306,063
0xC634	0x826B	# 艫 -- 306,064
0xC635	0x8274	# 艴 -- 306,065
0xC636	0x827D	# 艽 -- 306,066
0xC637	0x8283	# 芃 -- 306,067
0xC638	0x8284	# 芄 -- 306,070
0xC639	0x8291	# 芑 -- 306,071
0xC63A	0x828A	# 芊 -- 306,072
0xC63B	0x82A3	# 芣 -- 306,073
0xC63C	0x82B0	# 芰 -- 306,074
0xC63D	0x82BE	# 芾 -- 306,075
0xC63E	0x82BC	# 芼 -- 306,076
0xC63F	0x82A8	# 芨 -- 306,077
0xC640	0x82D5	# 苕 -- 306,100
0xC641	0x4F42	# 佂 -- 306,101
0xC642	0x82FA	# 苺 -- 306,102
0xC643	0x82FE	# 苾 -- 306,103
0xC644	0x8306	# 茆 -- 306,104
0xC645	0x82D9	# 苙 -- 306,105
0xC646	0x8300	# 茀 -- 306,106
0xC647	0x8307	# 茇 -- 306,107
0xC648	0x831E	# 茞 -- 306,110
0xC649	0x8344	# 荄 -- 306,111
0xC64A	0x59EE	# 姮 -- 306,112
0xC64B	0x834D	# 荍 -- 306,113
0xC64C	0x8351	# 荑 -- 306,114
0xC64D	0x832C	# 茬 -- 306,115
0xC64E	0x8322	# 茢 -- 306,116
0xC64F	0x839B	# 莛 -- 306,117
0xC650	0x83D1	# 菑 -- 306,120
0xC651	0x83DF	# 菟 -- 306,121
0xC652	0x83F9	# 菹 -- 306,122
0xC653	0x8407	# 萇 -- 306,123
0xC654	0x83C6	# 菆 -- 306,124
0xC655	0x83E1	# 菡 -- 306,125
0xC656	0x83F6	# 菶 -- 306,126
0xC657	0x83FC	# 菼 -- 306,127
0xC658	0x8460	# 葠 -- 306,130
0xC659	0x847D	# 葽 -- 306,131
0xC65A	0x8429	# 萩 -- 306,132
0xC65B	0x8479	# 葹 -- 306,133
0xC65C	0x844A	# 葊 -- 306,134
0xC65D	0x84B1	# 蒱 -- 306,135
0xC65E	0x84C2	# 蓂 -- 306,136
0xC65F	0x8500	# 蔀 -- 306,137
0xC660	0x8526	# 蔦 -- 306,140
0xC661	0x8507	# 蔇 -- 306,141
0xC662	0x84E7	# 蓧 -- 306,142
0xC663	0x850C	# 蔌 -- 306,143
0xC664	0x853E	# 蔾 -- 306,144
0xC665	0x8551	# 蕑 -- 306,145
0xC666	0x8556	# 蕖 -- 306,146
0xC667	0x855D	# 蕝 -- 306,147
0xC668	0x8561	# 蕡 -- 306,150
0xC669	0x8562	# 蕢 -- 306,151
0xC66A	0x8590	# 薐 -- 306,152
0xC66B	0x8580	# 薀 -- 306,153
0xC66C	0x8577	# 蕷 -- 306,154
0xC66D	0x857A	# 蕺 -- 306,155
0xC66E	0x8585	# 薅 -- 306,156
0xC66F	0x858C	# 薌 -- 306,157
0xC670	0x859C	# 薜 -- 306,160
0xC671	0x8586	# 薆 -- 306,161
0xC672	0x8596	# 薖 -- 306,162
0xC673	0x85B3	# 薳 -- 306,163
0xC674	0x85DF	# 藟 -- 306,164
0xC675	0x85DA	# 藚 -- 306,165
0xC676	0x8600	# 蘀 -- 306,166
0xC677	0x8624	# 蘤 -- 306,167
0xC678	0x8640	# 虀 -- 306,170
0xC679	0x8646	# 虆 -- 306,171
0xC67A	0x8653	# 虓 -- 306,172
0xC67B	0x8656	# 虖 -- 306,173
0xC67C	0x8661	# 虡 -- 306,174
0xC67D	0x8663	# 虣 -- 306,175
0xC67E	0x8669	# 虩 -- 306,176
0xC6A1	0x866F	# 虯 -- 306,241
0xC6A2	0x86A1	# 蚡 -- 306,242
0xC6A4	0x86F8	# 蛸 -- 306,244
0xC6A5	0x870D	# 蜍 -- 306,245
0xC6A6	0x870E	# 蜎 -- 306,246
0xC6A7	0x86CC	# 蛌 -- 306,247
0xC6A8	0x873E	# 蜾 -- 306,250
0xC6A9	0x8740	# 蝀 -- 306,251
0xC6AA	0x873A	# 蜺 -- 306,252
0xC6AB	0x8743	# 蝃 -- 306,253
0xC6AC	0x8758	# 蝘 -- 306,254
