
#   "307" UNIHAN

0xC721	0x8CA4	# 貤 -- 307,041
0xC722	0x8CD5	# 賕 -- 307,042
0xC723	0x8CEB	# 賫 -- 307,043
0xC724	0x8CFE	# 賾 -- 307,044
0xC725	0x8D07	# 贇 -- 307,045
0xC726	0x8D09	# 贉 -- 307,046
0xC727	0x8240	# 艀 -- 307,047
0xC728	0x8D6C	# 赬 -- 307,050
0xC729	0x8DAF	# 趯 -- 307,051
0xC72A	0x8DD6	# 跖 -- 307,052
0xC72B	0x8DC5	# 跅 -- 307,053
0xC72C	0x8DBC	# 趼 -- 307,054
0xC72D	0x8E16	# 踖 -- 307,055
0xC72E	0x8E14	# 踔 -- 307,056
0xC72F	0x8E18	# 踘 -- 307,057
0xC730	0x8E26	# 踦 -- 307,060
0xC731	0x8E27	# 踧 -- 307,061
0xC732	0x8E3D	# 踽 -- 307,062
0xC733	0x8E36	# 踶 -- 307,063
0xC734	0x8E40	# 蹀 -- 307,064
0xC735	0x8E41	# 蹁 -- 307,065
0xC736	0x5290	# 劐 -- 307,066
0xC737	0x8E54	# 蹔 -- 307,067
0xC738	0x8E62	# 蹢 -- 307,070
0xC739	0x8E7B	# 蹻 -- 307,071
0xC73A	0x8E6F	# 蹯 -- 307,072
0xC73B	0x8E84	# 躄 -- 307,073
0xC73C	0x8E94	# 躔 -- 307,074
0xC73D	0x8E9A	# 躚 -- 307,075
0xC73E	0x8E9E	# 躞 -- 307,076
0xC73F	0x8EA7	# 躧 -- 307,077
0xC740	0x8EA9	# 躩 -- 307,100
0xC741	0x8ECF	# 軏 -- 307,101
0xC742	0x8EF9	# 軹 -- 307,102
0xC743	0x8F00	# 輀 -- 307,103
0xC744	0x8F08	# 輈 -- 307,104
0xC745	0x8F07	# 輇 -- 307,105
0xC746	0x8F17	# 輗 -- 307,106
0xC747	0x8F1E	# 輞 -- 307,107
0xC748	0x8F20	# 輠 -- 307,110
0xC749	0x8F27	# 輧 -- 307,111
0xC74A	0x8F2E	# 輮 -- 307,112
0xC74B	0x8F40	# 轀 -- 307,113
0xC74C	0x8F54	# 轔 -- 307,114
0xC74D	0x8F56	# 轖 -- 307,115
0xC74E	0x8F31	# 輱 -- 307,116
0xC74F	0x8FCB	# 迋 -- 307,117
0xC750	0x8FCD	# 迍 -- 307,120
0xC751	0x8FD5	# 迕 -- 307,121
0xC752	0x8FEE	# 迮 -- 307,122
0xC753	0x9002	# 适 -- 307,123
0xC754	0x900C	# 逌 -- 307,124
0xC755	0x8FFB	# 迻 -- 307,125
0xC756	0x9079	# 遹 -- 307,126
0xC757	0x907B	# 遻 -- 307,127
0xC758	0x9099	# 邙 -- 307,130
0xC759	0x90A1	# 邡 -- 307,131
0xC75A	0x90B0	# 邰 -- 307,132
0xC75B	0x90B2	# 邲 -- 307,133
0xC75C	0x90B3	# 邳 -- 307,134
0xC75D	0x90B6	# 邶 -- 307,135
0xC75E	0x90BD	# 邽 -- 307,136
0xC75F	0x90BE	# 邾 -- 307,137
0xC760	0x90C5	# 郅 -- 307,140
0xC761	0x90C7	# 郇 -- 307,141
0xC762	0x90C3	# 郃 -- 307,142
0xC763	0x90E2	# 郢 -- 307,143
0xC764	0x90D5	# 郕 -- 307,144
0xC765	0x90EA	# 郪 -- 307,145
0xC766	0x90F3	# 郳 -- 307,146
0xC767	0x90EB	# 郫 -- 307,147
0xC768	0x90EF	# 郯 -- 307,150
0xC769	0x90F4	# 郴 -- 307,151
