
#   "310" UNIHAN

0xC821	0x9931	# 餱 -- 310,041
0xC822	0x9932	# 餲 -- 310,042
0xC823	0x9933	# 餳 -- 310,043
0xC824	0x993C	# 餼 -- 310,044
0xC825	0x9941	# 饁 -- 310,045
0xC826	0x9939	# 餹 -- 310,046
0xC827	0x9950	# 饐 -- 310,047
0xC828	0x994E	# 饎 -- 310,050
0xC829	0x99A1	# 馡 -- 310,051
0xC82A	0x99B9	# 馹 -- 310,052
0xC82B	0x99EA	# 駪 -- 310,053
0xC82C	0x99EC	# 駬 -- 310,054
0xC82D	0x99F0	# 駰 -- 310,055
0xC82E	0x99EE	# 駮 -- 310,056
0xC82F	0x9A02	# 騂 -- 310,057
0xC830	0x9A03	# 騃 -- 310,060
0xC831	0x9A04	# 騄 -- 310,061
0xC832	0x9A05	# 騅 -- 310,062
0xC833	0x9A0B	# 騋 -- 310,063
0xC834	0x9A11	# 騑 -- 310,064
0xC835	0x9A27	# 騧 -- 310,065
0xC836	0x9A23	# 騣 -- 310,066
0xC837	0x9A24	# 騤 -- 310,067
0xC838	0x9A35	# 騵 -- 310,070
0xC839	0x9A36	# 騶 -- 310,071
0xC83A	0x9A44	# 驄 -- 310,072
0xC83B	0x9A43	# 驃 -- 310,073
0xC83C	0x9A56	# 驖 -- 310,074
0xC83D	0x9AAD	# 骭 -- 310,075
0xC83E	0x9AA9	# 骩 -- 310,076
0xC83F	0x9AB0	# 骰 -- 310,077
0xC840	0x9ABE	# 骾 -- 310,100
0xC841	0x9ABD	# 骽 -- 310,101
0xC842	0x9AD6	# 髖 -- 310,102
0xC843	0x9AE2	# 髢 -- 310,103
0xC844	0x9AE8	# 髨 -- 310,104
0xC845	0x9B0B	# 鬋 -- 310,105
0xC846	0x9B12	# 鬒 -- 310,106
0xC847	0x9B11	# 鬑 -- 310,107
0xC848	0x9B18	# 鬘 -- 310,110
0xC849	0x9B37	# 鬷 -- 310,111
0xC84A	0x9B90	# 鮐 -- 310,112
