
#   "311" UNIHAN

0xC921	0x5A64	# 婤 -- 311,041
0xC922	0x5A65	# 婥 -- 311,042
0xC923	0x5A35	# 娵 -- 311,043
0xC924	0x5A50	# 婐 -- 311,044
0xC925	0x5A8A	# 媊 -- 311,045
0xC926	0x5AF3	# 嫳 -- 311,046
0xC927	0x5B56	# 孖 -- 311,047
0xC928	0x5B7B	# 孻 -- 311,050
0xC929	0x5C15	# 尕 -- 311,051
0xC92A	0x537C	# 卼 -- 311,052
0xC92B	0x5C30	# 尰 -- 311,053
0xC92C	0x5C5D	# 屝 -- 311,054
0xC92D	0x5C6A	# 屪 -- 311,055
0xC92E	0x5C7C	# 屼 -- 311,056
0xC92F	0x5C8A	# 岊 -- 311,057
0xC930	0x5CA8	# 岨 -- 311,060
0xC931	0x5C9E	# 岞 -- 311,061
0xC932	0x5DC3	# 巃 -- 311,062
0xC933	0x5C74	# 屴 -- 311,063
0xC934	0x5CC7	# 峇 -- 311,064
0xC935	0x5CF9	# 峹 -- 311,065
0xC936	0x5D2E	# 崮 -- 311,066
0xC937	0x5D31	# 崱 -- 311,067
0xC938	0x5D59	# 嵙 -- 311,070
0xC939	0x5D7E	# 嵾 -- 311,071
0xC93A	0x5D7C	# 嵼 -- 311,072
0xC93B	0x5DB4	# 嶴 -- 311,073
0xC93C	0x5DA5	# 嶥 -- 311,074
0xC93D	0x5D9E	# 嶞 -- 311,075
0xC93E	0x5E17	# 帗 -- 311,076
0xC93F	0x5E23	# 帣 -- 311,077
0xC940	0x5E4B	# 幋 -- 311,100
0xC941	0x5E48	# 幈 -- 311,101
0xC942	0x5E69	# 幩 -- 311,102
0xC943	0x5E6D	# 幭 -- 311,103
0xC944	0x5E66	# 幦 -- 311,104
0xC945	0x5E68	# 幨 -- 311,105
0xC946	0x5E6F	# 幯 -- 311,106
0xC947	0x5ED4	# 廔 -- 311,107
0xC948	0x5ECD	# 廍 -- 311,110
0xC949	0x5F74	# 彴 -- 311,111
0xC94A	0x5F7D	# 彽 -- 311,112
0xC94B	0x8668	# 虨 -- 311,113
0xC94C	0x6032	# 怲 -- 311,114
0xC94D	0x60F7	# 惷 -- 311,115
0xC94E	0x6103	# 愃 -- 311,116
0xC94F	0x6112	# 愒 -- 311,117
0xC950	0x6183	# 憃 -- 311,120
0xC951	0x6169	# 慩 -- 311,121
0xC952	0x618F	# 憏 -- 311,122
0xC953	0x615C	# 慜 -- 311,123
0xC954	0x61A6	# 憦 -- 311,124
0xC955	0x61D3	# 懓 -- 311,125
0xC956	0x61E0	# 懠 -- 311,126
0xC957	0x61F0	# 懰 -- 311,127
0xC958	0x6204	# 戄 -- 311,130
0xC959	0x622D	# 戭 -- 311,131
0xC95A	0x5F38	# 弸 -- 311,132
0xC95B	0x6250	# 扐 -- 311,133
0xC95C	0x6261	# 扡 -- 311,134
0xC95D	0x6262	# 扢 -- 311,135
0xC95E	0x6264	# 扤 -- 311,136
0xC95F	0x62C3	# 拃 -- 311,137
0xC960	0x6358	# 捘 -- 311,140
0xC961	0x63A4	# 掤 -- 311,141
0xC962	0x6397	# 掗 -- 311,142
0xC963	0x63D7	# 揗 -- 311,143
0xC964	0x63F5	# 揵 -- 311,144
0xC965	0x63E5	# 揥 -- 311,145
0xC966	0x63F0	# 揰 -- 311,146
0xC967	0x7130	# 焰 -- 311,147
0xC968	0x6460	# 摠 -- 311,150
0xC969	0x6477	# 摷 -- 311,151
0xC96A	0x6472	# 摲 -- 311,152
0xC96B	0x6466	# 摦 -- 311,153
0xC96C	0x644F	# 摏 -- 311,154
0xC96D	0x9211	# 鈑 -- 311,155
0xC96E	0x64B1	# 撱 -- 311,156
0xC96F	0x64D6	# 擖 -- 311,157
0xC970	0x655C	# 敜 -- 311,160
0xC971	0x6573	# 敳 -- 311,161
0xC972	0x6579	# 敹 -- 311,162
0xC973	0x65A2	# 斢 -- 311,163
0xC974	0x6604	# 昄 -- 311,164
0xC975	0x6645	# 晅 -- 311,165
0xC976	0x668C	# 暌 -- 311,166
0xC977	0x6694	# 暔 -- 311,167
0xC978	0x66B2	# 暲 -- 311,170
0xC979	0x66C8	# 曈 -- 311,171
0xC97A	0x80A6	# 肦 -- 311,172
0xC97B	0x6710	# 朐 -- 311,173
0xC97C	0x6723	# 朣 -- 311,174
0xC97D	0x673E	# 朾 -- 311,175
0xC97E	0x675D	# 杝 -- 311,176
0xC9A1	0x6745	# 杅 -- 311,241
0xC9A2	0x6776	# 杶 -- 311,242
0xC9A3	0x6C3D	# 氽 -- 311,243
0xC9A4	0x6793	# 枓 -- 311,244
0xC9A5	0x6792	# 枒 -- 311,245
0xC9A6	0x67C2	# 柂 -- 311,246
0xC9A7	0x67F0	# 柰 -- 311,247
0xC9A8	0x67F7	# 柷 -- 311,250
0xC9A9	0x67C5	# 柅 -- 311,251
0xC9AA	0x67E3	# 柣 -- 311,252
0xC9AB	0x67F2	# 柲 -- 311,253
0xC9AC	0x682B	# 栫 -- 311,254
0xC9AD	0x682D	# 栭 -- 311,255
0xC9AE	0x6831	# 栱 -- 311,256
0xC9AF	0x683B	# 栻 -- 311,257
0xC9B0	0x6898	# 梘 -- 311,260
0xC9B1	0x686B	# 桫 -- 311,261
0xC9B2	0x689C	# 梜 -- 311,262
0xC9B3	0x6890	# 梐 -- 311,263
0xC9B4	0x6879	# 桹 -- 311,264
0xC9B5	0x6877	# 桷 -- 311,265
0xC9B6	0x686D	# 桭 -- 311,266
0xC9B7	0x68A1	# 梡 -- 311,267
0xC9B8	0x68B4	# 梴 -- 311,270
0xC9B9	0x68D3	# 棓 -- 311,271
0xC9BA	0x6910	# 椐 -- 311,272
0xC9BB	0x68EA	# 棪 -- 311,273
0xC9BC	0x68F8	# 棸 -- 311,274
0xC9BD	0x6970	# 楰 -- 311,275
0xC9BE	0x690C	# 椌 -- 311,276
0xC9BF	0x68DC	# 棜 -- 311,277
0xC9C0	0x6911	# 椑 -- 311,300
0xC9C1	0x6940	# 楀 -- 311,301
0xC9C2	0x694E	# 楎 -- 311,302
0xC9C3	0x6957	# 楗 -- 311,303
0xC9C4	0x6962	# 楢 -- 311,304
0xC9C5	0x698E	# 榎 -- 311,305
0xC9C6	0x69A5	# 榥 -- 311,306
0xC9C7	0x6A15	# 樕 -- 311,307
0xC9C8	0x6A0F	# 樏 -- 311,310
0xC9C9	0x69A4	# 榤 -- 311,311
0xC9CA	0x6A20	# 樠 -- 311,312
0xC9CB	0x6A3F	# 樿 -- 311,313
0xC9CC	0x6A33	# 樳 -- 311,314
0xC9CD	0x6A52	# 橒 -- 311,315
0xC9CE	0x6A99	# 檙 -- 311,316
0xC9CF	0x6A91	# 檑 -- 311,317
0xC9D0	0x6ABF	# 檿 -- 311,320
0xC9D1	0x6ACC	# 櫌 -- 311,321
0xC9D2	0x6B11	# 欑 -- 311,322
0xC9D3	0x6B03	# 欃 -- 311,323
0xC9D4	0x6B19	# 欙 -- 311,324
0xC9D5	0x6B3C	# 欼 -- 311,325
0xC9D6	0x6B5D	# 歝 -- 311,326
0xC9D7	0x6B7E	# 歾 -- 311,327
0xC9D8	0x6B88	# 殈 -- 311,330
0xC9D9	0x6B95	# 殕 -- 311,331
0xC9DA	0x6BF8	# 毸 -- 311,332
0xC9DB	0x6C25	# 氥 -- 311,333
0xC9DC	0x6C3F	# 氿 -- 311,334
0xC9DD	0x6C4B	# 汋 -- 311,335
0xC9DE	0x7640	# 癀 -- 311,336
0xC9DF	0x6C97	# 沗 -- 311,337
0xC9E0	0x6CDC	# 泜 -- 311,340
0xC9E1	0x6CD2	# 泒 -- 311,341
0xC9E2	0x6CE9	# 泩 -- 311,342
0xC9E3	0x6D24	# 洤 -- 311,343
0xC9E4	0x6D60	# 浠 -- 311,344
0xC9E5	0x6D67	# 浧 -- 311,345
0xC9E6	0x6D64	# 浤 -- 311,346
0xC9E7	0x6DD3	# 淓 -- 311,347
0xC9E8	0x6DE0	# 淠 -- 311,350
0xC9E9	0x6DE2	# 淢 -- 311,351
0xC9EA	0x6DE5	# 淥 -- 311,352
0xC9EB	0x6DF0	# 淰 -- 311,353
0xC9EC	0x6DDC	# 淜 -- 311,354
0xC9ED	0x6E2E	# 渮 -- 311,355
0xC9EE	0x6E73	# 湳 -- 311,356
0xC9EF	0x6E4B	# 湋 -- 311,357
0xC9F0	0x6E45	# 湅 -- 311,360
0xC9F1	0x6E5D	# 湝 -- 311,361
0xC9F2	0x6E22	# 渢 -- 311,362
0xC9F3	0x6E69	# 湩 -- 311,363
0xC9F4	0x6ECA	# 滊 -- 311,364
0xC9F5	0x6EA6	# 溦 -- 311,365
0xC9F6	0x6ED8	# 滘 -- 311,366
0xC9F7	0x6EEB	# 滫 -- 311,367
0xC9F8	0x6F37	# 漷 -- 311,370
0xC9F9	0x6EEE	# 滮 -- 311,371
0xC9FA	0x6EFA	# 滺 -- 311,372
0xC9FB	0x6F30	# 漰 -- 311,373
0xC9FC	0x6F4C	# 潌 -- 311,374
0xC9FD	0x6F0E	# 漎 -- 311,375
0xC9FE	0x6F0A	# 漊 -- 311,376
