
#   "312" UNIHAN

0xCA21	0x6F4F	# 潏 -- 312,041
0xCA22	0x6F5D	# 潝 -- 312,042
0xCA23	0x6F60	# 潠 -- 312,043
0xCA24	0x6F48	# 潈 -- 312,044
0xCA25	0x6F7E	# 潾 -- 312,045
0xCA26	0x6FB0	# 澰 -- 312,046
0xCA27	0x6FB4	# 澴 -- 312,047
0xCA28	0x6FC8	# 濈 -- 312,050
0xCA29	0x6F0B	# 漋 -- 312,051
0xCA2A	0x6FAC	# 澬 -- 312,052
0xCA2B	0x6FDA	# 濚 -- 312,053
0xCA2C	0x6FD9	# 濙 -- 312,054
0xCA2D	0x700C	# 瀌 -- 312,055
0xCA2E	0x7020	# 瀠 -- 312,056
0xCA2F	0x701E	# 瀞 -- 312,057
0xCA30	0x7035	# 瀵 -- 312,060
0xCA31	0x7044	# 灄 -- 312,061
0xCA32	0x7065	# 灥 -- 312,062
0xCA33	0x707A	# 灺 -- 312,063
0xCA34	0x70D3	# 烓 -- 312,064
0xCA35	0x70D5	# 烕 -- 312,065
0xCA36	0x712B	# 焫 -- 312,066
0xCA37	0x70F3	# 烳 -- 312,067
0xCA38	0x713B	# 焻 -- 312,070
0xCA39	0x7134	# 焴 -- 312,071
0xCA3A	0x7143	# 煃 -- 312,072
0xCA3B	0x715D	# 煝 -- 312,073
0xCA3C	0x7150	# 煐 -- 312,074
0xCA3D	0x715F	# 煟 -- 312,075
0xCA3E	0x71CF	# 燏 -- 312,076
0xCA3F	0x714F	# 煏 -- 312,077
0xCA40	0x7180	# 熀 -- 312,100
0xCA41	0x7187	# 熇 -- 312,101
0xCA42	0x71B2	# 熲 -- 312,102
0xCA43	0x71B3	# 熳 -- 312,103
0xCA44	0x71C0	# 燀 -- 312,104
0xCA45	0x71C2	# 燂 -- 312,105
0xCA46	0x71CB	# 燋 -- 312,106
0xCA47	0x71E1	# 燡 -- 312,107
0xCA48	0x71EB	# 燫 -- 312,110
0xCA49	0x722E	# 爮 -- 312,111
0xCA4A	0x7241	# 牁 -- 312,112
0xCA4B	0x7273	# 牳 -- 312,113
0xCA4C	0x7276	# 牶 -- 312,114
0xCA4D	0x7286	# 犆 -- 312,115
0xCA4E	0x7294	# 犔 -- 312,116
0xCA4F	0x72B5	# 犵 -- 312,117
0xCA50	0x72BA	# 犺 -- 312,120
0xCA51	0x72D8	# 狘 -- 312,121
0xCA52	0x730B	# 猋 -- 312,122
0xCA53	0x7306	# 猆 -- 312,123
0xCA54	0x7308	# 猈 -- 312,124
0xCA55	0x7332	# 猲 -- 312,125
0xCA56	0x7340	# 獀 -- 312,126
0xCA57	0x735D	# 獝 -- 312,127
0xCA58	0x7373	# 獳 -- 312,130
0xCA59	0x7380	# 玀 -- 312,131
0xCA5A	0x7397	# 玗 -- 312,132
0xCA5B	0x7394	# 玔 -- 312,133
