
#   "313" UNIHAN

0xCB21	0x7B32	# 笲 -- 313,041
0xCB22	0x7B4E	# 筎 -- 313,042
0xCB23	0x7B73	# 筳 -- 313,043
0xCB24	0x7B64	# 筤 -- 313,044
0xCB25	0x7B99	# 箙 -- 313,045
0xCB26	0x7B82	# 箂 -- 313,046
0xCB27	0x7B8A	# 箊 -- 313,047
0xCB28	0x574C	# 坌 -- 313,050
0xCB29	0x7D9E	# 綞 -- 313,051
0xCB2A	0x7C06	# 簆 -- 313,052
0xCB2B	0x7BF9	# 篹 -- 313,053
0xCB2C	0x7BF0	# 篰 -- 313,054
0xCB2D	0x7C1A	# 簚 -- 313,055
0xCB2E	0x7C1C	# 簜 -- 313,056
0xCB2F	0x7C25	# 簥 -- 313,057
0xCB30	0x7C28	# 簨 -- 313,060
0xCB31	0x7C39	# 簹 -- 313,061
0xCB32	0x7C32	# 簲 -- 313,062
0xCB33	0x7C35	# 簵 -- 313,063
0xCB34	0x7C4A	# 籊 -- 313,064
0xCB35	0x7C53	# 籓 -- 313,065
0xCB36	0x7C5A	# 籚 -- 313,066
0xCB37	0x7C63	# 籣 -- 313,067
0xCB38	0x7C6D	# 籭 -- 313,070
0xCB39	0x7C6B	# 籫 -- 313,071
0xCB3A	0x7C6F	# 籯 -- 313,072
0xCB3B	0x7CBB	# 粻 -- 313,073
0xCB3C	0x7CD4	# 糔 -- 313,074
0xCB3D	0x7CE6	# 糦 -- 313,075
0xCB3E	0x7CF1	# 糱 -- 313,076
0xCB3F	0x7D11	# 紑 -- 313,077
0xCB40	0x7D16	# 紖 -- 313,100
0xCB41	0x7D0F	# 紏 -- 313,101
0xCB42	0x7D1E	# 紞 -- 313,102
0xCB43	0x7D41	# 絁 -- 313,103
0xCB44	0x7D8E	# 綎 -- 313,104
0xCB45	0x7DAA	# 綪 -- 313,105
0xCB46	0x7DC4	# 緄 -- 313,106
0xCB47	0x7DCC	# 緌 -- 313,107
0xCB48	0x7DCE	# 緎 -- 313,110
0xCB49	0x7DF1	# 緱 -- 313,111
0xCB4A	0x7DF0	# 緰 -- 313,112
0xCB4B	0x7DF6	# 緶 -- 313,113
0xCB4C	0x7E07	# 縇 -- 313,114
0xCB4D	0x7DD3	# 緓 -- 313,115
0xCB4E	0x7DF5	# 緵 -- 313,116
0xCB4F	0x7E3F	# 縿 -- 313,117
0xCB50	0x7E30	# 縰 -- 313,120
0xCB51	0x7E58	# 繘 -- 313,121
0xCB52	0x7E48	# 繈 -- 313,122
0xCB53	0x7E95	# 纕 -- 313,123
0xCB54	0x7E99	# 纙 -- 313,124
0xCB55	0x7E9A	# 纚 -- 313,125
0xCB56	0x7F41	# 罁 -- 313,126
0xCB57	0x7F5B	# 罛 -- 313,127
0xCB58	0x7F66	# 罦 -- 313,130
0xCB59	0x7F7B	# 罻 -- 313,131
0xCB5A	0x6438	# 搸 -- 313,132
0xCB5B	0x7F7F	# 罿 -- 313,133
0xCB5C	0x7F9C	# 羜 -- 313,134
0xCB5D	0x7FAD	# 羭 -- 313,135
0xCB5E	0x7FB1	# 羱 -- 313,136
0xCB5F	0x7FB5	# 羵 -- 313,137
0xCB60	0x7FBE	# 羾 -- 313,140
0xCB61	0x7FC0	# 翀 -- 313,141
0xCB62	0x801E	# 耞 -- 313,142
0xCB63	0x802F	# 耯 -- 313,143
0xCB64	0x805D	# 聝 -- 313,144
0xCB65	0x809C	# 肜 -- 313,145
0xCB66	0x80B5	# 肵 -- 313,146
0xCB67	0x80CD	# 胍 -- 313,147
0xCB68	0x80DF	# 胟 -- 313,150
0xCB69	0x8104	# 脄 -- 313,151
0xCB6A	0x8121	# 脡 -- 313,152
