
#   "314" UNIHAN

0xCC21	0x7524	# 甤 -- 314,041
0xCC22	0x8C77	# 豷 -- 314,042
0xCC23	0x8C9C	# 貜 -- 314,043
0xCC24	0x8CDF	# 賟 -- 314,044
0xCC25	0x8DA1	# 趡 -- 314,045
0xCC26	0x8DA6	# 趦 -- 314,046
0xCC27	0x8DAB	# 趫 -- 314,047
0xCC28	0x8DC1	# 跁 -- 314,050
0xCC29	0x8DB9	# 趹 -- 314,051
0xCC2A	0x8DD5	# 跕 -- 314,052
0xCC2B	0x8DF2	# 跲 -- 314,053
0xCC2C	0x8DE6	# 跦 -- 314,054
0xCC2D	0x8DE7	# 跧 -- 314,055
0xCC2E	0x8DF1	# 跱 -- 314,056
0xCC2F	0x8E21	# 踡 -- 314,057
0xCC30	0x8E46	# 蹆 -- 314,060
0xCC31	0x8E5C	# 蹜 -- 314,061
0xCC32	0x8E5A	# 蹚 -- 314,062
0xCC33	0x8E77	# 蹷 -- 314,063
0xCC34	0x8E97	# 躗 -- 314,064
0xCC35	0x8E92	# 躒 -- 314,065
0xCC36	0x8E98	# 躘 -- 314,066
0xCC37	0x8EC3	# 軃 -- 314,067
0xCC38	0x8ED8	# 軘 -- 314,070
0xCC39	0x8EDC	# 軜 -- 314,071
0xCC3A	0x8EDD	# 軝 -- 314,072
0xCC3B	0x8EE5	# 軥 -- 314,073
0xCC3C	0x8EE8	# 軨 -- 314,074
0xCC3D	0x8EF7	# 軷 -- 314,075
0xCC3E	0x8F25	# 輥 -- 314,076
0xCC3F	0x8F39	# 輹 -- 314,077
0xCC40	0x8F34	# 輴 -- 314,100
0xCC41	0x8F4A	# 轊 -- 314,101
0xCC42	0x8F51	# 轑 -- 314,102
0xCC43	0x8F58	# 轘 -- 314,103
0xCC44	0x9034	# 逴 -- 314,104
0xCC45	0x906B	# 遫 -- 314,105
0xCC46	0x9070	# 遰 -- 314,106
0xCC47	0x90A7	# 邧 -- 314,107
0xCC48	0x90BF	# 邿 -- 314,110
0xCC49	0x90C8	# 郈 -- 314,111
0xCC4A	0x90DA	# 郚 -- 314,112
0xCC4B	0x90D9	# 郙 -- 314,113
0xCC4C	0x90D4	# 郔 -- 314,114
0xCC4D	0x9107	# 鄇 -- 314,115
0xCC4E	0x9108	# 鄈 -- 314,116
0xCC4F	0x910D	# 鄍 -- 314,117
0xCC50	0x910E	# 鄎 -- 314,120
0xCC51	0x910F	# 鄏 -- 314,121
0xCC52	0x9110	# 鄐 -- 314,122
0xCC53	0x9111	# 鄑 -- 314,123
0xCC54	0x9117	# 鄗 -- 314,124
0xCC55	0x9124	# 鄤 -- 314,125
0xCC56	0x9129	# 鄩 -- 314,126
0xCC57	0x912C	# 鄬 -- 314,127
0xCC58	0x911A	# 鄚 -- 314,130
0xCC59	0x913E	# 鄾 -- 314,131
0xCC5A	0x9145	# 酅 -- 314,132
0xCC5B	0x9147	# 酇 -- 314,133
0xCC5C	0x914F	# 酏 -- 314,134
0xCC5D	0x91A1	# 醡 -- 314,135
0xCC5E	0x919D	# 醝 -- 314,136
0xCC5F	0x91B2	# 醲 -- 314,137
0xCC60	0x91B9	# 醹 -- 314,140
0xCC61	0x91D9	# 釙 -- 314,141
0xCC62	0x91EC	# 釬 -- 314,142
0xCC63	0x91ED	# 釭 -- 314,143
0xCC64	0x920A	# 鈊 -- 314,144
0xCC65	0x9203	# 鈃 -- 314,145
0xCC66	0x9204	# 鈄 -- 314,146
0xCC67	0x924C	# 鉌 -- 314,147
0xCC68	0x9265	# 鉥 -- 314,150
0xCC69	0x924E	# 鉎 -- 314,151
0xCC6A	0x9241	# 鉁 -- 314,152
0xCC6B	0x9288	# 銈 -- 314,153
0xCC6C	0x9277	# 鉷 -- 314,154
0xCC6D	0x928E	# 銎 -- 314,155
0xCC6E	0x92C2	# 鋂 -- 314,156
0xCC6F	0x92D5	# 鋕 -- 314,157
0xCC70	0x92DD	# 鋝 -- 314,160
0xCC71	0x92B6	# 銶 -- 314,161
0xCC72	0x92CC	# 鋌 -- 314,162
0xCC73	0x92D8	# 鋘 -- 314,163
0xCC74	0x92D9	# 鋙 -- 314,164
0xCC75	0x932A	# 錪 -- 314,165
0xCC76	0x9301	# 錁 -- 314,166
0xCC77	0x9306	# 錆 -- 314,167
0xCC78	0x931F	# 錟 -- 314,170
0xCC79	0x9302	# 錂 -- 314,171
0xCC7A	0x9314	# 錔 -- 314,172
0xCC7B	0x9316	# 錖 -- 314,173
0xCC7C	0x930F	# 錏 -- 314,174
0xCC7D	0x9348	# 鍈 -- 314,175
0xCC7E	0x9379	# 鍹 -- 314,176
0xCCA1	0x9347	# 鍇 -- 314,241
0xCCA2	0x93A4	# 鎤 -- 314,242
0xCCA3	0x93A3	# 鎣 -- 314,243
0xCCA4	0x938F	# 鎏 -- 314,244
0xCCA5	0x93DA	# 鏚 -- 314,245
0xCCA6	0x93DB	# 鏛 -- 314,246
0xCCA7	0x9404	# 鐄 -- 314,247
0xCCA8	0x940F	# 鐏 -- 314,250
0xCCA9	0x9409	# 鐉 -- 314,251
0xCCAA	0x9413	# 鐓 -- 314,252
0xCCAB	0x93FB	# 鏻 -- 314,253
0xCCAC	0x943B	# 鐻 -- 314,254
0xCCAD	0x944C	# 鑌 -- 314,255
0xCCAE	0x9462	# 鑢 -- 314,256
