
#   "315" UNIHAN

0xCD21	0x9E87	# 麇 -- 315,041
0xCD22	0x9E9B	# 麛 -- 315,042
0xCD23	0x9E9A	# 麚 -- 315,043
0xCD24	0x9EA2	# 麢 -- 315,044
0xCD25	0x9EB0	# 麰 -- 315,045
0xCD26	0x9ED0	# 黐 -- 315,046
0xCD27	0x9EEE	# 黮 -- 315,047
0xCD28	0x9EF0	# 黰 -- 315,050
0xCD29	0x9F0F	# 鼏 -- 315,051
0xCD2A	0x9F2A	# 鼪 -- 315,052
0xCD2B	0x9F76	# 齶 -- 315,053
0xCD2C	0x9FA1	# 龡 -- 315,054
0xCD2D	0x4E99	# 亙 -- 315,055
0xCD2E	0x4EC9	# 仉 -- 315,056
0xCD2F	0x50E9	# 僩 -- 315,057
0xCD30	0x52E6	# 勦 -- 315,060
0xCD31	0x52FA	# 勺 -- 315,061
0xCD32	0x535E	# 卞 -- 315,062
0xCD33	0x538E	# 厎 -- 315,063
0xCD34	0x8A01	# 訁 -- 315,064
0xCD35	0x546D	# 呭 -- 315,065
0xCD36	0x5602	# 嘂 -- 315,066
0xCD37	0x5629	# 嘩 -- 315,067
0xCD38	0x9D77	# 鵷 -- 315,070
0xCD39	0x57F6	# 埶 -- 315,071
0xCD3A	0x5803	# 堃 -- 315,072
0xCD3B	0x7CBF	# 粿 -- 315,073
0xCD3C	0x58FC	# 壼 -- 315,074
0xCD3D	0x5906	# 夆 -- 315,075
0xCD3E	0x9BDB	# 鯛 -- 315,076
0xCD3F	0x746D	# 瑭 -- 315,077
0xCD40	0x5940	# 奀 -- 315,100
0xCD41	0x583D	# 堽 -- 315,101
0xCD42	0x68A5	# 梥 -- 315,102
0xCD43	0x5BD4	# 寔 -- 315,103
0xCD44	0x5BCE	# 寎 -- 315,104
0xCD45	0x548F	# 咏 -- 315,105
0xCD46	0x5768	# 坨 -- 315,106
0xCD47	0x5D17	# 崗 -- 315,107
0xCD48	0x5CD3	# 峓 -- 315,110
0xCD49	0x5CE2	# 峢 -- 315,111
0xCD4A	0x543D	# 吽 -- 315,112
0xCD4B	0x6CF5	# 泵 -- 315,113
0xCD4C	0x5D6F	# 嵯 -- 315,114
0xCD4D	0x5DD6	# 巖 -- 315,115
0xCD4E	0x5D97	# 嶗 -- 315,116
0xCD4F	0x6D3A	# 洺 -- 315,117
0xCD50	0x5E76	# 并 -- 315,120
0xCD51	0x5EAC	# 庬 -- 315,121
0xCD52	0x5EB4	# 庴 -- 315,122
0xCD53	0x5F0D	# 弍 -- 315,123
0xCD54	0x5F14	# 弔 -- 315,124
0xCD55	0x5F23	# 弣 -- 315,125
0xCD56	0x9398	# 鎘 -- 315,126
0xCD57	0x5F73	# 彳 -- 315,127
0xCD58	0x5FFB	# 忻 -- 315,130
0xCD59	0x6008	# 怈 -- 315,131
0xCD5A	0x91E9	# 釩 -- 315,132
0xCD5B	0x92F0	# 鋰 -- 315,133
0xCD5C	0x6144	# 慄 -- 315,134
0xCD5D	0x6146	# 慆 -- 315,135
0xCD5E	0x926C	# 鉬 -- 315,136
0xCD5F	0x61FD	# 懽 -- 315,137
0xCD60	0x92C3	# 鋃 -- 315,140
0xCD61	0x82E2	# 苢 -- 315,141
0xCD62	0x6394	# 掔 -- 315,142
0xCD63	0x6474	# 摴 -- 315,143
0xCD64	0x64ED	# 擭 -- 315,144
0xCD65	0x9237	# 鈷 -- 315,145
0xCD66	0x65F4	# 旴 -- 315,146
0xCD67	0x671E	# 朞 -- 315,147
0xCD68	0x6746	# 杆 -- 315,150
0xCD69	0x6757	# 杗 -- 315,151
0xCD6A	0x9D7B	# 鵻 -- 315,152
0xCD6B	0x6799	# 枙 -- 315,153
0xCD6C	0x67DC	# 柜 -- 315,154
0xCD6D	0x67EE	# 柮 -- 315,155
0xCD6E	0x68F9	# 棹 -- 315,156
0xCD6F	0x69A6	# 榦 -- 315,157
0xCD70	0x6A11	# 樑 -- 315,160
0xCD71	0x6A67	# 橧 -- 315,161
0xCD72	0x6A9F	# 檟 -- 315,162
0xCD73	0x6AF1	# 櫱 -- 315,163
0xCD74	0x6B39	# 欹 -- 315,164
0xCD75	0x6BB3	# 殳 -- 315,165
0xCD76	0x6BE7	# 毧 -- 315,166
0xCD77	0x6C02	# 氂 -- 315,167
0xCD78	0x9DEB	# 鷫 -- 315,170
0xCD79	0x4E7E	# 乾 -- 315,171
0xCD7A	0x6CC4	# 泄 -- 315,172
0xCD7B	0x76CC	# 盌 -- 315,173
0xCD7C	0x6DE9	# 淩 -- 315,174
0xCD7D	0x6E71	# 湱 -- 315,175
0xCD7E	0x6E9B	# 溛 -- 315,176
0xCDA1	0x7F40	# 罀 -- 315,241
0xCDA2	0x6EA4	# 溤 -- 315,242
0xCDA3	0x6F9D	# 澝 -- 315,243
0xCDA4	0x6F5F	# 潟 -- 315,244
0xCDA5	0x6FC6	# 濆 -- 315,245
0xCDA6	0x6FC2	# 濂 -- 315,246
0xCDA7	0x6FD4	# 濔 -- 315,247
0xCDA8	0x7060	# 灠 -- 315,250
0xCDA9	0x9927	# 餧 -- 315,251
0xCDAA	0x7049	# 灉 -- 315,252
0xCDAB	0x8E2A	# 踪 -- 315,253
0xCDAC	0x6D12	# 洒 -- 315,254
0xCDAD	0x70AE	# 炮 -- 315,255
0xCDAE	0x70A7	# 炧 -- 315,256
0xCDAF	0x711E	# 焞 -- 315,257
0xCDB0	0x7145	# 煅 -- 315,260
0xCDB1	0x7995	# 禕 -- 315,261
0xCDB2	0x741A	# 琚 -- 315,262
0xCDB3	0x7432	# 琲 -- 315,263
0xCDB4	0x7440	# 瑀 -- 315,264
0xCDB5	0x91D2	# 釒 -- 315,265
0xCDB6	0x74A1	# 璡 -- 315,266
0xCDB7	0x7507	# 甇 -- 315,267
0xCDB8	0x7514	# 甔 -- 315,270
0xCDB9	0x74E9	# 瓩 -- 315,271
0xCDBA	0x754E	# 畎 -- 315,272
0xCDBB	0x758E	# 疎 -- 315,273
0xCDBC	0x759E	# 疞 -- 315,274
0xCDBD	0x7595	# 疕 -- 315,275
0xCDBE	0x75A7	# 疧 -- 315,276
0xCDBF	0x75CC	# 痌 -- 315,277
0xCDC0	0x7610	# 瘐 -- 315,300
0xCDC1	0x7628	# 瘨 -- 315,301
0xCDC2	0x7651	# 癑 -- 315,302
0xCDC3	0x7699	# 皙 -- 315,303
0xCDC4	0x76AA	# 皪 -- 315,304
0xCDC5	0x76F0	# 盰 -- 315,305
0xCDC6	0x771B	# 眛 -- 315,306
0xCDC7	0x9F34	# 鼴 -- 315,307
0xCDC8	0x7739	# 眹 -- 315,310
0xCDC9	0x77B6	# 瞶 -- 315,311
0xCDCA	0x77FC	# 矼 -- 315,312
0xCDCB	0x782E	# 砮 -- 315,313
0xCDCC	0x7934	# 礴 -- 315,314
0xCDCD	0x78B1	# 碱 -- 315,315
0xCDCE	0x79A1	# 禡 -- 315,316
0xCDCF	0x799D	# 禝 -- 315,317
0xCDD0	0x79BB	# 离 -- 315,320
0xCDD1	0x79C8	# 秈 -- 315,321
0xCDD2	0x9B4B	# 魋 -- 315,322
0xCDD3	0x7A8A	# 窊 -- 315,323
0xCDD4	0x7ADD	# 竝 -- 315,324
0xCDD5	0x7B72	# 筲 -- 315,325
0xCDD6	0x7B9B	# 箛 -- 315,326
0xCDD7	0x7B98	# 箘 -- 315,327
