
#   "316" UNIHAN

0xCE21	0x84CC	# 蓌 -- 316,041
0xCE22	0x84CF	# 蓏 -- 316,042
0xCE23	0x851F	# 蔟 -- 316,043
0xCE24	0x8581	# 薁 -- 316,044
0xCE25	0x8578	# 蕸 -- 316,045
0xCE26	0x85BD	# 薽 -- 316,046
0xCE27	0x85C4	# 藄 -- 316,047
0xCE28	0x853F	# 蔿 -- 316,050
0xCE29	0x8628	# 蘨 -- 316,051
0xCE2A	0x86A7	# 蚧 -- 316,052
0xCE2B	0x875D	# 蝝 -- 316,053
0xCE2C	0x8803	# 蠃 -- 316,054
0xCE2D	0x890E	# 褎 -- 316,055
0xCE2E	0x894C	# 襌 -- 316,056
0xCE2F	0x896B	# 襫 -- 316,057
0xCE30	0x8AAF	# 誯 -- 316,060
0xCE31	0x8C3F	# 谿 -- 316,061
0xCE32	0x8CDD	# 賝 -- 316,062
0xCE33	0x8C8D	# 貍 -- 316,063
0xCE34	0x8CF5	# 賵 -- 316,064
0xCE35	0x8CF8	# 賸 -- 316,065
0xCE36	0x8D11	# 贑 -- 316,066
0xCE37	0x8E5F	# 蹟 -- 316,067
0xCE38	0x8E5D	# 蹝 -- 316,070
0xCE39	0x9C6E	# 鱮 -- 316,071
0xCE3A	0x9A22	# 騢 -- 316,072
0xCE3B	0x9BBF	# 鮿 -- 316,073
0xCE3C	0x9BC8	# 鯈 -- 316,074
0xCE3D	0x8F4F	# 轏 -- 316,075
0xCE3E	0x8F52	# 轒 -- 316,076
0xCE3F	0x8F5E	# 轞 -- 316,077
0xCE40	0x8FF8	# 迸 -- 316,100
0xCE41	0x8FF9	# 迹 -- 316,101
0xCE42	0x8FFA	# 迺 -- 316,102
0xCE43	0x9083	# 邃 -- 316,103
0xCE44	0x9CF7	# 鳷 -- 316,104
0xCE45	0x8677	# 虷 -- 316,105
0xCE46	0x90E4	# 郤 -- 316,106
0xCE47	0x913F	# 鄿 -- 316,107
0xCE48	0x91A9	# 醩 -- 316,110
0xCE49	0x91BD	# 醽 -- 316,111
0xCE4A	0x92EA	# 鋪 -- 316,112
0xCE4B	0x9319	# 錙 -- 316,113
0xCE4C	0x5571	# 啱 -- 316,114
0xCE4D	0x939E	# 鎞 -- 316,115
0xCE4E	0x93E6	# 鏦 -- 316,116
0xCE4F	0x93F5	# 鏵 -- 316,117
0xCE50	0x72E8	# 狨 -- 316,120
0xCE51	0x9429	# 鐩 -- 316,121
0xCE52	0x86B5	# 蚵 -- 316,122
0xCE53	0x9C67	# 鱧 -- 316,123
0xCE54	0x95D4	# 闔 -- 316,124
0xCE55	0x74C0	# 瓀 -- 316,125
0xCE56	0x967C	# 陼 -- 316,126
0xCE57	0x5481	# 咁 -- 316,127
0xCE58	0x96B9	# 隹 -- 316,130
0xCE59	0x9722	# 霢 -- 316,131
0xCE5A	0x9731	# 霱 -- 316,132
0xCE5B	0x9780	# 鞀 -- 316,133
0xCE5C	0x9797	# 鞗 -- 316,134
0xCE5D	0x9799	# 鞙 -- 316,135
0xCE5E	0x97ED	# 韭 -- 316,136
0xCE5F	0x97F1	# 韱 -- 316,137
0xCE60	0x9C10	# 鰐 -- 316,140
0xCE61	0x985C	# 顜 -- 316,141
0xCE62	0x9C09	# 鰉 -- 316,142
0xCE63	0x98C6	# 飆 -- 316,143
0xCE64	0x990B	# 餋 -- 316,144
0xCE65	0x9C50	# 鱐 -- 316,145
0xCE66	0x9A48	# 驈 -- 316,146
0xCE67	0x9A4C	# 驌 -- 316,147
0xCE68	0x9A52	# 驒 -- 316,150
0xCE69	0x9AC6	# 髆 -- 316,151
0xCE6A	0x9AE3	# 髣 -- 316,152
