
#   "317" UNIHAN

0xCF21	0x8434	# 萴 -- 317,041
0xCF22	0x8509	# 蔉 -- 317,042
0xCF23	0x85D8	# 藘 -- 317,043
0xCF24	0x863A	# 蘺 -- 317,044
0xCF25	0x8652	# 虒 -- 317,045
0xCF26	0x86A0	# 蚠 -- 317,046
0xCF27	0x8711	# 蜑 -- 317,047
0xCF28	0x89DC	# 觜 -- 317,050
0xCF29	0x8A83	# 誃 -- 317,051
0xCF2A	0x8518	# 蔘 -- 317,052
0xCF2B	0x8C40	# 豀 -- 317,053
0xCF2C	0x8CE9	# 賩 -- 317,054
0xCF2D	0x8DB2	# 趲 -- 317,055
0xCF2E	0x83BF	# 莿 -- 317,056
0xCF2F	0x8F57	# 轗 -- 317,057
0xCF30	0x83CE	# 菎 -- 317,060
0xCF31	0x9004	# 逄 -- 317,061
0xCF32	0x9E02	# 鸂 -- 317,062
0xCF33	0x7551	# 畑 -- 317,063
0xCF34	0x90E0	# 郠 -- 317,064
0xCF35	0x9113	# 鄓 -- 317,065
0xCF36	0x9123	# 鄣 -- 317,066
0xCF37	0x913B	# 鄻 -- 317,067
0xCF38	0x918E	# 醎 -- 317,070
0xCF39	0x9191	# 醑 -- 317,071
0xCF3A	0x91C3	# 釃 -- 317,072
0xCF3B	0x9239	# 鈹 -- 317,073
0xCF3C	0x927C	# 鉼 -- 317,074
0xCF3D	0x9329	# 錩 -- 317,075
0xCF3E	0x93A9	# 鎩 -- 317,076
0xCF3F	0x93C7	# 鏇 -- 317,077
0xCF40	0x9414	# 鐔 -- 317,100
0xCF41	0x92C6	# 鋆 -- 317,101
0xCF42	0x9201	# 鈁 -- 317,102
0xCF43	0x95BF	# 閿 -- 317,103
0xCF44	0x967E	# 陾 -- 317,104
0xCF45	0x96C3	# 雃 -- 317,105
0xCF46	0x9719	# 霙 -- 317,106
0xCF47	0x93CA	# 鏊 -- 317,107
0xCF48	0x9723	# 霣 -- 317,110
0xCF49	0x9702	# 霂 -- 317,111
0xCF4A	0x9783	# 鞃 -- 317,112
0xCF4B	0x97A8	# 鞨 -- 317,113
0xCF4C	0x97C5	# 韅 -- 317,114
0xCF4D	0x97E1	# 韡 -- 317,115
0xCF4E	0x981C	# 頜 -- 317,116
0xCF4F	0x9820	# 頠 -- 317,117
0xCF50	0x982F	# 頯 -- 317,120
0xCF51	0x9857	# 顗 -- 317,121
0xCF52	0x9852	# 顒 -- 317,122
0xCF53	0x992A	# 餪 -- 317,123
0xCF54	0x9958	# 饘 -- 317,124
0xCF55	0x99B5	# 馵 -- 317,125
0xCF56	0x99D4	# 駔 -- 317,126
0xCF57	0x99F4	# 駴 -- 317,127
0xCF58	0x9A09	# 騉 -- 317,130
0xCF59	0x5773	# 坳 -- 317,131
0xCF5A	0x7942	# 祂 -- 317,132
0xCF5B	0x6086	# 悆 -- 317,133
0xCF5C	0x6733	# 朳 -- 317,134
0xCF5D	0x692A	# 椪 -- 317,135
0xCF5E	0x6AA8	# 檨 -- 317,136
0xCF5F	0x6B09	# 欉 -- 317,137
0xCF60	0x5187	# 冇 -- 317,140
0xCF61	0x5B6C	# 孬 -- 317,141
0xCF62	0x54CB	# 哋 -- 317,142
0xCF63	0x4E47	# 乇 -- 317,143
0xCF64	0x56DF	# 囟 -- 317,144
0xCF65	0x777E	# 睾 -- 317,145
0xCF66	0x4EEB	# 仫 -- 317,146
0xCF67	0x4F22	# 伢 -- 317,147
0xCF68	0x4F62	# 佢 -- 317,150
0xCF69	0x4F64	# 佤 -- 317,151
0xCF6A	0x4F67	# 佧 -- 317,152
0xCF6B	0x4F5D	# 佝 -- 317,153
0xCF6C	0x4F32	# 伲 -- 317,154
0xCF6D	0x565D	# 噝 -- 317,155
0xCF6E	0x50A3	# 傣 -- 317,156
0xCF6F	0x5088	# 傈 -- 317,157
0xCF70	0x50F3	# 僳 -- 317,160
0xCF71	0x50EF	# 僯 -- 317,161
0xCF72	0x7572	# 畲 -- 317,162
0xCF73	0x4F61	# 佡 -- 317,163
0xCF74	0x4E0F	# 丏 -- 317,164
0xCF75	0x52D0	# 勐 -- 317,165
0xCF76	0x51AE	# 冮 -- 317,166
0xCF77	0x53B4	# 厴 -- 317,167
0xCF78	0x535F	# 卟 -- 317,170
0xCF79	0x53FC	# 叼 -- 317,171
0xCF7A	0x5416	# 吖 -- 317,172
0xCF7B	0x5454	# 呔 -- 317,173
0xCF7C	0x5423	# 吣 -- 317,174
0xCF7D	0x5432	# 吲 -- 317,175
0xCF7E	0x5487	# 咇 -- 317,176
0xCFA1	0x5494	# 咔 -- 317,241
0xCFA2	0x5421	# 吡 -- 317,242
0xCFA3	0x5464	# 呤 -- 317,243
0xCFA4	0x7076	# 灶 -- 317,244
0xCFA5	0x54D0	# 哐 -- 317,245
0xCFA6	0x54B4	# 咴 -- 317,246
0xCFA7	0x54A3	# 咣 -- 317,247
0xCFA8	0x54CC	# 哌 -- 317,250
0xCFA9	0x54DA	# 哚 -- 317,251
0xCFAA	0x54DE	# 哞 -- 317,252
0xCFAB	0x54E7	# 哧 -- 317,253
0xCFAC	0x54F3	# 哳 -- 317,254
0xCFAD	0x5523	# 唣 -- 317,255
0xCFAE	0x5511	# 唑 -- 317,256
0xCFAF	0x55BA	# 喺 -- 317,257
0xCFB0	0x5572	# 啲 -- 317,260
0xCFB1	0x5549	# 啉 -- 317,261
0xCFB2	0x554C	# 啌 -- 317,262
0xCFB3	0x5540	# 啀 -- 317,263
0xCFB4	0x553F	# 唿 -- 317,264
0xCFB5	0x5575	# 啵 -- 317,265
0xCFB6	0x5576	# 啶 -- 317,266
0xCFB7	0x5577	# 啷 -- 317,267
0xCFB8	0x5530	# 唰 -- 317,270
0xCFB9	0x55B1	# 喱 -- 317,271
0xCFBA	0x55B9	# 喹 -- 317,272
0xCFBB	0x55D6	# 嗖 -- 317,273
0xCFBC	0x55E9	# 嗩 -- 317,274
0xCFBD	0x55EA	# 嗪 -- 317,275
0xCFBE	0x55F2	# 嗲 -- 317,276
0xCFBF	0x55CC	# 嗌 -- 317,277
0xCFC0	0x55CD	# 嗍 -- 317,300
0xCFC1	0x55EC	# 嗬 -- 317,301
0xCFC2	0x55F5	# 嗵 -- 317,302
0xCFC3	0x561E	# 嘞 -- 317,303
0xCFC4	0x5601	# 嘁 -- 317,304
0xCFC5	0x5623	# 嘣 -- 317,305
0xCFC6	0x5627	# 嘧 -- 317,306
0xCFC7	0x5600	# 嘀 -- 317,307
0xCFC8	0x5657	# 噗 -- 317,310
0xCFC9	0x562D	# 嘭 -- 317,311
0xCFCA	0x5654	# 噔 -- 317,312
0xCFCB	0x567B	# 噻 -- 317,313
0xCFCC	0x5693	# 嚓 -- 317,314
0xCFCD	0x5641	# 噁 -- 317,315
0xCFCE	0x56AF	# 嚯 -- 317,316
0xCFCF	0x56D4	# 囔 -- 317,317
0xCFD0	0x572A	# 圪 -- 317,320
0xCFD1	0x5776	# 坶 -- 317,321
0xCFD2	0x57A1	# 垡 -- 317,322
0xCFD3	0x57A7	# 垧 -- 317,323
0xCFD4	0x57EF	# 埯 -- 317,324
0xCFD5	0x5816	# 堖 -- 317,325
0xCFD6	0x5844	# 塄 -- 317,326
0xCFD7	0x57E1	# 埡 -- 317,327
0xCFD8	0x583A	# 堺 -- 317,330
0xCFD9	0x5859	# 塙 -- 317,331
0xCFDA	0x586C	# 塬 -- 317,332
0xCFDB	0x5892	# 墒 -- 317,333
0xCFDC	0x589A	# 墚 -- 317,334
0xCFDD	0x58BC	# 墼 -- 317,335
0xCFDE	0x58E0	# 壠 -- 317,336
0xCFDF	0x8037	# 耷 -- 317,337
0xCFE0	0x5A67	# 婧 -- 317,340
0xCFE1	0x80EC	# 胬 -- 317,341
0xCFE2	0x5B62	# 孢 -- 317,342
