
#   "320" UNIHAN

0xD021	0x630C	# 挌 -- 320,041
0xD022	0x6342	# 捂 -- 320,042
0xD023	0x6345	# 捅 -- 320,043
0xD024	0x63C3	# 揃 -- 320,044
0xD025	0x63DE	# 揞 -- 320,045
0xD026	0x889C	# 袜 -- 320,046
0xD027	0x640B	# 搋 -- 320,047
0xD028	0x641B	# 搛 -- 320,050
0xD029	0x6482	# 撂 -- 320,051
0xD02A	0x645E	# 摞 -- 320,052
0xD02B	0x649F	# 撟 -- 320,053
0xD02C	0x64B3	# 撳 -- 320,054
0xD02D	0x6496	# 撖 -- 320,055
0xD02E	0x64C0	# 擀 -- 320,056
0xD02F	0x64E4	# 擤 -- 320,057
0xD030	0x64FC	# 擼 -- 320,060
0xD031	0x6509	# 攉 -- 320,061
0xD032	0x652E	# 攮 -- 320,062
0xD033	0x5507	# 唇 -- 320,063
0xD034	0x6657	# 晗 -- 320,064
0xD035	0x809F	# 肟 -- 320,065
0xD036	0x80BC	# 肼 -- 320,066
0xD037	0x670A	# 朊 -- 320,067
0xD038	0x80B7	# 肷 -- 320,070
0xD039	0x80E9	# 胩 -- 320,071
0xD03A	0x80C2	# 胂 -- 320,072
0xD03B	0x810E	# 脎 -- 320,073
0xD03C	0x80F2	# 胲 -- 320,074
0xD03D	0x8132	# 脲 -- 320,075
0xD03E	0x8156	# 腖 -- 320,076
0xD03F	0x8148	# 腈 -- 320,077
0xD040	0x8159	# 腙 -- 320,100
0xD041	0x815A	# 腚 -- 320,101
0xD042	0x8161	# 腡 -- 320,102
0xD043	0x8169	# 腩 -- 320,103
0xD044	0x817C	# 腼 -- 320,104
0xD045	0x8167	# 腧 -- 320,105
0xD046	0x8183	# 膃 -- 320,106
0xD047	0x81A3	# 膣 -- 320,107
0xD048	0x81AA	# 膪 -- 320,110
0xD049	0x81C1	# 臁 -- 320,111
0xD04A	0x81A6	# 膦 -- 320,112
0xD04B	0x67C3	# 柃 -- 320,113
0xD04C	0x6855	# 桕 -- 320,114
0xD04D	0x684A	# 桊 -- 320,115
0xD04E	0x6802	# 栂 -- 320,116
0xD04F	0x6849	# 桉 -- 320,117
0xD050	0x690B	# 椋 -- 320,120
0xD051	0x6908	# 椈 -- 320,121
0xD052	0x68EF	# 棯 -- 320,122
0xD053	0x696A	# 楪 -- 320,123
0xD054	0x6971	# 楱 -- 320,124
0xD055	0x6980	# 榀 -- 320,125
0xD056	0x6934	# 椴 -- 320,126
0xD057	0x69BF	# 榿 -- 320,127
0xD058	0x698D	# 榍 -- 320,130
0xD059	0x69AA	# 榪 -- 320,131
0xD05A	0x69ED	# 槭 -- 320,132
0xD05B	0x6A18	# 樘 -- 320,133
0xD05C	0x69F2	# 槲 -- 320,134
0xD05D	0x5622	# 嘢 -- 320,135
0xD05E	0x6AAB	# 檫 -- 320,136
0xD05F	0x6AE8	# 櫨 -- 320,137
0xD060	0x6AE7	# 櫧 -- 320,140
0xD061	0x6AEB	# 櫫 -- 320,141
0xD062	0x6B0F	# 欏 -- 320,142
0xD063	0x544B	# 呋 -- 320,143
0xD064	0x6BEA	# 毪 -- 320,144
0xD065	0x6C06	# 氆 -- 320,145
0xD066	0x6C0C	# 氌 -- 320,146
0xD067	0x6C15	# 氕 -- 320,147
0xD068	0x6C18	# 氘 -- 320,150
0xD069	0x6C19	# 氙 -- 320,151
0xD06A	0x6C1A	# 氚 -- 320,152
0xD06B	0x6C21	# 氡 -- 320,153
0xD06C	0x6C2A	# 氪 -- 320,154
0xD06D	0x6CB2	# 沲 -- 320,155
0xD06E	0x6CBA	# 沺 -- 320,156
0xD06F	0x6D6F	# 浯 -- 320,157
0xD070	0x6D5E	# 浞 -- 320,160
0xD071	0x6DAB	# 涫 -- 320,161
0xD072	0x6E5E	# 湞 -- 320,162
0xD073	0x6EBB	# 溻 -- 320,163
0xD074	0x6F13	# 漓 -- 320,164
0xD075	0x6F77	# 潷 -- 320,165
0xD076	0x6F72	# 潲 -- 320,166
0xD077	0x6F7F	# 潿 -- 320,167
0xD078	0x6FA9	# 澩 -- 320,170
0xD079	0x7094	# 炔 -- 320,171
0xD07A	0x7096	# 炖 -- 320,172
0xD07B	0x70BB	# 炻 -- 320,173
0xD07C	0x70C0	# 烀 -- 320,174
0xD07D	0x70F4	# 烴 -- 320,175
0xD07E	0x7110	# 焐 -- 320,176
0xD0A1	0x7113	# 焓 -- 320,241
0xD0A2	0x70F7	# 烷 -- 320,242
0xD0A3	0x7173	# 煳 -- 320,243
0xD0A4	0x7172	# 煲 -- 320,244
0xD0A5	0x7178	# 煸 -- 320,245
0xD0A6	0x7197	# 熗 -- 320,246
0xD0A7	0x7198	# 熘 -- 320,247
0xD0A8	0x7193	# 熓 -- 320,250
0xD0A9	0x71B5	# 熵 -- 320,251
0xD0AA	0x55A5	# 喥 -- 320,252
0xD0AB	0x4EC0	# 什 -- 320,253
0xD0AC	0x729F	# 犟 -- 320,254
0xD0AD	0x728B	# 犋 -- 320,255
0xD0AE	0x728F	# 犏 -- 320,256
0xD0AF	0x72B0	# 犰 -- 320,257
0xD0B0	0x72CD	# 狍 -- 320,260
0xD0B1	0x72D2	# 狒 -- 320,261
0xD0B2	0x72F3	# 狳 -- 320,262
0xD0B3	0x7313	# 猓 -- 320,263
0xD0B4	0x7339	# 猹 -- 320,264
0xD0B5	0x732C	# 猬 -- 320,265
0xD0B6	0x7338	# 猸 -- 320,266
0xD0B7	0x7341	# 獁 -- 320,267
0xD0B8	0x6EFB	# 滻 -- 320,270
0xD0B9	0x74F0	# 瓰 -- 320,271
0xD0BA	0x75C4	# 痄 -- 320,272
0xD0BB	0x75B0	# 疰 -- 320,273
0xD0BC	0x75E6	# 痦 -- 320,274
0xD0BD	0x760A	# 瘊 -- 320,275
0xD0BE	0x7619	# 瘙 -- 320,276
0xD0BF	0x761B	# 瘛 -- 320,277
0xD0C0	0x7654	# 癔 -- 320,300
0xD0C1	0x7743	# 睃 -- 320,301
0xD0C2	0x7771	# 睱 -- 320,302
0xD0C3	0x7798	# 瞘 -- 320,303
0xD0C4	0x77BC	# 瞼 -- 320,304
0xD0C5	0x77B5	# 瞵 -- 320,305
0xD0C6	0x85F6	# 藶 -- 320,306
0xD0C7	0x7818	# 砘 -- 320,307
0xD0C8	0x63B1	# 掱 -- 320,310
0xD0C9	0x783C	# 砼 -- 320,311
0xD0CA	0x782C	# 砬 -- 320,312
0xD0CB	0x7829	# 砩 -- 320,313
0xD0CC	0x7839	# 砹 -- 320,314
0xD0CD	0x7852	# 硒 -- 320,315
0xD0CE	0x784C	# 硌 -- 320,316
0xD0CF	0x78B8	# 碸 -- 320,317
0xD0D0	0x78B2	# 碲 -- 320,320
0xD0D1	0x78B9	# 碹 -- 320,321
0xD0D2	0x78A5	# 碥 -- 320,322
0xD0D3	0x78D9	# 磙 -- 320,323
0xD0D4	0x78E3	# 磣 -- 320,324
0xD0D5	0x7905	# 礅 -- 320,325
0xD0D6	0x7913	# 礓 -- 320,326
0xD0D7	0x7924	# 礤 -- 320,327
0xD0D8	0x7A06	# 稆 -- 320,330
0xD0D9	0x7A03	# 稃 -- 320,331
0xD0DA	0x7B38	# 笸 -- 320,332
0xD0DB	0x7B39	# 笹 -- 320,333
0xD0DC	0x7B48	# 筈 -- 320,334
0xD0DD	0x7B70	# 筰 -- 320,335
0xD0DE	0x7B7B	# 筻 -- 320,336
0xD0DF	0x7B62	# 筢 -- 320,337
0xD0E0	0x7B85	# 箅 -- 320,340
0xD0E1	0x7BA2	# 箢 -- 320,341
0xD0E2	0x7BFC	# 篼 -- 320,342
0xD0E3	0x7C6A	# 籪 -- 320,343
0xD0E4	0x7CCD	# 糍 -- 320,344
0xD0E5	0x7D4E	# 絎 -- 320,345
0xD0E6	0x7DD4	# 緔 -- 320,346
0xD0E8	0x7E70	# 繰 -- 320,350
0xD0E9	0x7F60	# 罠 -- 320,351
0xD0EA	0x7F71	# 罱 -- 320,352
0xD0EB	0x7FA5	# 羥 -- 320,353
0xD0EC	0x7FA7	# 羧 -- 320,354
0xD0ED	0x7FB0	# 羰 -- 320,355
0xD0EE	0x8016	# 耖 -- 320,356
0xD0EF	0x8020	# 耠 -- 320,357
0xD0F0	0x8025	# 耥 -- 320,360
0xD0F1	0x8029	# 耩 -- 320,361
0xD0F2	0x802A	# 耪 -- 320,362
0xD0F3	0x802C	# 耬 -- 320,363
0xD0F4	0x802E	# 耮 -- 320,364
0xD0F5	0x8031	# 耱 -- 320,365
0xD0F6	0x8035	# 耵 -- 320,366
0xD0F7	0x8079	# 聹 -- 320,367
0xD0F8	0x822F	# 舯 -- 320,370
0xD0F9	0x822D	# 舭 -- 320,371
0xD0FA	0x823E	# 舾 -- 320,372
0xD0FB	0x8249	# 艉 -- 320,373
0xD0FC	0x824F	# 艏 -- 320,374
0xD0FD	0x827F	# 艿 -- 320,375
0xD0FE	0x828F	# 芏 -- 320,376
