
#   "321" UNIHAN

0xD121	0x82CA	# 苊 -- 321,041
0xD122	0x82B4	# 芴 -- 321,042
0xD123	0x82C4	# 苄 -- 321,043
0xD124	0x82F7	# 苷 -- 321,044
0xD126	0x6ABE	# 檾 -- 321,046
0xD127	0x830C	# 茌 -- 321,047
0xD128	0x831A	# 茚 -- 321,050
0xD129	0x706F	# 灯 -- 321,051
0xD12A	0x833C	# 茼 -- 321,052
0xD12B	0x833A	# 茺 -- 321,053
0xD12C	0x8333	# 茳 -- 321,054
0xD12D	0x8316	# 茖 -- 321,055
0xD12E	0x831B	# 茛 -- 321,056
0xD12F	0x83B0	# 莰 -- 321,057
0xD130	0x839C	# 莜 -- 321,060
0xD131	0x83E5	# 菥 -- 321,061
0xD132	0x8418	# 萘 -- 321,062
0xD133	0x83DD	# 菝 -- 321,063
0xD134	0x841C	# 萜 -- 321,064
0xD135	0x6FDC	# 濜 -- 321,065
0xD136	0x6652	# 晒 -- 321,066
0xD137	0x62C5	# 担 -- 321,067
0xD138	0x8452	# 葒 -- 321,070
0xD139	0x8464	# 葤 -- 321,071
0xD13A	0x845C	# 葜 -- 321,072
0xD13B	0x8459	# 葙 -- 321,073
0xD13C	0x8488	# 蒈 -- 321,074
0xD13D	0x8476	# 葶 -- 321,075
0xD13E	0x848E	# 蒎 -- 321,076
0xD13F	0x84BD	# 蒽 -- 321,077
0xD140	0x84B4	# 蒴 -- 321,100
0xD141	0x8497	# 蒗 -- 321,101
0xD142	0x80C6	# 胆 -- 321,102
0xD143	0x84BB	# 蒻 -- 321,103
0xD144	0x8538	# 蔸 -- 321,104
0xD145	0x55F0	# 嗰 -- 321,105
0xD146	0x8541	# 蕁 -- 321,106
0xD147	0x8552	# 蕒 -- 321,107
0xD148	0x857B	# 蕻 -- 321,110
0xD149	0x8579	# 蕹 -- 321,111
0xD14A	0x859F	# 薟 -- 321,112
0xD14B	0x85B7	# 薷 -- 321,113
0xD14C	0x8691	# 蚑 -- 321,114
0xD14D	0x86BF	# 蚿 -- 321,115
0xD14E	0x86BA	# 蚺 -- 321,116
0xD14F	0x86B4	# 蚴 -- 321,117
0xD150	0x86DE	# 蛞 -- 321,120
0xD151	0x86D8	# 蛘 -- 321,121
0xD152	0x871B	# 蜛 -- 321,122
0xD153	0x8731	# 蜱 -- 321,123
0xD154	0x877D	# 蝽 -- 321,124
0xD155	0x8770	# 蝰 -- 321,125
0xD156	0x878B	# 螋 -- 321,126
0xD157	0x8785	# 螅 -- 321,127
0xD158	0x8788	# 螈 -- 321,130
0xD159	0x87D1	# 蟑 -- 321,131
0xD15A	0x87CE	# 蟎 -- 321,132
