
#   "322" UNIHAN

0xD221	0x9C48	# 鱈 -- 322,041
0xD222	0x9C45	# 鱅 -- 322,042
0xD223	0x9C52	# 鱒 -- 322,043
0xD224	0x9C5D	# 鱝 -- 322,044
0xD225	0x9C7A	# 鱺 -- 322,045
0xD226	0x9D2F	# 鴯 -- 322,046
0xD228	0x9D87	# 鶇 -- 322,050
0xD229	0x9D93	# 鶓 -- 322,051
0xD22A	0x9D6F	# 鵯 -- 322,052
0xD22B	0x9DA5	# 鶥 -- 322,053
0xD22C	0x9DDA	# 鷚 -- 322,054
0xD22D	0x9E0C	# 鸌 -- 322,055
0xD22E	0x9EE2	# 黢 -- 322,056
0xD22F	0x9EF2	# 黲 -- 322,057
0xD230	0x9F44	# 齄 -- 322,060
0xD231	0x9F59	# 齙 -- 322,061
0xD23B	0x6630	# 昰 -- 322,073
0xD23C	0x7B87	# 箇 -- 322,074
0xD23D	0x88E1	# 裡 -- 322,075
0xD23E	0x885C	# 衜 -- 322,076
0xD23F	0x4EDD	# 仝 -- 322,077
0xD240	0x704B	# 灋 -- 322,100
0xD241	0x56EC	# 囬 -- 322,101
0xD242	0x55AB	# 喫 -- 322,102
0xD243	0x7081	# 炁 -- 322,103
0xD244	0x60E3	# 惣 -- 322,104
0xD245	0x62CF	# 拏 -- 322,105
0xD246	0x8C9F	# 貟 -- 322,106
0xD247	0x5F4A	# 彊 -- 322,107
0xD248	0x63C5	# 揅 -- 322,110
0xD249	0x8229	# 舩 -- 322,111
0xD24A	0x6E4F	# 湏 -- 322,112
0xD24B	0x68F1	# 棱 -- 322,113
0xD24C	0x773E	# 眾 -- 322,114
0xD24D	0x4E9D	# 亝 -- 322,115
0xD24E	0x8173	# 腳 -- 322,116
0xD24F	0x51A8	# 冨 -- 322,117
0xD250	0x5EF9	# 廹 -- 322,120
0xD251	0x8B0C	# 謌 -- 322,121
0xD252	0x96DE	# 雞 -- 322,122
0xD253	0x612C	# 愬 -- 322,123
0xD254	0x6537	# 攷 -- 322,124
0xD255	0x5E0B	# 帋 -- 322,125
0xD256	0x69FC	# 槼 -- 322,126
0xD257	0x90A8	# 邨 -- 322,127
0xD258	0x770E	# 眎 -- 322,130
0xD259	0x577F	# 坿 -- 322,131
0xD25A	0x9599	# 閙 -- 322,132
0xD25B	0x8A3C	# 証 -- 322,133
0xD25C	0x7567	# 畧 -- 322,134
0xD25D	0x57FD	# 埽 -- 322,135
0xD25E	0x7ADC	# 竜 -- 322,136
0xD25F	0x846F	# 葯 -- 322,137
0xD260	0x882D	# 蠭 -- 322,140
0xD261	0x69E9	# 槩 -- 322,141
0xD262	0x9397	# 鎗 -- 322,142
0xD263	0x5231	# 刱 -- 322,143
0xD264	0x76B7	# 皷 -- 322,144
0xD265	0x6C37	# 氷 -- 322,145
0xD266	0x894D	# 襍 -- 322,146
0xD267	0x5E8A	# 床 -- 322,147
0xD268	0x8FA0	# 辠 -- 322,150
0xD269	0x51B5	# 况 -- 322,151
0xD26A	0x7255	# 牕 -- 322,152
0xD26B	0x9B25	# 鬥 -- 322,153
0xD26C	0x7385	# 玅 -- 322,154
0xD26D	0x51C8	# 凈 -- 322,155
0xD26E	0x79EA	# 秪 -- 322,156
0xD26F	0x50CA	# 僊 -- 322,157
