
#   "323" UNIHAN

0xD321	0x5393	# 厓 -- 323,041
0xD322	0x9F8E	# 龎 -- 323,042
0xD323	0x88B4	# 袴 -- 323,043
0xD324	0x59AC	# 妬 -- 323,044
0xD325	0x8FAA	# 辪 -- 323,045
0xD326	0x68D5	# 棕 -- 323,046
0xD327	0x62D1	# 拑 -- 323,047
0xD328	0x71BF	# 熿 -- 323,050
0xD329	0x976D	# 靭 -- 323,051
0xD32A	0x978C	# 鞌 -- 323,052
0xD32B	0x9037	# 逷 -- 323,053
0xD32C	0x7C50	# 籐 -- 323,054
0xD32D	0x5EBD	# 庽 -- 323,055
0xD32E	0x8117	# 脗 -- 323,056
0xD32F	0x8525	# 蔥 -- 323,057
0xD330	0x7328	# 猨 -- 323,060
0xD331	0x6239	# 戹 -- 323,061
0xD332	0x89DD	# 觝 -- 323,062
0xD333	0x5C85	# 岅 -- 323,063
0xD334	0x91D0	# 釐 -- 323,064
0xD335	0x6B1D	# 欝 -- 323,065
0xD336	0x8602	# 蘂 -- 323,066
0xD337	0x89A9	# 覩 -- 323,067
0xD338	0x64E5	# 擥 -- 323,070
0xD339	0x66E1	# 曡 -- 323,071
0xD33A	0x7A68	# 穨 -- 323,072
0xD33B	0x8912	# 褒 -- 323,073
0xD33C	0x8589	# 薉 -- 323,074
0xD33D	0x8F5D	# 轝 -- 323,075
0xD33E	0x95DA	# 闚 -- 323,076
0xD33F	0x870B	# 蜋 -- 323,077
0xD340	0x6B5B	# 歛 -- 323,100
0xD341	0x7AE2	# 竢 -- 323,101
0xD342	0x887A	# 衺 -- 323,102
0xD343	0x6D96	# 涖 -- 323,103
0xD344	0x6033	# 怳 -- 323,104
0xD345	0x74CC	# 瓌 -- 323,105
0xD346	0x92BE	# 銾 -- 323,106
0xD347	0x5B7C	# 孼 -- 323,107
0xD348	0x8CC9	# 賉 -- 323,110
0xD349	0x97BE	# 鞾 -- 323,111
0xD34A	0x8962	# 襢 -- 323,112
0xD34B	0x81D9	# 臙 -- 323,113
0xD34C	0x8EB6	# 躶 -- 323,114
0xD34D	0x994D	# 饍 -- 323,115
0xD34E	0x9061	# 遡 -- 323,116
0xD34F	0x9586	# 閆 -- 323,117
0xD350	0x7CA6	# 粦 -- 323,120
0xD351	0x8F19	# 輙 -- 323,121
0xD352	0x898A	# 覊 -- 323,122
0xD353	0x5A6C	# 婬 -- 323,123
0xD354	0x95A7	# 閧 -- 323,124
0xD355	0x9A58	# 驘 -- 323,125
0xD356	0x8B87	# 讇 -- 323,126
0xD357	0x995F	# 饟 -- 323,127
0xD358	0x6B57	# 歗 -- 323,130
0xD359	0x80A7	# 肧 -- 323,131
0xD35A	0x9DB5	# 鶵 -- 323,132
0xD35B	0x9696	# 隖 -- 323,133
0xD35C	0x668B	# 暋 -- 323,134
0xD35D	0x67DF	# 柟 -- 323,135
0xD35E	0x6673	# 晳 -- 323,136
0xD35F	0x8B3F	# 謿 -- 323,137
0xD360	0x936B	# 鍫 -- 323,140
0xD361	0x97D6	# 韖 -- 323,141
0xD362	0x70F1	# 烱 -- 323,142
0xD363	0x73A8	# 玨 -- 323,143
0xD364	0x4FA2	# 侢 -- 323,144
0xD365	0x58DC	# 壜 -- 323,145
0xD366	0x6A97	# 檗 -- 323,146
0xD367	0x7F3D	# 缽 -- 323,147
0xD368	0x6FC7	# 濇 -- 323,150
0xD369	0x531F	# 匟 -- 323,151
0xD36A	0x984B	# 顋 -- 323,152
0xD36B	0x82FD	# 苽 -- 323,153
0xD36C	0x63EB	# 揫 -- 323,154
0xD36D	0x5DFF	# 巿 -- 323,155
0xD36E	0x9B40	# 魀 -- 323,156
0xD36F	0x8B4C	# 譌 -- 323,157
0xD370	0x8637	# 蘷 -- 323,160
0xD371	0x8761	# 蝡 -- 323,161
0xD372	0x7A7D	# 穽 -- 323,162
0xD373	0x58FB	# 壻 -- 323,163
0xD374	0x6BD8	# 毘 -- 323,164
0xD375	0x90C9	# 郉 -- 323,165
0xD376	0x6174	# 慴 -- 323,166
0xD377	0x7447	# 瑇 -- 323,167
0xD378	0x52D7	# 勗 -- 323,170
0xD379	0x7F4B	# 罋 -- 323,171
0xD37A	0x906F	# 遯 -- 323,172
0xD37B	0x6353	# 捓 -- 323,173
0xD37C	0x5333	# 匳 -- 323,174
0xD37D	0x7E27	# 縧 -- 323,175
0xD37E	0x97C1	# 韁 -- 323,176
0xD3A1	0x9C53	# 鱓 -- 323,241
0xD3A2	0x7B6F	# 筯 -- 323,242
0xD3A3	0x5C05	# 尅 -- 323,243
0xD3A4	0x8C44	# 豄 -- 323,244
0xD3A5	0x88A0	# 袠 -- 323,245
0xD3A6	0x52C5	# 勅 -- 323,246
0xD3A7	0x8B81	# 讁 -- 323,247
0xD3A8	0x8109	# 脉 -- 323,250
0xD3A9	0x7609	# 瘉 -- 323,251
0xD3AA	0x5557	# 啗 -- 323,252
0xD3AB	0x5AFA	# 嫺 -- 323,253
0xD3AC	0x7C44	# 籄 -- 323,254
0xD3AD	0x7C11	# 簑 -- 323,255
0xD3AE	0x5C32	# 尲 -- 323,256
0xD3AF	0x58F3	# 壳 -- 323,257
0xD3B0	0x685A	# 桚 -- 323,260
0xD3B1	0x51B8	# 冸 -- 323,261
0xD3B2	0x9E9E	# 麞 -- 323,262
0xD3B3	0x5BE0	# 寠 -- 323,263
0xD3B4	0x8739	# 蜹 -- 323,264
0xD3B5	0x529A	# 劚 -- 323,265
0xD3B6	0x5EC0	# 廀 -- 323,266
0xD3B7	0x7726	# 眦 -- 323,267
0xD3B8	0x8AE1	# 諡 -- 323,270
0xD3B9	0x855A	# 蕚 -- 323,271
0xD3BA	0x7F83	# 羃 -- 323,272
0xD3BB	0x5B1D	# 嬝 -- 323,273
0xD3BC	0x55F8	# 嗸 -- 323,274
0xD3BD	0x7B0B	# 笋 -- 323,275
0xD3BE	0x5F60	# 彠 -- 323,276
0xD3BF	0x7C83	# 粃 -- 323,277
0xD3C0	0x8842	# 衂 -- 323,300
0xD3C1	0x8D10	# 贐 -- 323,301
0xD3C2	0x8E61	# 蹡 -- 323,302
0xD3C3	0x983F	# 頿 -- 323,303
0xD3C4	0x4E48	# 么 -- 323,304
0xD3C5	0x98C8	# 飈 -- 323,305
0xD3C6	0x8D17	# 贗 -- 323,306
0xD3C7	0x53AB	# 厫 -- 323,307
0xD3C8	0x6128	# 愨 -- 323,310
0xD3C9	0x7932	# 礲 -- 323,311
0xD3CA	0x8771	# 蝱 -- 323,312
0xD3CB	0x6747	# 杇 -- 323,313
0xD3CC	0x58D6	# 壖 -- 323,314
0xD3CD	0x5C20	# 尠 -- 323,315
0xD3CE	0x723F	# 爿 -- 323,316
0xD3CF	0x6332	# 挲 -- 323,317
0xD3D0	0x659A	# 斚 -- 323,320
0xD3D1	0x68D1	# 棑 -- 323,321
0xD3D2	0x72AB	# 犫 -- 323,322
0xD3D3	0x9186	# 醆 -- 323,323
0xD3D4	0x589D	# 墝 -- 323,324
0xD3D5	0x8935	# 褵 -- 323,325
0xD3D6	0x7D56	# 絖 -- 323,326
