
#   "324" UNIHAN

0xD421	0x5182	# 冂 -- 324,041
0xD422	0x5196	# 冖 -- 324,042
0xD423	0x51AB	# 冫 -- 324,043
0xD424	0x51F5	# 凵 -- 324,044
0xD425	0x52F9	# 勹 -- 324,045
0xD426	0x531A	# 匚 -- 324,046
0xD427	0x5338	# 匸 -- 324,047
0xD428	0x5369	# 卩 -- 324,050
0xD429	0x5382	# 厂 -- 324,051
0xD42A	0x53B6	# 厶 -- 324,052
0xD42B	0x56D7	# 囗 -- 324,053
0xD42C	0x5902	# 夂 -- 324,054
0xD42D	0x590A	# 夊 -- 324,055
0xD42E	0x5B80	# 宀 -- 324,056
0xD42F	0x5C22	# 尢 -- 324,057
0xD430	0x5C6E	# 屮 -- 324,060
0xD431	0x5DDB	# 巛 -- 324,061
0xD432	0x5E7F	# 广 -- 324,062
0xD433	0x5EF4	# 廴 -- 324,063
0xD434	0x5EFE	# 廾 -- 324,064
0xD435	0x5F50	# 彐 -- 324,065
0xD436	0x5F61	# 彡 -- 324,066
0xD437	0x8845	# 衅 -- 324,067
0xD438	0x6534	# 攴 -- 324,070
0xD439	0x65E0	# 无 -- 324,071
0xD43A	0x6C14	# 气 -- 324,072
0xD43B	0x7592	# 疒 -- 324,073
0xD43C	0x7676	# 癶 -- 324,074
0xD43D	0x79B8	# 禸 -- 324,075
0xD43E	0x7CF8	# 糸 -- 324,076
0xD43F	0x7F51	# 网 -- 324,077
0xD440	0x864D	# 虍 -- 324,100
0xD441	0x897E	# 襾 -- 324,101
0xD442	0x8FB5	# 辵 -- 324,102
0xD443	0x91C6	# 釆 -- 324,103
0xD444	0x961D	# 阝 -- 324,104
0xD445	0x96B6	# 隶 -- 324,105
0xD446	0x9ADF	# 髟 -- 324,106
0xD447	0x4E1A	# 业 -- 324,107
0xD448	0x5EC8	# 廈 -- 324,110
0xD449	0x6C96	# 沖 -- 324,111
0xD44A	0x51CF	# 减 -- 324,112
0xD44B	0x79CD	# 种 -- 324,113
0xD44C	0x4E2A	# 个 -- 324,114
0xD44D	0x7B8E	# 箎 -- 324,115
0xD44E	0x70DF	# 烟 -- 324,116
0xD44F	0x8385	# 莅 -- 324,117
0xD450	0x8AC2	# 諂 -- 324,120
0xD451	0x9918	# 餘 -- 324,121
0xD452	0x52DB	# 勛 -- 324,122
0xD453	0x57EB	# 埫 -- 324,123
0xD454	0x58EA	# 壪 -- 324,124
0xD455	0x5888	# 墈 -- 324,125
0xD456	0x5D0D	# 崍 -- 324,126
0xD457	0x5CE7	# 峧 -- 324,127
0xD458	0x5D00	# 崀 -- 324,130
0xD459	0x5D05	# 崅 -- 324,131
0xD45A	0x5D0C	# 崌 -- 324,132
0xD45B	0x5D85	# 嶅 -- 324,133
0xD45C	0x7014	# 瀔 -- 324,134
0xD45D	0x62E4	# 拤 -- 324,135
0xD45E	0x5843	# 塃 -- 324,136
0xD45F	0x668E	# 暎 -- 324,137
0xD460	0x65FB	# 旻 -- 324,140
0xD461	0x67C8	# 柈 -- 324,141
0xD462	0x68A0	# 梠 -- 324,142
0xD463	0x673F	# 朿 -- 324,143
0xD464	0x6A0B	# 樋 -- 324,144
0xD465	0x69FE	# 槾 -- 324,145
0xD466	0x6A66	# 橦 -- 324,146
0xD467	0x6935	# 椵 -- 324,147
0xD468	0x6EAE	# 溮 -- 324,150
0xD469	0x6D28	# 洨 -- 324,151
0xD46A	0x6D5B	# 浛 -- 324,152
0xD46B	0x6DAD	# 涭 -- 324,153
0xD46C	0x6EE7	# 滧 -- 324,154
0xD46D	0x6EB5	# 溵 -- 324,155
0xD46E	0x6F56	# 潖 -- 324,156
0xD46F	0x7002	# 瀂 -- 324,157
0xD470	0x6F75	# 潵 -- 324,160
0xD471	0x709E	# 炞 -- 324,161
0xD472	0x7808	# 砈 -- 324,162
0xD473	0x85E0	# 藠 -- 324,163
0xD474	0x72E2	# 狢 -- 324,164
0xD475	0x7314	# 猔 -- 324,165
0xD476	0x6983	# 榃 -- 324,166
0xD477	0x78DC	# 磜 -- 324,167
0xD478	0x7933	# 礳 -- 324,170
0xD479	0x7C15	# 簕 -- 324,171
0xD47A	0x8112	# 脒 -- 324,172
0xD47B	0x813F	# 脿 -- 324,173
0xD47C	0x8399	# 莙 -- 324,174
0xD47D	0x8705	# 蜅 -- 324,175
0xD47E	0x569C	# 嚜 -- 324,176
0xD4A1	0x898E	# 覎 -- 324,241
0xD4A2	0x7847	# 硇 -- 324,242
0xD4A3	0x8E53	# 蹓 -- 324,243
0xD4A4	0x910C	# 鄌 -- 324,244
0xD4A5	0x9770	# 靰 -- 324,245
0xD4A6	0x97A1	# 鞡 -- 324,246
0xD4A7	0x7CAC	# 粬 -- 324,247
0xD4A8	0x9904	# 餄 -- 324,250
0xD4A9	0x990E	# 餎 -- 324,251
0xD4AA	0x990F	# 餏 -- 324,252
0xD4AB	0x9BA6	# 鮦 -- 324,253
0xD4AC	0x9B9C	# 鮜 -- 324,254
0xD4AD	0x9BB3	# 鮳 -- 324,255
0xD4AE	0x9BF7	# 鯷 -- 324,256
0xD4AF	0x6E9A	# 溚 -- 324,257
0xD4B0	0x83FE	# 菾 -- 324,260
0xD4B1	0x695F	# 楟 -- 324,261
0xD4B2	0x7903	# 礃 -- 324,262
0xD4B3	0x5034	# 倴 -- 324,263
0xD4B4	0x51C3	# 凃 -- 324,264
0xD4B5	0x5871	# 塱 -- 324,265
0xD4B6	0x5895	# 墕 -- 324,266
0xD4B7	0x5A84	# 媄 -- 324,267
0xD4B8	0x5C72	# 屲 -- 324,270
0xD4B9	0x5DA8	# 嶨 -- 324,271
0xD4BA	0x658F	# 斏 -- 324,272
0xD4BB	0x6C1E	# 氞 -- 324,273
0xD4BC	0x939D	# 鎝 -- 324,274
0xD4BD	0x7A16	# 稖 -- 324,275
0xD4BE	0x8313	# 茓 -- 324,276
0xD4BF	0x9BBA	# 鮺 -- 324,277
0xD4C0	0x9C3C	# 鰼 -- 324,300
0xD4C1	0x556B	# 啫 -- 324,301
0xD4C2	0x56B8	# 嚸 -- 324,302
0xD4C3	0x56C4	# 囄 -- 324,303
0xD4C4	0x56B9	# 嚹 -- 324,304
0xD4C5	0x5528	# 唨 -- 324,305
0xD4C7	0x4EBB	# 亻 -- 324,307
0xD4C8	0x5202	# 刂 -- 324,310
0xD4C9	0x5FC4	# 忄 -- 324,311
0xD4CA	0x624C	# 扌 -- 324,312
